阿帕契,a'pa'qi
阿散井恋次,a'san'jing'lian'ci
爱川罗武原七番队队长,ai'chuan'luo'wu'yuan'qi'fan'dui'dui'zhang
八番队,ba'fan'dui
八頭炎大蛇,ba'tou'yan'da'she
巴温特,ba'wen'te
白打,bai'da
白伏,bai'fu
拜勒岗,bai'le'gang
白雷,bai'lei
百连闩,bai'lian'shuan
斑木一角,ban'mu'yi'jiao
本匠千鹤,ben'jiang'qian'he
本体,ben'ti
崩点,beng'dian
崩玉,beng'yu
变成沙吧石波,bian'cheng'sha'ba'shi'bo
冰輪丸,bing'lun'wan
狛村左陣,bo'cun'zuo'zhen
布鲁巴艾,bu'lu'ba'ai
彩虹言灵,cai'hong'yan'ling
苍火坠,cang'huo'zhui
草鹿八千留,cao'lu'ba'qian'liu
茶渡泰虎,cha'du'tai'hu
侘助,cha'zhu
车谷善之助,che'gu'shan'zhi'zhu
赤火炮,chi'huo'pao
紬屋雨,chou'wu'yu
初曲止绷,chu'qu'zhi'beng
雛森桃,chu'sen'tao
穿点,chuan'dian
穿界门,chuan'jie'men
传令部,chuan'ling'bu
大岛丽一,da'dao'li'yi
大紅蓮冰輪丸,da'gong'lian'bing'lun'wan
大雷雨阵射魚,da'lei'yu'zhen'she'yu
大前田希千代,da'qian'tian'xi'qian'dai
大虚,da'xu
第二号花鹤射法拘之花开,di'er'hao'hua'he'she'fa'ju'zhi'hua'kai
迪罗伊,di'luo'yi
荻堂春信,di'tang'chun'xin
东仙要,dong'xian'yao
冻云,dong'yun
断界,duan'jie
多鲁托尼,duo'lu'tuo'ni
二番队,er'fan'dui
发动语,fa'dong'yu
反鬼相杀,fan'gui'xiang'sha
狒狒王蛇尾丸,fei'fei'wang'she'wei'wan
飞帘脚,fei'lian'jiao
飛梅,fei'mei
飞梅,fei'mei
飛翔水車突,fei'xiang'shui'ju'tu
飞燕连哭,fei'yan'lian'ku
凤桥楼十郎,feng'qiao'lou'shi'lang
風水縛止,feng'shui'fu'zhi
缚道,fu'dao
缚道九撃,fu'dao'jiu'ji
缚道九十九第二番卍禁,fu'dao'jiu'shi'jiu'di'er'fan'wan'jin
缚道九十九禁,fu'dao'jiu'shi'jiu'jin
缚道六十一六杖光牢,fu'dao'liu'shi'yi'liu'zhang'guang'lao
缚道七十七天挺空罗,fu'dao'qi'shi'qi'tian'ting'kong'luo
缚道一塞,fu'dao'yi'sai
縛道之八十一斷空,fu'dao'zhi'ba'shi'yi'duan'kong
缚道之六十二百步欄杆,fu'dao'zhi'liu'shi'er'bai'bu'lan'gan
縛道之六十三鎖條鎖縛,fu'dao'zhi'liu'shi'san'suo'tiao'suo'fu
缚道之三十嘴突三闪,fu'dao'zhi'san'shi'zui'tu'san'shan
缚道之五十八掴趾追雀,fu'dao'zhi'wu'shi'ba'guai'zhi'zhui'que
浮竹十四郎,fu'zhu'shi'si'lang
改造魂魄,gai'zao'hun'po
刚藤拜恩,gang'teng'bai'en
刚藤拜恩摩斯凯达,gang'teng'bai'en'mo'si'kai'da
葛力姆乔,ge'li'mu'qiao
葛力姆乔贾卡杰克,ge'li'mu'qiao'jia'ka'jie'ke
更木剑八,geng'mu'jian'ba
掴趾追雀,guai'zhi'zhui'que
鬼道,gui'dao
鬼燈丸,gui'deng'wan
