爱购超市,ai'gou'chao'shi
巴倒烫,ba'dao'tang
八栋,ba'dong
八宿舍楼,ba'su'she'lou
办公楼,ban'gong'lou
财务管理,cai'wu'guan'li
插画与三维动画,cha'hua'yu'san'wei'dong'hua
程序设计基础,cheng'xu'she'ji'ji'chu
重庆第二师范学院,chong'qing'di'er'shi'fan'xue'yuan
重庆教育学院,chong'qing'jiao'yu'xue'yuan
重庆学前教育学院,chong'qing'xue'qian'jiao'yu'xue'yuan
电子商务物流,dian'zi'shang'wu'wu'liu
二栋,er'dong
二教,er'jiao
二师,er'shi
二宿舍楼,er'su'she'lou
房地产经营与估计,fang'di'chan'jing'ying'yu'gu'ji
房地产开发与管理,fang'di'chan'kai'fa'yu'guan'li
公交车,gong'jiao'che
工商大学,gong'shang'da'xue
广告设计与制作,guang'gao'she'ji'yu'zhi'zuo
广黔路口,guang'qian'lu'kou
轨道四公里,gui'dao'si'gong'li
国际贸易,guo'ji'mao'yi
国际贸易理论与实务,guo'ji'mao'yi'li'lun'yu'shi'wu
国贸,guo'mao
汉语言文学,han'yu'yan'wen'xue
汉语言文学非师范,han'yu'yan'wen'xue'fei'shi'fan
后勤楼,hou'qin'lou
化工与制药,hua'gong'yu'zhi'yao
化学制药技术,hua'xue'zhi'yao'ji'shu
会展经济与管理,hui'zhan'jing'ji'yu'guan'li
计算机导论,ji'suan'ji'dao'lun
继续教育学院,ji'xu'jiao'yu'xue'yuan
教师教育学院,jiao'shi'jiao'yu'xue'yuan
教院,jiao'yuan
靖博文具,jing'bo'wen'ju
经管系,jing'guan'xi
经济与工商管理系,jing'ji'yu'gong'shang'guan'li'xi
酒店管理,jiu'dian'guan'li
九栋,jiu'dong
九宿舍楼,jiu'su'she'lou
课程,ke'cheng
空间艺术,kong'jian'yi'shu
孔子像,kong'zi'xiang
跨境电子商务,kua'jing'dian'zi'shang'wu
拉菲皇庭,la'fei'huang'ting
老厂,lao'chang
老厂火锅,lao'chang'huo'guo
老龙洞,lao'long'dong
乐学会爱能保善教,le'xue'hui'ai'neng'bao'shan'jiao
六栋,liu'dong
六栋学生电器,liu'dong'xue'sheng'dian'qi
六宿舍楼,liu'su'she'lou
龙脊山,long'ji'shan
旅管系,lv'guan'xi
旅行社管理,lv'xing'she'guan'li
旅游管理,lv'you'guan'li
旅游与服务管理系,lv'you'yu'fu'wu'guan'li'xi
美术系,mei'shu'xi
美术学,mei'shu'xue
明德讲堂,ming'de'jiang'tang
南山报告厅,nan'shan'bao'gao'ting
南山街道崇教路号,nan'shan'jie'dao'chong'jiao'lu'hao
南山校区,nan'shan'xiao'qu
南山植物园,nan'shan'zhi'wu'yuan
七栋,qi'dong
七宿舍楼,qi'su'she'lou
锲而不舍止于至善,qie'er'bu'she'zhi'yu'zhi'shan
泉山厅,quan'shan'ting
软件工程,ruan'jian'gong'cheng
三栋,san'dong
三教,san'jiao
三宿舍楼,san'su'she'lou
山上,shan'shang
山下,shan'xia
商务管理,shang'wu'guan'li
商务英语,shang'wu'ying'yu
商务英语翻译,shang'wu'ying'yu'fan'yi
商务综合英语,shang'wu'zong'he'ying'yu
商务综英,shang'wu'zong'ying
生化系,sheng'hua'xi
生物与化学工程系,sheng'wu'yu'hua'xue'gong'cheng'xi
十栋,shi'dong
视觉传达设计,shi'jue'chuan'da'she'ji
食品加工技术,shi'pin'jia'gong'ji'shu
食品营养与检测,shi'pin'ying'yang'yu'jian'ce
时尚艺术,shi'shang'yi'shu
师院超市,shi'yuan'chao'shi
数分,shu'fen
数信系,shu'xin'xi
数学与信息工程系,shu'xue'yu'xin'xi'gong'cheng'xi
四栋,si'dong
四公里,si'gong'li
四公里学府大道号,si'gong'li'xue'fu'da'dao'hao
四教,si'jiao
四教一楼,si'jiao'yi'lou
四宿舍楼,si'su'she'lou
图书馆报亭,tu'shu'guan'bao'ting
图书馆喷泉,tu'shu'guan'pen'quan
外国语言文学系,wai'guo'yu'yan'wen'xue'xi
外文系,wai'wen'xi
网络广告,wang'luo'guang'gao
文传,wen'chuan
文峰厅,wen'feng'ting
文化传媒,wen'hua'chuan'mei
文学与传媒系,wen'xue'yu'chuan'mei'xi
五栋,wu'dong
五教,wu'jiao
物联网,wu'lian'wang
物流管理,wu'liu'guan'li
五宿舍楼,wu'su'she'lou
物业管理,wu'ye'guan'li
西方经济学,xi'fang'jing'ji'xue
校车,xiao'che
校训,xiao'xun
校址,xiao'zhi
新技术讲座,xin'ji'shu'jiang'zuo
心理健康教育,xin'li'jian'kang'jiao'yu
学府校区,xue'fu'xiao'qu
学前,xue'qian
学前教育学院,xue'qian'jiao'yu'xue'yuan
学术报告厅,xue'shu'bao'gao'ting
学术交流中心,xue'shu'jiao'liu'zhong'xin
药品经营与管理,yao'pin'jing'ying'yu'guan'li
药物分析与检测,yao'wu'fen'xi'yu'jian'ce
一栋,yi'dong
移动互联网,yi'dong'hu'lian'wang
移动互联网概论,yi'dong'hu'lian'wang'gai'lun
一教,yi'jiao
一宿舍楼,yi'su'she'lou
应用德语,ying'yong'de'yu
应用数学,ying'yong'shu'xue
英语师范,ying'yu'shi'fan
邮电大学,you'dian'da'xue
由你做煮,you'ni'zuo'zhu
语文教育,yu'wen'jiao'yu
中国画与数字艺术,zhong'guo'hua'yu'shu'zi'yi'shu
猪圈火锅,zhu'juan'huo'guo
专业,zhuan'ye
综合楼,zong'he'lou
综合楼三楼,zong'he'lou'san'lou
