阿二,a'er
阿虎,a'hu
八棱银牌,ba'leng'yin'pai
八门金光镜,ba'men'jin'guang'jing
巴师兄,ba'shi'xiong
霸王甲,ba'wang'jia
跋姓大汉,ba'xing'da'han
白壁山,bai'bi'shan
白璧双剑,bai'bi'shuang'jian
白池山,bai'chi'shan
百锻堂,bai'duan'tang
白凤峰,bai'feng'feng
白凤仙子,bai'feng'xian'zi
白骨阴火,bai'gu'yin'huo
白鹤芝,bai'he'zhi
百花阳春决,bai'hua'yang'chun'jue
拜火部,bai'huo'bu
百机堂,bai'ji'tang
白金戈,bai'jin'ge
白菊山,bai'ju'shan
百里香,bai'li'xiang
白鳞盾,bai'lin'dun
百莽山,bai'mang'shan
白门阁,bai'men'ge
百巧院,bai'qiao'yuan
白色大印,bai'se'da'yin
白色缎带,bai'se'duan'dai
白书君,bai'shu'jun
白水剑,bai'shui'jian
白犀佩,bai'xi'pei
白姓妇人,bai'xing'fu'ren
百药园,bai'yao'yuan
百药园马师伯,bai'yao'yuan'ma'shi'bo
伴妖草,ban'yao'cao
暴风山,bao'feng'shan
宝光草,bao'guang'cao
宝光阁,bao'guang'ge
抱还子,bao'hai'zi
北斗两仪阵,bei'dou'liang'yi'zhen
北寒山,bei'han'shan
北凉国,bei'liang'guo
北玄老人,bei'xuan'lao'ren
贝叶宗,bei'ye'zong
碧蟾兽,bi'chan'shou
避风珠,bi'feng'zhu
辟谷丹,bi'gu'dan
碧光刀,bi'guang'dao
辟火宝衣,bi'huo'bao'yi
辟火佩,bi'huo'pei
碧鸠,bi'jiu
碧磷鱼,bi'lin'yu
碧绿指环,bi'lv'zhi'huan
碧水鳄,bi'shui'e
碧水青甲阵,bi'shui'qing'jia'zhen
辟邪神雷,bi'xie'shen'lei
毕姓矮子,bi'xing'ai'zi
碧焰酒,bi'yan'jiu
碧玉小锤,bi'yu'xiao'chui
碧渊鬼火,bi'yuan'gui'huo
碧云袋,bi'yun'dai
碧云门,bi'yun'men
冰蚕,bing'can
冰弹符,bing'dan'fu
冰冻术,bing'dong'shu
冰火道,bing'huo'dao
冰火精芝,bing'huo'jing'zhi
冰火狼,bing'huo'lang
冰晶术,bing'jing'shu
冰枪符,bing'qiang'fu
冰心决,bing'xin'jue
冰雪蟾,bing'xue'chan
冰妖,bing'yao
冰玉,bing'yu
冰雨术,bing'yu'shu
冰锥术,bing'zhui'shu
步颠空,bu'dian'kong
补天丹,bu'tian'dan
补天芝,bu'tian'zhi
卜绪,bu'xu
卜云鹤,bu'yun'he
