按钮,an'niu
八分裤,ba'fen'ku
摆衩,bai'cha
包边布,bao'bian'bu
包布扣,bao'bu'kou
背宽,bei'kuan
背心,bei'xin
臂围,bi'wei
蝙蝠袖,bian'fu'xiu
扁机领,bian'ji'ling
驳口,bo'kou
驳头,bo'tou
布衬,bu'chen
插肩袖,cha'jian'xiu
长裤,chang'ku
长裙,chang'qun
长袖,chang'xiu
超短裙,chao'duan'qun
衬布,chen'bu
衬衫,chen'shan
大裆,da'dang
打裥,da'jian
搭门,da'men
大袖,da'xiu
打褶,da'zhe
袋布,dai'bu
袋盖,dai'gai
袋高,dai'gao
袋口,dai'kou
袋宽,dai'kuan
袋贴,dai'tie
单车裤,dan'che'ku
担干,dan'gan
单嵌线口袋,dan'qian'xian'kou'dai
灯笼裤,deng'long'ku
灯笼袖,deng'long'xiu
低腰裤,di'yao'ku
吊钟,diao'zhong
定型带,ding'xing'dai
短裤,duan'ku
短裙,duan'qun
短袖,duan'xiu
耳仔,er'zai
翻领,fan'ling
风琴袋,feng'qin'dai
凤眼,feng'yan
风衣,feng'yi
辅料,fu'liao
腹围,fu'wei
高腰裤,gao'yao'ku
工字褶,gong'zi'zhe
褂面,gua'mian
过肩,guo'jian
海军领,hai'jun'ling
荷叶边,he'ye'bian
黑炭衬,hei'tan'chen
横裆,heng'dang
横开领,heng'kai'ling
后背宽,hou'bei'kuan
后裆,hou'dang
后幅,hou'fu
后浪,hou'lang
后领深,hou'ling'shen
后片,hou'pian
后中长,hou'zhong'chang
花边,hua'bian
活褶,huo'zhe
及膝裙,ji'xi'qun
鸡眼,ji'yan
夹克,jia'ke
夹圈,jia'quan
夹条,jia'tiao
夹围,jia'wei
肩宽,jian'kuan
尖领,jian'ling
肩省,jian'sheng
肩章,jian'zhang
脚口,jiao'kou
借肩,jie'jian
介英,jie'ying
九分裤,jiu'fen'ku
口袋,kou'dai
扣眼,kou'yan
裤长,ku'chang
裤耳,ku'er
裤袢,ku'pan
裤腰,ku'yao
裤子,ku'zi
捆条,kun'tiao
喇叭裤,la'ba'ku
老板裤,lao'ban'ku
里布,li'bu
里衬,li'chen
里襟,li'jin
立扣,li'kou
里料,li'liao
立领,li'ling
立体袋,li'ti'dai
连肩袖,lian'jian'xiu
连衣裙,lian'yi'qun
两眼扣,liang'yan'kou
领高,ling'gao
领尖,ling'jian
领口省,ling'kou'sheng
领宽,ling'kuan
领里,ling'li
领面,ling'mian
领台,ling'tai
领围,ling'wei
领嘴,ling'zui
领坐,ling'zuo
六分裤,liu'fen'ku
螺纹领,luo'wen'ling
马甲,ma'jia
马尾衬,ma'wei'chen
毛料,mao'liao
门抽,men'chou
门襟,men'jin
门筒,men'tong
面布,mian'bu
面料,mian'liao
棉绳,mian'sheng
名片袋,ming'pian'dai
蘑菇扣,mo'gu'kou
逆风褶,ni'feng'zhe
呢料,ni'liao
钮扣,niu'kou
钮门,niu'men
牛仔裤,niu'zai'ku
泡泡袖,pao'pao'xiu
配色,pei'se
皮带扣,pi'dai'kou
平纹布,ping'wen'bu
平眼,ping'yan
七分裤,qi'fen'ku
七分袖,qi'fen'xiu
牵带,qian'dai
前裆,qian'dang
前幅,qian'fu
前浪,qian'lang
前领深,qian'ling'shen
前片,qian'pian
嵌条,qian'tiao
前胸宽,qian'xiong'kuan
裙长,qun'chang
裙腰,qun'yao
裙子,qun'zi
热裤,re'ku
人棉布,ren'mian'bu
人字带,ren'zi'dai
日字扣,ri'zi'kou
色丁布,se'ding'bu
上级领,shang'ji'ling
上臀围,shang'tun'wei
上胸围,shang'xiong'wei
上腰围,shang'yao'wei
上衣,shang'yi
手巾袋,shou'jin'dai
收省,shou'sheng
树脂衬,shu'zhi'chen
双门襟,shuang'men'jin
双嵌线口袋,shuang'qian'xian'kou'dai
顺风褶,shun'feng'zhe
丝光带,si'guang'dai
四眼扣,si'yan'kou
死褶,si'zhe
缩皱,suo'zhou
太阳裙,tai'yang'qun
坛领,tan'ling
贴布,tie'bu
贴袋,tie'dai
腿围,tui'wei
臀围,tun'wei
无纺衬,wu'fang'chen
五爪扣,wu'zhua'kou
西裤,xi'ku
膝围,xi'wei
西装,xi'zhuang
西装领,xi'zhuang'ling
西装袖,xi'zhuang'xiu
下摆,xia'bai
下级领,xia'ji'ling
下臀围,xia'tun'wei
下胸围,xia'xiong'wei
下腰围,xia'yao'wei
香蕉领,xiang'jiao'ling
小裆,xiao'dang
小肩宽,xiao'jian'kuan
小袖,xiao'xiu
蟹嵌领,xie'qian'ling
斜纹布,xie'wen'bu
胸宽,xiong'kuan
胸省,xiong'sheng
胸围,xiong'wei
袖衩,xiu'cha
袖长,xiu'chang
袖肥,xiu'fei
袖克夫,xiu'ke'fu
袖口,xiu'kou
袖窿,xiu'long
袖窿深,xiu'long'shen
袖山,xiu'shan
雪纺布,xue'fang'bu
雪花呢,xue'hua'ne
学生装,xue'sheng'zhuang
腰带,yao'dai
腰节,yao'jie
腰省,yao'sheng
腰贴,yao'tie
腰围,yao'wei
腋下省,ye'xia'sheng
衣长,yi'chang
一字领,yi'zi'ling
育克,yu'ke
圆领,yuan'ling
月牙袋,yue'ya'dai
运动裤,yun'dong'ku
运动装,yun'dong'zhuang
粘纸,zhan'zhi
织带,zhi'dai
直裆,zhi'dang
直开领,zhi'kai'ling
止绳器,zhi'sheng'qi
直筒裤,zhi'tong'ku
中山装,zhong'shan'zhuang
中袖,zhong'xiu
肘围,zhou'wei
主色,zhu'se
撞钉,zhuang'ding
撞色,zhuang'se
锥裤,zhui'ku
