白骨森林,bai'gu'sen'lin
不死国的生命树,bu'si'guo'de'sheng'ming'shu
查理,cha'li
查理九世,cha'li'jiu'shi
地狱温泉的诅咒,di'yu'wen'quan'de'zu'zhou
多多,duo'duo
恶灵栖息的乌鸦城,e'ling'qi'xi'de'wu'ya'cheng
恶魔医务室,e'mo'yi'wu'shi
厄运水晶头骨,e'yun'shui'jing'tou'gu
法老王之心,fa'lao'wang'zhi'xin
扶幽,fu'you
鬼公主的嫁衣,gui'gong'zhu'de'jia'yi
鬼影迷踪之旅,gui'ying'mi'zong'zhi'lv
海龟岛的狩猎者,hai'gui'dao'de'shou'lie'zhe
黑贝街的亡灵,hei'bei'jie'de'wang'ling
黑雾侏罗纪,hei'wu'zhu'luo'ji
胡沙,hu'sha
虎鲨,hu'sha
黄金地图之旅,huang'jin'di'tu'zhi'lv
恐怖的巫女面具,kong'bu'de'wu'nv'mian'ju
狼王,lang'wang
狼王洛基,lang'wang'luo'ji
雷欧幻像,lei'ou'huan'xiang
洛基,luo'ji
秘境徽章之旅,mi'jing'hui'zhang'zhi'lv
秘境珍宝之旅,mi'jing'zhen'bao'zhi'lv
冥府之船,ming'fu'zhi'chuan
墨多多,mo'duo'duo
青铜棺的葬礼,qing'tong'guan'de'zang'li
失落的海底城,shi'luo'de'hai'di'cheng
唐晓翼,tang'xiao'yi
婷婷,ting'ting
外星怪客,wai'xing'guai'ke
吸血鬼公墓,xi'xue'gui'gong'mu
亚瑟,ya'se
亚瑟冯蒙哥马利,ya'se'feng'meng'ge'ma'li
尧婷婷,yao'ting'ting
幽灵列车,you'ling'lie'che
羽蛇神的黄金眼,yu'she'shen'de'huang'jin'yan
战栗追踪之旅,zhan'li'zhui'zong'zhi'lv
最后的古寺神佛,zui'hou'de'gu'si'shen'fo
