巴尔苏科娃,ba'er'su'ke'wa
贝索诺娃,bei'suo'nuo'wa
踹燕,chuai'yan
踹转,chuai'zhuan
反跨跳,fan'kua'tiao
古登科,gu'deng'ke
后软翻,hou'ruan'fan
卡巴耶娃,ka'ba'ye'wa
卡纳耶娃,ka'na'ye'wa
卡普拉诺娃,ka'pu'la'nuo'wa
康达科娃,kang'da'ke'wa
里森松,li'sen'song
鹿跳,lu'tiao
马克西曼科,ma'ke'xi'man'ke
恰奇娜,qia'qi'na
恰希娜,qia'xi'na
前软翻,qian'ruan'fan
伊柳欣,yi'liu'xin
朱科娃,zhu'ke'wa
