暗黑牛巨人,an'hei'niu'ju'ren
暗黑牛人,an'hei'niu'ren
安息之地,an'xi'zhi'di
巴亚小魔女,ba'ya'xiao'mo'nv
半兽人,ban'shou'ren
半兽人刀客,ban'shou'ren'dao'ke
半兽人法王,ban'shou'ren'fa'wang
爆伤,bao'shang
变异顶角豹,bian'yi'ding'jiao'bao
变异吸血蚊,bian'yi'xi'xie'wen
变异蜘蛛,bian'yi'zhi'zhu
冰泪石,bing'lei'shi
冰女僵尸,bing'nv'jiang'shi
冰塔,bing'ta
播种者,bo'zhong'zhe
残暴狮角兽僵尸,can'bao'shi'jiao'shou'jiang'shi
成年猿猴怪,cheng'nian'yuan'hou'guai
初级,chu'ji
初心者,chu'xin'zhe
丛林野猪,cong'lin'ye'zhu
大马士革,da'ma'shi'ge
单手刀,dan'shou'dao
单手剑,dan'shou'jian
德古拉伯爵,de'gu'la'bo'jue
地狱双头犬,di'yu'shuang'tou'quan
顶角豹,ding'jiao'bao
毒蟾蜍,du'chan'chu
毒拉格虫,du'la'ge'chong
毒钳草,du'qian'cao
独眼红鹰兽,du'yan'hong'ying'shou
独眼鹰头目,du'yan'ying'tou'mu
盾剑士,dun'jian'shi
飞车,fei'che
绯红,fei'hong
疯狂食尸鬼,feng'kuang'shi'shi'gui
腐化食尸鬼,fu'hua'shi'shi'gui
钢铁,gang'tie
钢铁傀儡,gang'tie'kui'lei
钢铁石像鬼,gang'tie'shi'xiang'gui
攻击型机械黑熊怪,gong'ji'xing'ji'xie'hei'xiong'guai
攻击型机械蜘蛛怪,gong'ji'xing'ji'xie'zhi'zhu'guai
工匠之盒,gong'jiang'zhi'he
鬼刺客,gui'ci'ke
鬼战士,gui'zhan'shi
海蓝石,hai'lan'shi
寒冰食尸鬼,han'bing'shi'shi'gui
合金,he'jin
合金压缩,he'jin'ya'suo
黑暗士兵,hei'an'shi'bing
黑火神殿,hei'huo'shen'dian
黑羊精,hei'yang'jing
红宝石,hong'bao'shi
红蝎,hong'xie
湖畔兽,hu'pan'shou
呼啸沙漠,hu'xiao'sha'mo
滑板,hua'ban
黄昏忏悔者,huang'hun'chan'hui'zhe
黄昏湖畔,huang'hun'hu'pan
黄昏祭司,huang'hun'ji'si
黄昏梦魇,huang'hun'meng'yan
黄昏牛头怪,huang'hun'niu'tou'guai
黄昏食人魔,huang'hun'shi'ren'mo
黄昏守卫,huang'hun'shou'wei
黄昏特罗族,huang'hun'te'luo'zu
黄昏吞食者,huang'hun'tun'shi'zhe
黄昏要塞,huang'hun'yao'sai
黄昏之湖,huang'hun'zhi'hu
混合,hun'he
火红松鼠怪,huo'hong'song'shu'guai
火焰甲壳虫,huo'yan'jia'ke'chong
火眼巨人,huo'yan'ju'ren
火焰狼,huo'yan'lang
几率,ji'lv
机器长臂怪,ji'qi'chang'bi'guai
机器巨猿弓手,ji'qi'ju'yuan'gong'shou
机器巨猿怪,ji'qi'ju'yuan'guai
机器鸟,ji'qi'niao
机器野牛怪,ji'qi'ye'niu'guai
机械长炮怪,ji'xie'chang'pao'guai
僵尸,jiang'shi
僵尸猎犬,jiang'shi'lie'quan
僵尸男爵,jiang'shi'nan'jue
僵尸杀人犯,jiang'shi'sha'ren'fan
僵尸斯莱特,jiang'shi'si'lai'te
僵尸幼爵,jiang'shi'you'jue
僵尸战士,jiang'shi'zhan'shi
惊天动地,jing'tian'dong'di
酒瓮土人,jiu'weng'tu'ren
剧毒黄蝎,ju'du'huang'xie
巨壳虫,ju'ke'chong
巨木摧毁者,ju'mu'cui'hui'zhe
巨天蝎,ju'tian'xie
巨型毒蛇,ju'xing'du'she
巨型甲壳虫,ju'xing'jia'ke'chong
巨型石像鬼,ju'xing'shi'xiang'gui
