安魂曲,an'hun'qu
安然,an'ran
苍麟,cang'lin
楚歌,chu'ge
封魂术,feng'hun'shu
封魂者,feng'hun'zhe
光使,guang'shi
寒冰月引,han'bing'yue'yin
洄魂灵界,hui'hun'ling'jie
泷汐,long'xi
龙渊,long'yuan
洛淮,luo'huai
洛樱,luo'ying
名衔,ming'xian
墨零,mo'ling
莫名,mo'ming
穆汀霖,mu'ting'lin
诺斯雅,nuo'si'ya
翩然,pian'ran
蒲月,pu'yue
圣莫尔德,sheng'mo'er'de
圣上,sheng'shang
时空风暴,shi'kong'feng'bao
时空停顿,shi'kong'ting'dun
释世,shi'shi
弑吟皇沙,shi'yin'huang'sha
四灵门,si'ling'men
亡魂,wang'hun
武极,wu'ji
星蝶火舞,xing'die'huo'wu
星源,xing'yuan
夜凤,ye'feng
幽麋,you'mi
谕堇,yu'jin
镇元古塔,zhen'yuan'gu'ta
