奥场,ao'chang
八教,ba'jiao
病毒学国家重点实验室,bing'du'xue'guo'jia'zhong'dian'shi'yan'shi
薄熙来,bo'xi'lai
测绘学院,ce'hui'xue'yuan
测绘遥感信息工程国家重点实验室,ce'hui'yao'gan'xin'xi'gong'cheng'guo'jia'zhong'dian'shi'yan'shi
查全性,cha'quan'xing
陈昭方,chen'zhao'fang
陈政,chen'zheng
成才在珞珈,cheng'cai'zai'luo'jia
城市设计学院,cheng'shi'she'ji'xue'yuan
程晓轩,cheng'xiao'xuan
池莉,chi'li
大学生活动中心,da'xue'sheng'huo'dong'zhong'xin
戴德铮,dai'de'zheng
邓晓华,deng'xiao'hua
邓晓芒,deng'xiao'mang
第一临床医学院,di'yi'lin'chuang'yi'xue'yuan
电气工程学院,dian'qi'gong'cheng'xue'yuan
电子信息学院,dian'zi'xin'xi'xue'yuan
动力与机械学院,dong'li'yu'ji'xie'xue'yuan
窦文涛,dou'wen'tao
多功能报告厅,duo'gong'neng'bao'gao'ting
二教,er'jiao
法学院,fa'xue'yuan
范爱华,fan'ai'hua
方言学堂,fang'yan'xue'tang
冯天瑜,feng'tian'yu
枫园,feng'yuan
风云学子,feng'yun'xue'zi
付文亮,fu'wen'liang
工程,gong'cheng
公共卫生学院,gong'gong'wei'sheng'xue'yuan
龚健雅,gong'jian'ya
工学部,gong'xue'bu
顾海良,gu'hai'liang
桂园,gui'yuan
桂园食堂,gui'yuan'shi'tang
郭德银,guo'de'yin
国际软件学院,guo'ji'ruan'jian'xue'yuan
国家多媒体软件工程技术研究中心,guo'jia'duo'mei'ti'ruan'jian'gong'cheng'ji'shu'yan'jiu'zhong'xin
国家卫星定位系统工程技术研究中心,guo'jia'wei'xing'ding'wei'xi'tong'gong'cheng'ji'shu'yan'jiu'zhong'xin
国家重点实验室,guo'jia'zhong'dian'shi'yan'shi
国立武昌大学,guo'li'wu'chang'da'xue
国立武昌高等师范学校,guo'li'wu'chang'gao'deng'shi'fan'xue'xiao
国立武昌师范大学,guo'li'wu'chang'shi'fan'da'xue
国立武昌中山大学,guo'li'wu'chang'zhong'shan'da'xue
国立武汉大学,guo'li'wu'han'da'xue
郭齐勇,guo'qi'yong
韩德培,han'de'pei
弘毅,hong'yi
弘毅大酒店,hong'yi'da'jiu'dian
侯杰昌,hou'jie'chang
湖北医科大学,hu'bei'yi'ke'da'xue
湖滨,hu'bin
湖滨食堂,hu'bin'shi'tang
湖医,hu'yi
化学与分子科学学院,hua'xue'yu'fen'zi'ke'xue'xue'yuan
黄从新,huang'cong'xin
皇皇武大,huang'huang'wu'da
黄进,huang'jin
基础医学院,ji'chu'yi'xue'yuan
计算机学院,ji'suan'ji'xue'yuan
继续教育学院,ji'xu'jiao'yu'xue'yuan
记者团,ji'zhe'tuan
贾小华,jia'xiao'hua
教二,jiao'er
教六,jiao'liu
教七,jiao'qi
教三,jiao'san
教四,jiao'si
教五,jiao'wu
教五多功能报告厅,jiao'wu'duo'gong'neng'bao'gao'ting
教一,jiao'yi
教育科学学院,jiao'yu'ke'xue'xue'yuan
经管院,jing'guan'yuan
经济与管理学院,jing'ji'yu'guan'li'xue'yuan
九教,jiu'jiao
口腔医学院,kou'qiang'yi'xue'yuan
鲲鹏广场,kun'peng'guang'chang
兰世立,lan'shi'li
老图书馆,lao'tu'shu'guan
老斋舍,lao'zhai'she
李德仁,li'de'ren
李工真,li'gong'zhen
李敬一,li'jing'yi
李龙,li'long
李清泉,li'qing'quan
历史学院哲学学院,li'shi'xue'yuan'zhe'xue'xue'yuan
李文鑫,li'wen'xin
两院院士,liang'yuan'yuan'shi
凌波门,ling'bo'men
刘道玉,liu'dao'yu
刘纲纪,liu'gang'ji
六教,liu'jiao
刘经南,liu'jing'nan
留学生教育学院,liu'xue'sheng'jiao'yu'xue'yuan
六一惨案,liu'yi'can'an
六一纪念亭,liu'yi'ji'nian'ting
刘正猷,liu'zheng'you
龙小乐,long'xiao'le
珞珈,luo'jia
珞珈青年报,luo'jia'qing'nian'bao
珞珈山,luo'jia'shan
珞珈山水,luo'jia'shan'shui
珞珈山庄,luo'jia'shan'zhuang
珞珈文化广场,luo'jia'wen'hua'guang'chang
珞珈新闻网,luo'jia'xin'wen'wang
珞青,luo'qing
罗以澄,luo'yi'cheng
骆郁廷,luo'yu'ting
吕应堂,lv'ying'tang
马克昌,ma'ke'chang
茆智,mao'zhi
梅操,mei'cao
梅园,mei'yuan
宁津生,ning'jin'sheng
彭斐章,peng'fei'zhang
彭玲,peng'ling
七教,qi'jiao
青年传媒,qing'nian'chuan'mei
情人坡,qing'ren'po
求是,qiu'shi
求知在武大,qiu'zhi'zai'wu'da
人文馆,ren'wen'guan
人文馆主厅,ren'wen'guan'zhu'ting
软件工程国家重点实验室,ruan'jian'gong'cheng'guo'jia'zhong'dian'shi'yan'shi
三环学生公寓,san'huan'xue'sheng'gong'yu
三教,san'jiao
山水,shan'shui
尚重生,shang'chong'sheng
社会学系,she'hui'xue'xi
生命科学学院,sheng'ming'ke'xue'xue'yuan
十八栋,shi'ba'dong
十大风云学子,shi'da'feng'yun'xue'zi
十教,shi'jiao
世界上最美丽的大学,shi'jie'shang'zui'mei'li'de'da'xue
十一教,shi'yi'jiao
狮子山,shi'zi'shan
舒红兵,shu'hong'bing
数学与统计学院,shu'xue'yu'tong'ji'xue'yuan
水利水电学院,shui'li'shui'dian'xue'yuan
水资源与水电工程科学国家重点实验室,shui'zi'yuan'yu'shui'dian'gong'cheng'ke'xue'guo'jia'zhong'dian'shi'yan'shi
四大名嘴,si'da'ming'zui
四教,si'jiao
宋卿体育馆,song'qing'ti'yu'guan
孙蒙祥,sun'meng'xiang
谭崇台,tan'chong'tai
谭铮,tan'zheng
陶德麟,tao'de'lin
桃园,tao'yuan
体育部,ti'yu'bu
天地玄黄,tian'di'xuan'huang
田园小观园,tian'yuan'xiao'guan'yuan
土木建筑工程学院,tu'mu'jian'zhu'gong'cheng'xue'yuan
团委,tuan'wei
拓新,tuo'xin
外国语言文学学院,wai'guo'yu'yan'wen'xue'xue'yuan
外联部,wai'lian'bu
王传中,wang'chuan'zhong
王为忠,wang'wei'zhong
未来网,wei'lai'wang
未名湖,wei'ming'hu
文理学部,wen'li'xue'bu
文学院,wen'xue'yuan
武测,wu'ce
武大,wu'da
武大附小,wu'da'fu'xiao
武大附中,wu'da'fu'zhong
武汉测绘科技大学,wu'han'ce'hui'ke'ji'da'xue
武汉大学,wu'han'da'xue
武汉大学东湖分校,wu'han'da'xue'dong'hu'fen'xiao
武汉大学青年传媒,wu'han'da'xue'qing'nian'chuan'mei
武汉大学人民医院,wu'han'da'xue'ren'min'yi'yuan
武汉大学三环学生公寓,wu'han'da'xue'san'huan'xue'sheng'gong'yu
武汉大学中南医院,wu'han'da'xue'zhong'nan'yi'yuan
武汉水利电力大学,wu'han'shui'li'dian'li'da'xue
吴建国,wu'jian'guo
五教,wu'jiao
吴俊培,wu'jun'pei
物理科学与技术学院,wu'li'ke'xue'yu'ji'shu'xue'yuan
吴黎明,wu'li'ming
武水,wu'shui
小观园,xiao'guan'yuan
谢红星,xie'hong'xing
谢鉴衡,xie'jian'heng
新闻与传播学院,xin'wen'yu'chuan'bo'xue'yuan
信息管理学院,xin'xi'guan'li'xue'yuan
信息学部,xin'xi'xue'bu
行政楼,xing'zheng'lou
学工部,xue'gong'bu
研工部,yan'gong'bu
研究生会,yan'jiu'sheng'hui
杨弘远,yang'hong'yuan
遥感信息工程学院,yao'gan'xin'xi'gong'cheng'xue'yuan
药学院,yao'xue'yuan
易帆,yi'fan
艺术系,yi'shu'xi
医学部,yi'xue'bu
易中天,yi'zhong'tian
印刷与包装系,yin'shua'yu'bao'zhuang'xi
樱顶,ying'ding
樱二,ying'er
樱花大道,ying'hua'da'dao
樱三,ying'san
樱四,ying'si
樱一,ying'yi
樱园,ying'yuan
尤传明,you'chuan'ming
俞湛明,yu'zhan'ming
张培刚,zhang'pei'gang
张仁铎,zhang'ren'duo
张蔚榛,zhang'wei'zhen
张在元,zhang'zai'yuan
张祖勋,zhang'zu'xun
赵林,zhao'lin
赵兴中,zhao'xing'zhong
政管院,zheng'guan'yuan
政治与公共管理学院,zheng'zhi'yu'gong'gong'guan'li'xue'yuan
中国最杰出的大学,zhong'guo'zui'jie'chu'de'da'xue
周创兵,zhou'chuang'bing
主教,zhu'jiao
朱英国,zhu'ying'guo
卓仁禧,zhuo'ren'xi
自强,zi'qiang
自强网,zi'qiang'wang
自强学堂,zi'qiang'xue'tang
资源与环境科学学院,zi'yuan'yu'huan'jing'ke'xue'xue'yuan
