安和街口,an'he'jie'kou
宝华寺,bao'hua'si
北门诗碑,bei'men'shi'bei
部队,bu'dui
陈家坝,chen'jia'ba
辰龙超市,chen'long'chao'shi
城北综合市场,cheng'bei'zong'he'shi'chang
赤壁东路,chi'bi'dong'lu
赤璧东路,chi'bi'dong'lu
崇礼十字路,chong'li'shi'zi'lu
崇礼十字路口,chong'li'shi'zi'lu'kou
崇礼镇,chong'li'zhen
崇仁路口,chong'ren'lu'kou
川港家居广场,chuan'gang'jia'ju'guang'chang
川眉公司,chuan'mei'gong'si
川西南家居商城,chuan'xi'nan'jia'ju'shang'cheng
大北街口,da'bei'jie'kou
大石桥,da'shi'qiao
大治桥,da'zhi'qiao
道班房,dao'ban'fang
电解铝厂,dian'jie'lv'chang
电信局,dian'xin'ju
丁字口,ding'zi'kou
东湖饭店,dong'hu'fan'dian
东门车站,dong'men'che'zhan
东坡湖公园,dong'po'hu'gong'yuan
东坡中学,dong'po'zhong'xue
东升齿轮厂,dong'sheng'chi'lun'chang
洞子口,dong'zi'kou
多能公司,duo'neng'gong'si
多悦路口,duo'yue'lu'kou
耳鼻喉医院,er'bi'hou'yi'yuan
府街,fu'jie
府街口,fu'jie'kou
复盛砖厂,fu'sheng'zhuan'chang
革新,ge'xin
工业学校,gong'ye'xue'xiao
瓜子巷,gua'zi'xiang
观音场,guan'yin'chang
光华,guang'hua
广州本田恒富店,guang'zhou'ben'tian'heng'fu'dian
桂香街,gui'xiang'jie
海棠花园,hai'tang'hua'yuan
韩宾砖厂,han'bin'zhuan'chang
杭州路北段,hang'zhou'lu'bei'duan
杭州路中段,hang'zhou'lu'zhong'duan
恒泰家属区,heng'tai'jia'shu'qu
恒泰企业,heng'tai'qi'ye
红星路东延段,hong'xing'lu'dong'yan'duan
红星路口,hong'xing'lu'kou
胡惠桥,hu'hui'qiao
花草街口,hua'cao'jie'kou
华意苑,hua'yi'yuan
环湖路东延段,huan'hu'lu'dong'yan'duan
环湖路口,huan'hu'lu'kou
黄家,huang'jia
会展中心,hui'zhan'zhong'xin
火车站,huo'che'zhan
激情广场,ji'qing'guang'chang
加汽站,jia'qi'zhan
检测站,jian'ce'zhan
建国砖厂,jian'guo'zhuan'chang
健康家园,jian'kang'jia'yuan
街心花园,jie'xin'hua'yuan
金晨花园,jin'chen'hua'yuan
金花路口,jin'hua'lu'kou
金罗马广场,jin'luo'ma'guang'chang
金象化工,jin'xiang'hua'gong
金鑫街,jin'xin'jie
进站路,jin'zhan'lu
进站路口,jin'zhan'lu'kou
军分区,jun'fen'qu
科工园区,ke'gong'yuan'qu
科管委,ke'guan'wei
科技校,ke'ji'xiao
蓝色港湾,lan'se'gang'wan
六五零一,liu'wu'ling'yi
罗平路口,luo'ping'lu'kou
眉东大市场,mei'dong'da'shi'chang
玫瑰园八区,mei'gui'yuan'ba'qu
玫瑰园十区,mei'gui'yuan'shi'qu
眉科校基地,mei'ke'xiao'ji'di
眉青路,mei'qing'lu
眉青路口,mei'qing'lu'kou
眉山西门车站,mei'shan'xi'men'che'zhan
眉山一中,mei'shan'yi'zhong
眉师附小,mei'shi'fu'xiao
眉象路口,mei'xiang'lu'kou
眉中,mei'zhong
眉州大酒店,mei'zhou'da'jiu'dian
眉州大洒店,mei'zhou'da'sa'dian
眉州商城,mei'zhou'shang'cheng
蒙牛乳业,meng'niu'ru'ye
岷江河堤,min'jiang'he'di
岷江一桥西,min'jiang'yi'qiao'xi
南门口,nan'men'kou
蓬莱广场,peng'lai'guang'chang
启明星花园,qi'ming'xing'hua'yuan
区公安分局,qu'gong'an'fen'ju
区工会,qu'gong'hui
区疾控中心,qu'ji'kong'zhong'xin
区检察院,qu'jian'cha'yuan
区运管所,qu'yun'guan'suo
人字路,ren'zi'lu
三苏祠,san'su'ci
三苏祠西门,san'su'ci'xi'men
三苏大道,san'su'da'dao
三苏广场,san'su'guang'chang
三医院,san'yi'yuan
三圆广场,san'yuan'guang'chang
商业街,shang'ye'jie
商业街口,shang'ye'jie'kou
市车管所,shi'che'guan'suo
时代广场,shi'dai'guang'chang
市党校,shi'dang'xiao
市地税局,shi'di'shui'ju
市房管局,shi'fang'guan'ju
石佛路口,shi'fo'lu'kou
市福利院,shi'fu'li'yuan
市妇幼保健院,shi'fu'you'bao'jian'yuan
市公安局,shi'gong'an'ju
市公交公司,shi'gong'jiao'gong'si
市客运中心,shi'ke'yun'zhong'xin
市客运中心站,shi'ke'yun'zhong'xin'zhan
市劳动保障局,shi'lao'dong'bao'zhang'ju
市三医院,shi'san'yi'yuan
诗书城公园,shi'shu'cheng'gong'yuan
诗书路南段,shi'shu'lu'nan'duan
市行政服务中心,shi'xing'zheng'fu'wu'zhong'xin
实验中学,shi'yan'zhong'xue
市医院,shi'yi'yuan
市运管处,shi'yun'guan'chu
市政府,shi'zheng'fu
十字口,shi'zi'kou
双燕口,shuang'yan'kou
思蒙,si'meng
苏祠路,su'ci'lu
苏祠中学,su'ci'zhong'xue
苏湖路,su'hu'lu
苏南市场,su'nan'shi'chang
苏源路口,su'yuan'lu'kou
太平,tai'ping
田家炳中学,tian'jia'bing'zhong'xue
铁环路,tie'huan'lu
铁路桥,tie'lu'qiao
铁四处,tie'si'chu
通惠街,tong'hui'jie
通惠苑,tong'hui'yuan
通威,tong'wei
通威集团,tong'wei'ji'tuan
万坝子,wan'ba'zi
五里山,wu'li'shan
五零五厂,wu'ling'wu'chang
五路车站,wu'lu'che'zhan
污水处理厂,wu'shui'chu'li'chang
西门牌坊,xi'men'pai'fang
西外路口,xi'wai'lu'kou
西象桥,xi'xiang'qiao
下西街,xia'xi'jie
鲜滩,xian'tan
县医院,xian'yi'yuan
象耳镇,xiang'er'zhen
小石堰,xiao'shi'yan
新街口,xin'jie'kou
兴隆街口,xing'long'jie'kou
旭光小区北门,xu'guang'xiao'qu'bei'men
旭光小区东门,xu'guang'xiao'qu'dong'men
移动公司,yi'dong'gong'si
一环路口,yi'huan'lu'kou
一环路南段,yi'huan'lu'nan'duan
一环西路,yi'huan'xi'lu
义乌商贸城,yi'wu'shang'mao'cheng
银杏花园,yin'xing'hua'yuan
永寿站,yong'shou'zhan
运管所,yun'guan'suo
招呼站一,zhao'hu'zhan'yi
镇南桥,zhen'nan'qiao
质检站,zhi'jian'zhan
职业技术学院,zhi'ye'ji'shu'xue'yuan
中铁医院,zhong'tie'yi'yuan
中医院,zhong'yi'yuan
左岸半岛,zuo'an'ban'dao
