阿波罗,a'bo'luo
毒蛇吐雾,du'she'tu'wu
毒蜥,du'xi
盾牌座,dun'pai'zuo
恶狼觅食,e'lang'mi'shi
二又一成,er'you'yi'cheng
法库达得尔鲁,fa'ku'da'de'er'lu
费列基亚,fei'lie'ji'ya
菲路,fei'lu
飞马座,fei'ma'zuo
飞鱼座,fei'yu'zuo
纷争女神,fen'zheng'nv'shen
蜂后毒刺,feng'hou'du'ci
凤凰幻魔拳,feng'huang'huan'mo'quan
凤凰座,feng'huang'zuo
丰鸣真干子,feng'ming'zhen'gan'zi
凤翼天翔,feng'yi'tian'xiang
弗莱雅,fu'lai'ya
辅星,fu'xing
干本雄之,gan'ben'xiong'zhi
钢铁圣斗士,gang'tie'sheng'dou'shi
哥顿,ge'dun
戈耳工,ge'er'gong
隔离襟翼,ge'li'jin'yi
古川登至夫,gu'chuan'deng'zhi'fu
古川登志夫,gu'chuan'deng'zhi'fu
古谷彻,gu'gu'che
古利拿,gu'li'na
挂川裕彦,gua'chuan'yu'yan
関俊彦,guan'jun'yan
广川太一郎,guang'chuan'tai'yi'lang
贵鬼,gui'gui
哈迪斯,ha'di'si
哈根,ha'gen
海斗士,hai'dou'shi
海皇,hai'huang
海龙,hai'long
海马,hai'ma
海魔女,hai'mo'nv
海蛇座,hai'she'zuo
海豚,hai'tun
海豚座,hai'tun'zuo
海王,hai'wang
海之潮大冢芳忠,hai'zhi'chao'da'zhong'fang'zhong
寒冷的龙卷风,han'leng'de'long'juan'feng
赫尔墨斯,he'er'mo'si
赫淮斯托斯,he'huai'si'tuo'si
赫拉,he'la
黑暗流星锁链,hei'an'liu'xing'suo'lian
黑暗流牙星云,hei'an'liu'ya'xing'yun
黑暗星云锁链,hei'an'xing'yun'suo'lian
黑玫瑰,hei'mei'gui
黑死拳,hei'si'quan
黑翼拳,hei'yi'quan
红玫瑰,hong'mei'gui
红血花切刀,hong'xue'hua'qie'dao
后发座,hou'fa'zuo
户谷公次,hu'gu'gong'ci
狐狸座,hu'li'zuo
幻胧魔皇拳,huan'long'mo'huang'quan
黄金盾,huang'jin'dun
黄金箭,huang'jin'jian
黄金魔鬼三角,huang'jin'mo'gui'san'jiao
黄金枪,huang'jin'qiang
黄金权杖,huang'jin'quan'zhang
皇室魔鬼玫瑰,huang'shi'mo'gui'mei'gui
灰暗警告冲击波,hui'an'jing'gao'chong'ji'bo
绘架座,hui'jia'zuo
回力镖攻击,hui'li'biao'gong'ji
绘梨衣,hui'li'yi
回旋飞轮,hui'xuan'fei'lun
火蛇吐舌,huo'she'tu'she
火神,huo'shen
火焰绞绳,huo'yan'jiao'sheng
火焰圣斗士,huo'yan'sheng'dou'shi
火焰战士,huo'yan'zhan'shi
极地凶狼爪,ji'di'xiong'lang'zhao
基加斯,ji'jia'si
极乐净土,ji'le'jing'tu
基鲁提,ji'lu'ti
吉洛斯,ji'luo'si
积尸气冥界波,ji'shi'qi'ming'jie'bo
唧筒座,ji'tong'zuo
吉欣,ji'xin
加比拉,jia'bi'la
加隆,jia'long
加路达,jia'lu'da
嘉米尔,jia'mi'er
假面,jia'mian
箭鱼座,jian'yu'zuo
江森浩子,jiang'sen'hao'zi
教皇殿,jiao'huang'dian
结冰环,jie'bing'huan
捷古弗里德,jie'gu'fu'li'de
金光火焰旋风拳,jin'guang'huo'yan'xuan'feng'quan
津嘉山正种,jin'jia'shan'zheng'zhong
金牛宫,jin'niu'gong
金牛座,jin'niu'zuo
精灵,jing'ling
精灵魔拳,jing'ling'mo'quan
井上和彦,jing'shang'he'yan
鲸鱼座,jing'yu'zuo
酒神,jiu'shen
九天游龙拳,jiu'tian'you'long'quan
菊池正美,ju'chi'zheng'mei
矩尺座,ju'chi'zuo
巨爵座,ju'jue'zuo
巨犬座,ju'quan'zuo
巨蛇座,ju'she'zuo
巨蟹宫,ju'xie'gong
巨蟹座,ju'xie'zuo
巨熊拳,ju'xiong'quan
巨鹰飞扑,ju'ying'fei'pu
绝对零度冻气,jue'dui'ling'du'dong'qi
掘秀行,jue'xiu'xing
均衡诅咒,jun'heng'zu'zhou
卡隆,ka'long
卡妙,ka'miao
卡萨,ka'sa
卡西欧士,ka'xi'ou'shi
开阳,kai'yang
孔雀座,kong'que'zuo
堀川亮,ku'chuan'liang
堀江美都子,ku'jiang'mei'dou'zi
骷髅,ku'lou
堀之纪,ku'zhi'ji
狂斗士,kuang'dou'shi
拉达曼迪斯,la'da'man'di'si
莱米,lai'mi
狼座那智,lang'zuo'na'zhi
黎达,li'da
利达,li'da
连环星云阵,lian'huan'xing'yun'zhen
猎户座,lie'hu'zuo
猎犬座,lie'quan'zuo
猎鹰天网,lie'ying'tian'wang
铃木,ling'mu
铃木富子,ling'mu'fu'zi
铃置洋孝,ling'zhi'yang'xiao
六道轮回,liu'dao'lun'hui
六分仪座,liu'fen'yi'zuo
六圣兽,liu'sheng'shou
流星拳,liu'xing'quan
隆隆,long'long
鹿豹座,lu'bao'zuo
路尼,lu'ni
庐山百龙霸,lu'shan'bai'long'ba
庐山亢龙霸,lu'shan'kang'long'ba
庐山龙飞翔,lu'shan'long'fei'xiang
庐山升龙霸,lu'shan'sheng'long'ba
庐山五老峰,lu'shan'wu'lao'feng
洛克,luo'ke
罗盘座,luo'pan'zuo
洛山群狼拳,luo'shan'qun'lang'quan
螺旋形链阵,luo'xuan'xing'lian'zhen
马路其诺,ma'lu'qi'nuo
梅杜莎盾,mei'du'sha'dun
美格列斯阿路贝利希,mei'ge'lie'si'a'lu'bei'li'xi
美古拉兹星,mei'gu'la'zi'xing
美拉克哈根,mei'la'ke'ha'gen
美人鱼,mei'ren'yu
美斯狄,mei'si'di
美穗,mei'sui
美裕,mei'yu
米鲁斯,mi'lu'si
米罗,mi'luo
米妙,mi'miao
米诺斯,mi'nuo'si
米诺陶洛斯,mi'nuo'tao'luo'si
米沙鲁斯多,mi'sha'lu'si'duo
米伊美,mi'yi'mei
冥王,ming'wang
魔鬼鱼,mo'gui'yu
魔鬼紫水晶,mo'gui'zi'shui'jing
摩羯宫,mo'jie'gong
摩羯座,mo'jie'zuo
魔铃,mo'ling
魔玲,mo'ling
末那识,mo'na'shi
摩西斯,mo'xi'si
魔弦送葬曲,mo'xian'song'zang'qu
牧夫座,mu'fu'zuo
穆公馆,mu'gong'guan
目黑裕一,mu'hei'yu'yi
穆先生,mu'xian'sheng
纳谷六朗,na'gu'liu'lang
南冰洋,nan'bing'yang
难波圭一,nan'bo'gui'yi
南大西洋,nan'da'xi'yang
南极座,nan'ji'zuo
南冕座,nan'mian'zuo
南三角座,nan'san'jiao'zuo
南十字座,nan'shi'zi'zuo
南太平洋,nan'tai'ping'yang
南鱼座,nan'yu'zuo
尼奥比,ni'ao'bi
牛哥,niu'ge
农神,nong'shen
怒海浪涛,nu'hai'lang'tao
欧克斯,ou'ke'si
潘惠子,pan'hui'zi
炮车行星拳,pao'che'xing'xing'quan
平井章子,ping'jing'zhang'zi
平野正人,ping'ye'zheng'ren
粕谷雄太,po'gu'xiong'tai
破坏小夜曲,po'huai'xiao'ye'qu
麒麟座,qi'lin'zuo
桥本晃一,qiao'ben'huang'yi
擒心术,qin'xin'shu
青蛙,qing'wa
丘布,qiu'bu
人马宫,ren'ma'gong
人马座,ren'ma'zuo
撒加,sa'jia
撒密安,sa'mi'an
三角座,san'jiao'zuo
三矢雄二,san'shi'xiong'er
森功至,sen'gong'zhi
莎尔娜,sha'er'na
沙加,sha'jia
沙穆,sha'mu
沙沙,sha'sha
山案座,shan'an'zuo
闪电波攻击,shan'dian'bo'gong'ji
闪电光速拳,shan'dian'guang'su'quan
闪电离子,shan'dian'li'zi
珊瑚赞美诗,shan'hu'zan'mei'shi
山口健,shan'kou'jian
山田,shan'tian
山羊宫,shan'yang'gong
上村典子,shang'cun'dian'zi
蛇夫座,she'fu'zuo
射手宫,she'shou'gong
神斗士,shen'dou'shi
神谷明,shen'gu'ming
深红毒针,shen'hong'du'zhen
神圣衣,shen'sheng'yi
神使,shen'shi
神压拳,shen'ya'quan
圣剑,sheng'jian
胜利女神,sheng'li'nv'shen
圣衣坟场,sheng'yi'fen'chang
史昂,shi'ang
士比加,shi'bi'jia
史丹德,shi'dan'de
施恩,shi'en
狮纲拳,shi'gang'quan
狮鹫,shi'jiu
史里乌,shi'li'wu
室女座,shi'nv'zuo
石人,shi'ren
食人鱼玫瑰,shi'ren'yu'mei'gui
矢田耕司,shi'tian'geng'si
石田英郎,shi'tian'ying'lang
时钟座,shi'zhong'zuo
石竹阵,shi'zhu'zhen
狮子宫,shi'zi'gong
狮子座,shi'zi'zuo
曙光女神之宽恕,shu'guang'nv'shen'zhi'kuan'shu
竖琴光速拳,shu'qin'guang'su'quan
双鱼宫,shuang'yu'gong
双鱼座,shuang'yu'zuo
双子宫,shuang'zi'gong
双子座,shuang'zi'zuo
水岛裕,shui'dao'yu
水晶墙,shui'jing'qiang
水晶圣斗士,shui'jing'sheng'dou'shi
水晶战士,shui'jing'zhan'shi
水母,shui'mu
水瓶宫,shui'ping'gong
水蛇,shui'she
水蛇座,shui'she'zuo
睡神,shui'shen
斯巴达,si'ba'da
斯毕加,si'bi'jia
斯多,si'duo
死神,si'shen
死亡高潮,si'wang'gao'chao
死亡弦乐曲,si'wang'xian'yue'qu
苏兰特,su'lan'te
苏尼翁海岬,su'ni'weng'hai'jia
速水奖,su'shui'jiang
娑罗双树,suo'luo'shuang'shu
桫椤双树,suo'luo'shuang'shu
太阳神,tai'yang'shen
弹跳巨石,tan'tiao'ju'shi
藤田淑子,teng'tian'shu'zi
天暗星,tian'an'xing
天败星,tian'bai'xing
天暴星,tian'bao'xing
天崩地裂闪光冲击波,tian'beng'di'lie'shan'guang'chong'ji'bo
天秤宫,tian'cheng'gong
天秤座,tian'cheng'zuo
天帝,tian'di
天鹅座,tian'e'zuo
天富星,tian'fu'xing
天罡星,tian'gang'xing
天鸽座,tian'ge'zuo
天孤星,tian'gu'xing
天贵星,tian'gui'xing
天鹤座,tian'he'zuo
天后,tian'hou
天慧星,tian'hui'xing
天玑,tian'ji
天机星,tian'ji'xing
天健星,tian'jian'xing
天剑星,tian'jian'xing
天箭座,tian'jian'zuo
天鹫喷射风,tian'jiu'pen'she'feng
天究星,tian'jiu'xing
天空星,tian'kong'xing
天哭星,tian'ku'xing
天魁星,tian'kui'xing
天牢星,tian'lao'xing
天龙座,tian'long'zuo
天炉座,tian'lu'zuo
天马彗星拳,tian'ma'hui'xing'quan
天马回旋碎击拳,tian'ma'hui'xuan'sui'ji'quan
天马流星拳,tian'ma'liu'xing'quan
天马座,tian'ma'zuo
天满星,tian'man'xing
天猫座,tian'mao'zuo
天猛星,tian'meng'xing
天魔降伏魑魅魍魉,tian'mo'xiang'fu'chi'mei'wang'liang
天平宫,tian'ping'gong
天平星,tian'ping'xing
天巧星,tian'qiao'xing
天琴座,tian'qin'zuo
天权,tian'quan
天煞星,tian'sha'xing
天伤星,tian'shang'xing
天寿星,tian'shou'xing
天枢,tian'shu
天速星,tian'su'xing
天损星,tian'sun'xing
天坛座,tian'tan'zuo
天兔座,tian'tu'zuo
天退星,tian'tui'xing
天威星,tian'wei'xing
天微星,tian'wei'xing
天舞宝轮,tian'wu'bao'lun
天闲星,tian'xian'xing
天蝎宫,tian'xie'gong
天蝎座,tian'xie'zuo
天雄星,tian'xiong'xing
天璇,tian'xuan
天玄星,tian'xuan'xing
天燕座,tian'yan'zuo
天异星,tian'yi'xing
天英星,tian'ying'xing
天鹰座,tian'ying'zuo
天勇星,tian'yong'xing
天佑星,tian'you'xing
天之翔,tian'zhi'xiang
田中和美,tian'zhong'he'mei
田中亮一,tian'zhong'liang'yi
田中秀幸,tian'zhong'xiu'xing
天罪星,tian'zui'xing
童虎,tong'hu
铜球锁链,tong'qiu'suo'lian
土之大地,tu'zhi'da'di
托比杰克弗里德,tuo'bi'jie'ke'fu'li'de
瓦马,wa'ma
腕力幽禁,wan'li'you'jin
网罟座,wang'gu'zuo
王虎,wang'hu
望远镜座,wang'yuan'jing'zuo
魏班,wei'ban
五感,wu'gan
屋良有作,wu'liang'you'zuo
武仙座,wu'xian'zuo
乌鸦座,wu'ya'zuo
希露达,xi'lu'da
西路费都,xi'lu'fei'dou
吸血蝙蝠,xi'xie'bian'fu
蜥蜴座,xi'yi'zuo
仙后,xian'hou
仙后座,xian'hou'zuo
仙女星云,xian'nv'xing'yun
仙女座,xian'nv'zuo
仙女座瞬,xian'nv'zuo'shun
仙王座,xian'wang'zuo
显微镜座,xian'wei'jing'zuo
弦乐末端,xian'yue'mo'duan
弦乐夜曲,xian'yue'ye'qu
小林通孝,xiao'lin'tong'xiao
小马座,xiao'ma'zuo
小米,xiao'mi
小穆,xiao'mu
小犬座,xiao'quan'zuo
小撒,xiao'sa
小狮座,xiao'shi'zuo
小西克幸,xiao'xi'ke'xing
小熊座,xiao'xiong'zuo
小野坂昌也,xiao'ye'ban'chang'ye
小屿一成,xiao'yu'yi'cheng
蝎虎座,xie'hu'zuo
邪武,xie'wu
星光灭绝,xing'guang'mie'jue
星华,xing'hua
星矢,xing'shi
星屑旋转功,xing'xie'xuan'zhuan'gong
星云风暴,xing'yun'feng'bao
星云气流,xing'yun'qi'liu
星云锁链,xing'yun'suo'lian
修罗,xiu'luo
修普诺斯,xiu'pu'nuo'si
旋风飞斧,xuan'feng'fei'fu
旋风巨浪拳,xuan'feng'ju'lang'quan
漩涡神拳,xuan'wo'shen'quan
旋转冰封拳,xuan'zhuan'bing'feng'quan
旋转划桨,xuan'zhuan'hua'jiang
旋转星云阵,xuan'zhuan'xing'yun'zhen
薛安,xue'an
血玫瑰,xue'mei'gui
雅柏菲卡,ya'bai'fei'ka
雅典娜,ya'dian'na
雅典娜圣衣,ya'dian'na'sheng'yi
雅典娜之血,ya'dian'na'zhi'xue
雅可夫,ya'ke'fu
亚利欧托法利路,ya'li'ou'tuo'fa'li'lu
亚历士,ya'li'shi
亚路比奥尼,ya'lu'bi'ao'ni
亚路杰狄,ya'lu'jie'di
蝘蜓座,yan'ting'zuo
盐屋翼,yan'wu'yi
盐泽兼人,yan'ze'jian'ren
炎之剑,yan'zhi'jian
摇光,yao'guang
野岛昭生,ye'dao'zhao'sheng
野马吐焰拳,ye'ma'tu'yan'quan
伊奥,yi'ao
异次元空间,yi'ci'yuan'kong'jian
一辉,yi'hui
伊万,yi'wan
印地安座,yin'di'an'zuo
印度洋海皇子,yin'du'yang'hai'huang'zi
银河爆裂,yin'he'bao'lie
银河万丈,yin'he'wan'zhang
银河星爆,yin'he'xing'bao
银蝇座,yin'ying'zuo
鹰神爪,ying'shen'zhao
英仙座,ying'xian'zuo
影子,ying'zi
尤卡昂,you'ka'ang
尤莉狄斯,you'li'di'si
幽灵箭,you'ling'jian
幽灵圣斗士,you'ling'sheng'dou'shi
幽灵战士姬斯坦,you'ling'zhan'shi'ji'si'tan
御夫座,yu'fu'zuo
玉夫座,yu'fu'zuo
玉衡,yu'heng
宇宙大幻觉,yu'zhou'da'huan'jue
宇宙冷冻拳,yu'zhou'leng'dong'quan
宇宙提线木偶,yu'zhou'ti'xian'mu'ou
圆规座,yuan'gui'zuo
远藤智佳,yuan'teng'zhi'jia
原子光束拳,yuan'zi'guang'shu'quan
原子闪电光速拳,yuan'zi'shan'dian'guang'su'quan
月华,yue'hua
月亮女神,yue'liang'nv'shen
云石旋风拳,yun'shi'xuan'feng'quan
赞高,zan'gao
战神,zhan'shen
珍妮,zhen'ni
真实的欲望,zhen'shi'de'yu'wang
