阿嘉娜,a'jia'na
阿老,a'lao
阿越,a'yue
艾麟,ai'lin
艾民有,ai'min'you
艾启蒙,ai'qi'meng
爱斯基摩艺术,ai'si'ji'mo'yi'shu
安昌奎,an'chang'kui
暗橙,an'cheng
安德义,an'de'yi
安鼎文,an'ding'wen
安敦礼,an'dun'li
暗粉,an'fen
暗粉红,an'fen'hong
安宏,an'hong
暗绛红,an'jiang'hong
暗兰,an'lan
安良发,an'liang'fa
暗麦绿,an'mai'lv
安明阳,an'ming'yang
暗水绿,an'shui'lv
安铁军,an'tie'jun
安阳宋墓壁画,an'yang'song'mu'bi'hua
安耀华,an'yao'hua
暗夜蓝,an'ye'lan
安毅,an'yi
安正中,an'zheng'zhong
奥费主义,ao'fei'zhu'yi
凹凸光,ao'tu'guang
巴达荣桂,ba'da'rong'gui
八幡关太郎,ba'fan'guan'tai'lang
八方行笔,ba'fang'xing'bi
巴光明,ba'guang'ming
巴荒,ba'huang
巴黎画派,ba'li'hua'pai
巴洛克美术,ba'luo'ke'mei'shu
巴洛克艺术,ba'luo'ke'yi'shu
巴山蜀水壁画,ba'shan'shu'shui'bi'hua
白嗄力,bai'a'li
白伯骅,bai'bo'hua
拜城克孜尔石窟壁画,bai'cheng'ke'zi'er'shi'ku'bi'hua
白春禹,bai'chun'yu
柏芳景,bai'fang'jing
白丰中,bai'feng'zhong
柏恒,bai'heng
柏佳甫,bai'jia'fu
白建强,bai'jian'qiang
白建涛,bai'jian'tao
白君红,bai'jun'hong
百美争艳图,bai'mei'zheng'yan'tu
白米色,bai'mi'se
白描,bai'miao
白浅橙,bai'qian'cheng
白仁海,bai'ren'hai
白沙宋墓壁画,bai'sha'song'mu'bi'hua
白蛇传壁画,bai'she'zhuan'bi'hua
白实,bai'shi
柏树法,bai'shu'fa
白塔子村辽墓壁画,bai'ta'zi'cun'liao'mu'bi'hua
白文斌,bai'wen'bin
白新城,bai'xin'cheng
白亚林,bai'ya'lin
白彦尔登辽墓壁画,bai'yan'er'deng'liao'mu'bi'hua
白燕楼,bai'yan'lou
白燕堂主人,bai'yan'tang'zhu'ren
白宜芳,bai'yi'fang
白宜洛,bai'yi'luo
白音敖包辽墓壁画,bai'yin'ao'bao'liao'mu'bi'hua
白羽平,bai'yu'ping
白云迷寺图,bai'yun'mi'si'tu
拜占庭美术,bai'zhan'ting'mei'shu
白展望,bai'zhan'wang
白仲霞,bai'zhong'xia
瓣根,ban'gen
斑痕画家,ban'hen'hua'jia
瓣尖,ban'jian
半漂,ban'piao
半漂白,ban'piao'bai
班学俭,ban'xue'jian
宝贝蓝,bao'bei'lan
包福生,bao'fu'sheng
宝兰,bao'lan
包林,bao'lin
包少先,bao'shao'xian
包胜军,bao'sheng'jun
包首,bao'shou
鲍卫兵,bao'wei'bing
抱瓮主人,bao'weng'zhu'ren
鲍岳庭,bao'yue'ting
鲍云进,bao'yun'jin
包泽伟,bao'ze'wei
鲍震,bao'zhen
鲍振,bao'zhen
鲍智明,bao'zhi'ming
包忠,bao'zhong
鲍竹青,bao'zhu'qing
北京百万庄辽墓壁画,bei'jing'bai'wan'zhuang'liao'mu'bi'hua
北京大慧寺壁画,bei'jing'da'hui'si'bi'hua
北京法海寺壁画,bei'jing'fa'hai'si'bi'hua
北京国际机场壁画,bei'jing'guo'ji'ji'chang'bi'hua
北京密云元墓壁画,bei'jing'mi'yun'yuan'mu'bi'hua
北京墙纸壁画,bei'jing'qiang'zhi'bi'hua
北京斋堂辽墓壁画,bei'jing'zhai'tang'liao'mu'bi'hua
背临,bei'lin
北齐高润墓壁画,bei'qi'gao'run'mu'bi'hua
北齐库狄回洛墓壁画,bei'qi'ku'di'hui'luo'mu'bi'hua
北齐娄睿墓壁画,bei'qi'lou'rui'mu'bi'hua
北齐校书图,bei'qi'xiao'shu'tu
北三家村号辽墓壁画,bei'san'jia'cun'hao'liao'mu'bi'hua
北燕冯素弗墓壁画,bei'yan'feng'su'fu'mu'bi'hua
北游集,bei'you'ji
北镇庙壁画,bei'zhen'miao'bi'hua
北周杜欢墓壁画,bei'zhou'du'huan'mu'bi'hua
本白,ben'bai
本厂白,ben'chang'bai
本厂黑,ben'chang'hei
本厂克,ben'chang'ke
本生图,ben'sheng'tu
笔操于人,bi'cao'yu'ren
笔断意连,bi'duan'yi'lian
笔法,bi'fa
笔腹,bi'fu
毕闳,bi'hong
毕敬虎,bi'jing'hu
笔墨,bi'mo
笔墨常存,bi'mo'chang'cun
笔墨丹青,bi'mo'dan'qing
笔墨技巧,bi'mo'ji'qiao
笔墨意境,bi'mo'yi'jing
笔墨章,bi'mo'zhang
毕沙罗,bi'sha'luo
笔山驾驭,bi'shan'jia'yu
笔受腕,bi'shou'wan
毕晓冬,bi'xiao'dong
毕新育,bi'xin'yu
毕颐生,bi'yi'sheng
笔意纵恣,bi'yi'zong'zi
毕永祥,bi'yong'xiang
笔阵图,bi'zhen'tu
边巴,bian'ba
边炳贵,bian'bing'gui
边迪,bian'di
边东利,bian'dong'li
边宏伟,bian'hong'wei
变化章,bian'hua'zhang
边景昭,bian'jing'zhao
边鸾,bian'luan
边平山,bian'ping'shan
边寿民,bian'shou'min
边维祺,bian'wei'qi
边文进,bian'wen'jin
边小强,bian'xiao'qiang
裱褙,biao'bei
裱背十三科,biao'bei'shi'san'ke
鬓残,bin'can
冰湖蓝,bing'hu'lan
