挨挫,ai'cuo
半拉子,ban'la'zi
保急,bao'ji
毕咧,bi'lie
冰溜子,bing'liu'zi
不灵醒,bu'ling'xing
瓷锤子,ci'chui'zi
瓷嘛二楞,ci'ma'er'leng
瓷实,ci'shi
瓷怂,ci'song
打发娃,da'fa'wa
单蹦人,dan'beng'ren
电壶,dian'hu
奠酒,dian'jiu
咥,die
喋,die
丢吨,diu'dun
丢盹,diu'dun
兜兜,dou'dou
逗火,dou'huo
饿,e
恶水,e'shui
二杆子,er'gan'zi
二糊糊,er'hu'hu
二球,er'qiu
嘎达马西,ga'da'ma'xi
旮旯,ga'la
圪蹴,ge'cu
圪圪拧拧,ge'ge'ning'ning
瓜瓜,gua'gua
瓜熊瓷锤,gua'xiong'ci'chui
哈事,ha'shi
哈水,ha'shui
红堂瓜水,hong'tang'gua'shui
胡吹冒撂,hu'chui'mao'liao
胡凑,hu'cou
胡谝,hu'pian
胡砌,hu'qi
夹夹,jia'jia
煎水,jian'shui
叫驴,jiao'lv
尻门子,kao'men'zi
尻子,kao'zi
刻立马嚓,ke'li'ma'cha
浪,lang
涝池,lao'chi
老蛙,lao'wa
老碗,lao'wan
撩咂咧,liao'za'lie
灵醒,ling'xing
麻达,ma'da
麻眼事,ma'yan'shi
蛮势,man'shi
茅房,mao'fang
么麻达,me'ma'da
么念塞,me'nian'sai
么怂相,me'song'xiang
莫麻达,mo'ma'da
莫相,mo'xiang
莫熊相,mo'xiong'xiang
木犊,mu'du
木犊娃,mu'du'wa
难场,nan'chang
难畅,nan'chang
腻子,ni'zi
蔫人,nian'ren
皮实,pi'shi
谝,pian
谝闲传,pian'xian'chuan
品麻,pin'ma
泼烦,po'fan
怯火,qie'huo
挈子,qie'zi
球不顶,qiu'bu'ding
球蹲脸,qiu'dun'lian
球势架子,qiu'shi'jia'zi
瓤,rang
瓤人,rang'ren
日塌,ri'ta
撒,sa
塞黑拐,sai'hei'guai
搡眼,sang'yan
骚情,sao'qing
森人,sen'ren
上杆子,shang'gan'zi
怂人,song'ren
怂相,song'xiang
碎猴,sui'hou
碎怂,sui'song
碎娃,sui'wa
碎揍儿,sui'zou'er
歪人,wai'ren
窝窝,wo'wo
细发,xi'fa
惜惶,xi'huang
瞎了,xia'le
瞎熊,xia'xiong
闲传,xian'chuan
显花,xian'hua
献餮,xian'tie
洋火,yang'huo
洋碱,yang'jian
洋柿子,yang'shi'zi
咋个相,za'ge'xiang
咂咧,za'lie
贼怂,zei'song
贼娃子,zei'wa'zi
沾布,zhan'bu
招识,zhao'shi
挣人,zheng'ren
猪唠唠,zhu'lao'lao
