阿萨姆红碎茶,a'sa'mu'hong'sui'cha
安化松针,an'hua'song'zhen
安吉白茶,an'ji'bai'cha
安溪色种,an'xi'se'zhong
安溪铁观音,an'xi'tie'guan'yin
安溪乌龙,an'xi'wu'long
白茶,bai'cha
白毫乌龙,bai'hao'wu'long
白兰花茶,bai'lan'hua'cha
白琳功夫,bai'lin'gong'fu
白牡丹,bai'mu'dan
半岩茶,ban'yan'cha
包种,bao'zhong
北港毛尖,bei'gang'mao'jian
北路银针,bei'lu'yin'zhen
扁炒青,bian'chao'qing
饼茶,bing'cha
茶精,cha'jing
茶末,cha'mo
茶芯,cha'xin
长炒青,chang'chao'qing
长兴紫笋,chang'xing'zi'sun
炒青,chao'qing
车色,che'se
陈化,chen'hua
崇安水仙,chong'an'shui'xian
初制,chu'zhi
川红,chuan'hong
传统红碎茶,chuan'tong'hong'sui'cha
淳安毛尖,chun'an'mao'jian
萃取茶,cui'qu'cha
大白,da'bai
大茶,da'cha
大方,da'fang
大佛龙井,da'fo'long'jing
大吉岭红碎茶,da'ji'ling'hong'sui'cha
大庸毛尖,da'yong'mao'jian
袋泡茶,dai'pao'cha
滇红,dian'hong
滇青毛茶,dian'qing'mao'cha
冻顶乌龙茶,dong'ding'wu'long'cha
东方美人,dong'fang'mei'ren
洞庭碧螺春,dong'ting'bi'luo'chun
洞庭春,dong'ting'chun
杜尔司红碎茶,du'er'si'hong'sui'cha
都匀毛尖,du'yun'mao'jian
峨眉峨蕊,e'mei'e'rui
峨眉毛峰,e'mei'mao'feng
恩施玉露,en'shi'yu'lu
发酵,fa'jiao
方包茶,fang'bao'cha
凤凰单枞,feng'huang'dan'cong
凤凰水仙,feng'huang'shui'xian
风选,feng'xuan
父辈老青茶,fu'bei'lao'qing'cha
茯砖,fu'zhuan
干仓,gan'cang
干燥,gan'zao
高桥银峰,gao'qiao'yin'feng
功夫红茶,gong'fu'hong'cha
贡眉,gong'mei
贡熙,gong'xi
古丈毛尖,gu'zhang'mao'jian
广东大叶青,guang'dong'da'ye'qing
广东青茶,guang'dong'qing'cha
广西六堡茶,guang'xi'liu'bao'cha
桂花茶,gui'hua'cha
桂平西山茶,gui'ping'xi'shan'cha
含茶饮料,han'cha'yin'liao
杭绿,hang'lv
黑茶,hei'cha
黑砖,hei'zhuan
红茶,hong'cha
烘青,hong'qing
红碎茶,hong'sui'cha
红条茶,hong'tiao'cha
湖南黑毛茶,hu'nan'hei'mao'cha
花茶,hua'cha
花砖,hua'zhuan
黄茶,huang'cha
黄大茶,huang'da'cha
黄花云尖,huang'hua'yun'jian
黄金桂,huang'jin'gui
黄山毛峰,huang'shan'mao'feng
黄小茶,huang'xiao'cha
黄芽茶,huang'ya'cha
辉锅,hui'guo
霍山黄大茶,huo'shan'huang'da'cha
煎茶,jian'cha
建瓯水仙,jian'ou'shui'xian
江山绿牡丹,jiang'shan'lv'mu'dan
紧茶,jin'cha
金尖,jin'jian
金奖惠明茶,jin'jiang'hui'ming'cha
金骏眉,jin'jun'mei
金山翠芽,jin'shan'cui'ya
金水翠峰,jin'shui'cui'feng
金坛雀舌,jin'tan'que'she
紧压茶,jin'ya'cha
径山茶,jing'shan'cha
敬亭绿雪,jing'ting'lv'xue
精制,jing'zhi
君山银针,jun'shan'yin'zhen
开化龙顶,kai'hua'long'ding
康砖,kang'zhuan
肯尼亚红碎茶,ken'ni'ya'hong'sui'cha
浪菜,lang'cai
老青毛茶,lao'qing'mao'cha
晾青,liang'qing
临海蟠毫,lin'hai'pan'hao
玲珑茶,ling'long'cha
凌云白毫,ling'yun'bai'hao
刘安瓜片,liu'an'gua'pian
六堡茶,liu'bao'cha
庐山云雾茶,lu'shan'yun'wu'cha
绿茶,lv'cha
毛火,mao'huo
茅山青锋,mao'shan'qing'feng
眉茶,mei'cha
玫瑰花茶,mei'gui'hua'cha
梅占,mei'zhan
闷黄,men'huang
蒙顶甘露,meng'ding'gan'lu
蒙顶黄芽,meng'ding'huang'ya
孟加拉红碎茶,meng'jia'la'hong'sui'cha
米砖,mi'zhuan
闽北青茶,min'bei'qing'cha
闽北水仙,min'bei'shui'xian
闽北乌龙,min'bei'wu'long
闽红,min'hong
闽南青茶,min'nan'qing'cha
末茶,mo'cha
莫干黄芽,mo'gan'huang'ya
茉莉烘青,mo'li'hong'qing
茉莉花茶,mo'li'hua'cha
南京雨花茶,nan'jing'yu'hua'cha
南路边茶,nan'lu'bian'cha
南路银针,nan'lu'yin'zhen
南糯白毫,nan'nuo'bai'hao
碾茶,nian'cha
宁红,ning'hong
片茶,pian'cha
平炒青,ping'chao'qing
平阳黄汤,ping'yang'huang'tang
普洱方茶,pu'er'fang'cha
祁红,qi'hong
奇兰,qi'lan
旗枪,qi'qiang
黔绿,qian'lv
青茶,qing'cha
青砖,qing'zhuan
泉岗辉白,quan'gang'hui'bai
人工小种,ren'gong'xiao'zhong
揉捻,rou'nian
色种,se'zhong
沙河桂茗,sha'he'gui'ming
杀青,sha'qing
晒青,shai'qing
深蒸茶,shen'zheng'cha
湿仓,shi'cang
石览茶,shi'lan'cha
舒绿,shu'lv
水吉白牡丹,shui'ji'bai'mu'dan
水吉水仙,shui'ji'shui'xian
水仙,shui'xian
水仙白,shui'xian'bai
四川边茶,si'chuan'bian'cha
斯里兰卡红碎茶,si'li'lan'ka'hong'sui'cha
速溶茶,su'rong'cha
碎茶,sui'cha
遂绿,sui'lv
太湖翠竹,tai'hu'cui'zhu
太平猴魁,tai'ping'hou'kui
台湾青茶,tai'wan'qing'cha
摊青,tan'qing
坦洋功夫,tan'yang'gong'fu
提花,ti'hua
天山绿茶,tian'shan'lv'cha
天柱剑毫,tian'zhu'jian'hao
屯绿,tun'lv
沱茶,tuo'cha
萎凋,wei'diao
沩山毛尖,wei'shan'mao'jian
温绿,wen'lv
文山包种,wen'shan'bao'zhong
渥堆,wo'dui
五盖山米茶,wu'gai'shan'mi'cha
乌龙,wu'long
乌龙茶,wu'long'cha
芜绿,wu'lv
婺绿,wu'lv
无锡毫茶,wu'xi'hao'cha
武夷奇种,wu'yi'qi'zhong
武夷肉桂,wu'yi'rou'gui
武夷水仙,wu'yi'shui'xian
武夷岩茶,wu'yi'yan'cha
婺源茗眉,wu'yuan'ming'mei
西湖龙井,xi'hu'long'jing
西路边茶,xi'lu'bian'cha
峡州碧峰,xia'zhou'bi'feng
仙龙香茗,xian'long'xiang'ming
香槟乌龙,xiang'bin'wu'long
湘红,xiang'hong
湘尖,xiang'jian
湘绿,xiang'lv
小白,xiao'bai
小茶,xiao'cha
小种红茶,xiao'zhong'hong'cha
信阳毛尖,xin'yang'mao'jian
秀眉,xiu'mei
休宁松萝,xiu'ning'song'luo
雪水云绿,xue'shui'yun'lv
压制茶,ya'zhi'cha
阳羡雪芽,yang'xian'xue'ya
摇青,yao'qing
叶茶,ye'cha
宜红,yi'hong
印度红碎茶,yin'du'hong'sui'cha
窨花,yin'hua
银针白毫,yin'zhen'bai'hao
英红,ying'hong
涌溪火青,yong'xi'huo'qing
雨茶,yu'cha
玉露茶,yu'lu'cha
玉绿茶,yu'lv'cha
远安鹿苑茶,yuan'an'lu'yuan'cha
圆茶,yuan'cha
圆炒青,yuan'chao'qing
岳西翠兰,yue'xi'cui'lan
云南普洱茶,yun'nan'pu'er'cha
浙江龙井,zhe'jiang'long'jing
针眉,zhen'mei
珍眉,zhen'mei
政和白牡丹,zheng'he'bai'mu'dan
政和功夫,zheng'he'gong'fu
蒸青,zheng'qing
正山小种,zheng'shan'xiao'zhong
正岩茶,zheng'yan'cha
中国蒸茶,zhong'guo'zheng'cha
洲茶,zhou'cha
珠茶,zhu'cha
珠兰花茶,zhu'lan'hua'cha
转子红碎茶,zhuan'zi'hong'sui'cha
足火,zu'huo
