不等边角钢,bu'deng'bian'jiao'gang
材料,cai'liao
插销,cha'xiao
冲头,chong'tou
粗牙内螺纹,cu'ya'nei'luo'wen
粗牙外螺纹,cu'ya'wai'luo'wen
打孔,da'kong
挡销,dang'xiao
导动螺栓,dao'dong'luo'shuan
等边角钢,deng'bian'jiao'gang
等高块,deng'gao'kuai
底板,di'ban
底板组件,di'ban'zu'jian
第四轴,di'si'zhou
底座,di'zuo
垫块,dian'kuai
垫圈,dian'quan
垫铁,dian'tie
定位销,ding'wei'xiao
顶针,ding'zhen
发黑处理,fa'hei'chu'li
发蓝处理,fa'lan'chu'li
仿形三爪,fang'xing'san'zhao
辅助支撑,fu'zhu'zhi'cheng
工字钢,gong'zi'gang
工作台,gong'zuo'tai
挂弦钉,gua'xian'ding
光滑过度,guang'hua'guo'du
焊后清渣整形,han'hou'qing'zha'zheng'xing
焊接未注尺寸公差按,han'jie'wei'zhu'chi'cun'gong'cha'an
焊接未注形位公差按,han'jie'wei'zhu'xing'wei'gong'cha'an
焊接支柱,han'jie'zhi'zhu
滑块,hua'kuai
机加工未注尺寸公差按,ji'jia'gong'wei'zhu'chi'cun'gong'cha'an
机加工未注形位公差按,ji'jia'gong'wei'zhu'xing'wei'gong'cha'an
基准,ji'zhun
夹具,jia'ju
夹具体,jia'ju'ti
加强筋,jia'qiang'jin
角钢,jiao'gang
接杆,jie'gan
精密平口钳,jing'mi'ping'kou'qian
聚乙烯,ju'yi'xi
开口垫片,kai'kou'dian'pian
孔口倒角,kong'kou'dao'jiao
拉杆,la'gan
拉直,la'zhi
肋板,lei'ban
立加,li'jia
六角螺母,liu'jiao'luo'mu
螺杆,luo'gan
螺丝孔,luo'si'kong
螺纹盲孔,luo'wen'mang'kong
螺纹圆柱销,luo'wen'yuan'zhu'xiao
铭牌,ming'pai
内六角螺钉,nei'liu'jiao'luo'ding
内六角螺钉沉孔,nei'liu'jiao'luo'ding'chen'kong
内六角平端紧定螺钉,nei'liu'jiao'ping'duan'jin'ding'luo'ding
内六角圆柱头螺钉,nei'liu'jiao'yuan'zhu'tou'luo'ding
内螺纹圆柱销,nei'luo'wen'yuan'zhu'xiao
平口钳,ping'kou'qian
去毛刺,qu'mao'ci
软爪,ruan'zhua
锐角倒钝,rui'jiao'dao'dun
三爪,san'zhao
三爪卡盘,san'zhao'ka'pan
上滑块,shang'hua'kuai
双头螺栓,shuang'tou'luo'shuan
四爪,si'zhao
四爪卡盘,si'zhao'ka'pan
四轴,si'zhou
锁紧螺钉,suo'jin'luo'ding
台阶销,tai'jie'xiao
镗孔,tang'kong
镗铣,tang'xi
调节螺杆,tiao'jie'luo'gan
调节支撑,tiao'jie'zhi'cheng
调质,tiao'zhi
铜套,tong'tao
同轴度,tong'zhou'du
位置度,wei'zhi'du
未注倒角,wei'zhu'dao'jiao
未注角焊缝,wei'zhu'jiao'han'feng
未注园角,wei'zhu'yuan'jiao
卧加,wo'jia
铣槽,xi'cao
细牙内螺纹,xi'ya'nei'luo'wen
细牙外螺纹,xi'ya'wai'luo'wen
下滑块,xia'hua'kuai
限位杆,xian'wei'gan
限位块,xian'wei'kuai
弦枕,xian'zhen
弦枕钉,xian'zhen'ding
弦枕钉孔,xian'zhen'ding'kong
弦轴板,xian'zhou'ban
弦轴孔,xian'zhou'kong
弦轴销,xian'zhou'xiao
型块,xing'kuai
压板,ya'ban
找正插销,zhao'zheng'cha'xiao
找正工具,zhao'zheng'gong'ju
找正块,zhao'zheng'kuai
找正盘,zhao'zheng'pan
支撑,zhi'cheng
支撑杆,zhi'cheng'gan
支座,zhi'zuo
钻孔,zuan'kong
钻镗,zuan'tang
钻套,zuan'tao
