八荣八耻,ba'rong'ba'chi
白奴,bai'nu
白托,bai'tuo
白银书,bai'yin'shu
半糖夫妻,ban'tang'fu'qi
抱抱团,bao'bao'tuan
抱抱装,bao'bao'zhuang
奔奔族,ben'ben'zu
笔替,bi'ti
博斗,bo'dou
博客话剧,bo'ke'hua'ju
博文,bo'wen
草根网民,cao'gen'wang'min
车奴,che'nu
成考移民,cheng'kao'yi'min
城市依赖症,cheng'shi'yi'lai'zheng
村证房,cun'zheng'fang
大肚子经济,da'du'zi'jing'ji
盗版党,dao'ban'dang
倒扁,dao'bian
等额配比基金,deng'e'pei'bi'ji'jin
电话门,dian'hua'men
电子环保亭,dian'zi'huan'bao'ting
吊瓶族,diao'ping'zu
丁宠家庭,ding'chong'jia'ting
动能车,dong'neng'che
冻容,dong'rong
独二代,du'er'dai
断背,duan'bei
二奶专家,er'nai'zhuan'jia
法商,fa'shang
返券黄牛,fan'quan'huang'niu
饭替,fan'ti
房魔,fang'mo
房奴,fang'nu
沸腾可乐,fei'teng'ke'le
废统,fei'tong
飞鱼族,fei'yu'zu
分手代理,fen'shou'dai'li
复古学堂,fu'gu'xue'tang
福利腐败,fu'li'fu'bai
感恩红包,gan'en'hong'bao
搞笑,gao'xiao
高薪跳蚤,gao'xin'tiao'zao
公司驻虫,gong'si'zhu'chong
谷歌,gu'ge
骨性,gu'xing
国际高考移民,guo'ji'gao'kao'yi'min
国六条,guo'liu'tiao
国十条,guo'shi'tiao
海缆断网,hai'lan'duan'wang
海绵路,hai'mian'lu
海啸音,hai'xiao'yin
寒促,han'cu
汉芯造假事件,han'xin'zao'jia'shi'jian
合吃族,he'chi'zu
红楼选秀,hong'lou'xuan'xiu
红衫军,hong'shan'jun
换客,huan'ke
回购地,hui'gou'di
灰色技能,hui'se'ji'neng
会议大使,hui'yi'da'shi
婚嫁大年,hun'jia'da'nian
急婚族,ji'hun'zu
监控门,jian'kong'men
奖骚扰,jiang'sao'rao
江选,jiang'xuan
脚环鸡,jiao'huan'ji
交强险,jiao'qiang'xian
节奴,jie'nu
解说门,jie'shuo'men
禁电,jin'dian
掘客,jue'ke
卡神,ka'shen
考霸,kao'ba
科研包工头,ke'yan'bao'gong'tou
啃椅族,ken'yi'zu
空调,kong'tiao
骷髅门,ku'lou'men
赖校族,lai'xiao'zu
乐活族,le'huo'zu
梨花体,li'hua'ti
李娅空翻,li'ya'kong'fan
两会博客,liang'hui'bo'ke
垄奴,long'nu
裸考,luo'kao
裸替,luo'ti
绿色产房,lv'se'chan'fang
慢活族,man'huo'zu
美丽垃圾,mei'li'la'ji
迷卡,mi'ka
蜜月保姆,mi'yue'bao'mu
秒杀,miao'sha
明星枪手,ming'xing'qiang'shou
墓产经济,mu'chan'jing'ji
墓奴,mu'nu
年后饭,nian'hou'fan
暖巢管家,nuan'chao'guan'jia
诺亚规则,nuo'ya'gui'ze
跑酷,pao'ku
陪拼族,pei'pin'zu
捧车族,peng'che'zu
彭水诗案,peng'shui'shi'an
拼卡,pin'ka
拼客,pin'ke
擒人节,qin'ren'jie
轻熟女,qing'shu'nv
穷人跑,qiong'ren'pao
求学房,qiu'xue'fang
群租,qun'zu
让票区,rang'piao'qu
人户育婴师,ren'hu'yu'ying'shi
人球,ren'qiu
润滑经济,run'hua'jing'ji
三失,san'shi
三手病,san'shou'bing
三限房,san'xian'fang
三支一扶,san'zhi'yi'fu
晒,shai
晒客,shai'ke
上海社保基金案,shang'hai'she'bao'ji'jin'an
剩女,sheng'nv
时代,shi'dai
十五细则,shi'wu'xi'ze
时歇业令,shi'xie'ye'ling
试药族,shi'yao'zu
世宗,shi'zong
手机幻听症,shou'ji'huan'ting'zheng
手机手,shou'ji'shou
熟年,shu'nian
睡眠博客,shui'mian'bo'ke
她经济,ta'jing'ji
痛快吧,tong'kuai'ba
土腐败,tu'fu'bai
图书漂移,tu'shu'piao'yi
囤房捂盘,tun'fang'wu'pan
托业,tuo'ye
网络晒衣族,wang'luo'shai'yi'zu
威客,wei'ke
微笑北京,wei'xiao'bei'jing
微笑圈,wei'xiao'quan
文化低保,wen'hua'di'bao
文替,wen'ti
巫毒娃娃,wu'du'wa'wa
捂盘惜售,wu'pan'xi'shou
新明星学者,xin'ming'xing'xue'zhe
新中间阶层,xin'zhong'jian'jie'ceng
型社会,xing'she'hui
熊猫烧香,xiong'mao'shao'xiang
炫富,xuan'fu
学术超男,xue'shu'chao'nan
学业预警,xue'ye'yu'jing
压洲,ya'zhou
祝寿螺患者,zhu'shou'luo'huan'zhe
