瑷河,ai'he
爱民街,ai'min'jie
安家店,an'jia'dian
安民,an'min
八道,ba'dao
八道沟隧洞,ba'dao'gou'sui'dong
八中,ba'zhong
白房街,bai'fang'jie
宝山监狱,bao'shan'jian'yu
宝山女人街,bao'shan'nv'ren'jie
宝山市场,bao'shan'shi'chang
北桥洞,bei'qiao'dong
北桥洞站前,bei'qiao'dong'zhan'qian
变电村,bian'dian'cun
滨江桥,bin'jiang'qiao
滨江中路,bin'jiang'zhong'lu
蔡家街,cai'jia'jie
财经学校,cai'jing'xue'xiao
财贸中专,cai'mao'zhong'zhuan
财专,cai'zhuan
草莓沟,cao'mei'gou
草莓沟口,cao'mei'gou'kou
草站,cao'zhan
岔道,cha'dao
岔道口,cha'dao'kou
朝凤街,chao'feng'jie
城隍庙小区,cheng'huang'miao'xiao'qu
绸二厂,chou'er'chang
绸一厂,chou'yi'chang
出口加工区,chu'kou'jia'gong'qu
春三路,chun'san'lu
春四路,chun'si'lu
春五路,chun'wu'lu
大众路,da'zhong'lu
丹东宾馆,dan'dong'bin'guan
丹东二中,dan'dong'er'zhong
丹东口岸,dan'dong'kou'an
丹东浪头机场,dan'dong'lang'tou'ji'chang
丹东四中,dan'dong'si'zhong
丹东站,dan'dong'zhan
道班,dao'ban
第二十七中学,di'er'shi'qi'zhong'xue
第二十五中学,di'er'shi'wu'zhong'xue
第二中学,di'er'zhong'xue
第一医院,di'yi'yi'yuan
东北工校,dong'bei'gong'xiao
东民主,dong'min'zhu
东民主一组,dong'min'zhu'yi'zu
东平工业区,dong'ping'gong'ye'qu
东齐路,dong'qi'lu
东齐路口,dong'qi'lu'kou
东泰路,dong'tai'lu
东尧街,dong'yao'jie
独木桥,du'mu'qiao
断桥,duan'qiao
二经街,er'jing'jie
二三,er'san
二三零医院,er'san'ling'yi'yuan
二十九中学,er'shi'jiu'zhong'xue
二十中学,er'shi'zhong'xue
二中,er'zhong
佛爷岭,fo'ye'ling
福春桥,fu'chun'qiao
福春小区,fu'chun'xiao'qu
福民,fu'min
妇女儿童医院,fu'nv'er'tong'yi'yuan
港湾街,gang'wan'jie
高速公路入口,gao'su'gong'lu'ru'kou
高速路口,gao'su'lu'kou
公交一公司,gong'jiao'yi'gong'si
公交总公司,gong'jiao'zong'gong'si
工人村,gong'ren'cun
公社,gong'she
工业通风机厂,gong'ye'tong'feng'ji'chang
工业小区,gong'ye'xiao'qu
工业园,gong'ye'yuan
古城,gu'cheng
古城子,gu'cheng'zi
孤山四组,gu'shan'si'zu
官院,guan'yuan
光明,guang'ming
郭家堡,guo'jia'bao
果品公司,guo'pin'gong'si
国泰书香府第,guo'tai'shu'xiang'fu'di
国泰特产城,guo'tai'te'chan'cheng
果园储蓄所,guo'yuan'chu'xu'suo
果园沟,guo'yuan'gou
果园三队,guo'yuan'san'dui
蛤蟆塘,ha'ma'tang
韩国城马车桥,han'guo'cheng'ma'che'qiao
翰林苑,han'lin'yuan
号坝门,hao'ba'men
和平村,he'ping'cun
河西甸子,he'xi'dian'zi
黑沟,hei'gou
恒兴钟表金城,heng'xing'zhong'biao'jin'cheng
恒兴钟表珠宝,heng'xing'zhong'biao'zhu'bao
红房新区,hong'fang'xin'qu
红军部队,hong'jun'bu'dui
虹桥小区,hong'qiao'xiao'qu
华帝生活体验馆,hua'di'sheng'huo'ti'yan'guan
花园,hua'yuan
黄海汽车制造厂,huang'hai'qi'che'zhi'zao'chang
