阿拉伯数字,a'la'bo'shu'zi
八边形,ba'bian'xing
八面体,ba'mian'ti
百分比,bai'fen'bi
百分点,bai'fen'dian
百分数,bai'fen'shu
百分数转小数,bai'fen'shu'zhuan'xiao'shu
百分位数,bai'fen'wei'shu
百万,bai'wan
半径,ban'jing
半球,ban'qiu
半圆,ban'yuan
包含,bao'han
被乘数,bei'cheng'shu
被除数,bei'chu'shu
被加数,bei'jia'shu
被减数,bei'jian'shu
倍数,bei'shu
比和比例,bi'he'bi'li
比例,bi'li
变量,bian'liang
表面积,biao'mian'ji
标准差,biao'zhun'cha
并集,bing'ji
补充,bu'chong
不等边三角形,bu'deng'bian'san'jiao'xing
不等式,bu'deng'shi
不定积分,bu'ding'ji'fen
补集,bu'ji
常量,chang'liang
乘法,cheng'fa
乘法表,cheng'fa'biao
乘法交换性质,cheng'fa'jiao'huan'xing'zhi
乘法结合性质,cheng'fa'jie'he'xing'zhi
乘方,cheng'fang
乘数,cheng'shu
除法,chu'fa
除数,chu'shu
垂心,chui'xin
次方,ci'fang
次方根,ci'fang'gen
大于,da'yu
大于等于,da'yu'deng'yu
带分数,dai'fen'shu
代数,dai'shu
代数代入,dai'shu'dai'ru
代数方程,dai'shu'fang'cheng
单调性,dan'diao'xing
单数,dan'shu
单位转换长度,dan'wei'zhuan'huan'chang'du
单位转换时间,dan'wei'zhuan'huan'shi'jian
单位转换重量,dan'wei'zhuan'huan'zhong'liang
单项式,dan'xiang'shi
导数,dao'shu
倒数的倒数为,dao'shu'de'dao'shu'wei
等边三角形,deng'bian'san'jiao'xing
等分,deng'fen
等式,deng'shi
等腰三角形,deng'yao'san'jiao'xing
等腰梯形,deng'yao'ti'xing
等于,deng'yu
底面,di'mian
定积分,ding'ji'fen
定价,ding'jia
定理,ding'li
定义域,ding'yi'yu
短除法,duan'chu'fa
对数,dui'shu
钝角,dun'jiao
钝角三角形,dun'jiao'san'jiao'xing
多边形,duo'bian'xing
多面体,duo'mian'ti
多位数,duo'wei'shu
多项式,duo'xiang'shi
二次方,er'ci'fang
二次方程,er'ci'fang'cheng
二次方根,er'ci'fang'gen
二次曲线轴截距,er'ci'qu'xian'zhou'jie'ju
二进制,er'jin'zhi
