暗敷,an'fu
安全措施,an'quan'cuo'shi
安全防范设施,an'quan'fang'fan'she'shi
暗装,an'zhuang
报警信号,bao'jing'xin'hao
本工程,ben'gong'cheng
避雷带,bi'lei'dai
变电所,bian'dian'suo
表具数据远传系统,biao'ju'shu'ju'yuan'chuan'xi'tong
测试卡子,ce'shi'ka'zi
层高,ceng'gao
插座,cha'zuo
超五类对双绞线,chao'wu'lei'dui'shuang'jiao'xian
车库,che'ku
重复接地,chong'fu'jie'di
初步设计,chu'bu'she'ji
窗磁报警,chuang'ci'bao'jing
等电位联结安装,deng'dian'wei'lian'jie'an'zhuang
地上,di'shang
地下室照明,di'xia'shi'zhao'ming
地下一层,di'xia'yi'ceng
电表,dian'biao
电话系统,dian'hua'xi'tong
电缆,dian'lan
电力电缆,dian'li'dian'lan
电力负荷,dian'li'fu'he
电气竖井,dian'qi'shu'jing
电气系统,dian'qi'xi'tong
电视信号,dian'shi'xin'hao
电梯,dian'ti
电源进线柜,dian'yuan'jin'xian'gui
动力负荷,dong'li'fu'he
多功能访客对讲系统,duo'gong'neng'fang'ke'dui'jiang'xi'tong
二级负荷,er'ji'fu'he
二类,er'lei
法规,fa'gui
防潮,fang'chao
放大器箱,fang'da'qi'xiang
防腐,fang'fu
防火,fang'huo
防火材料,fang'huo'cai'liao
防溅型,fang'jian'xing
防雷电感应,fang'lei'dian'gan'ying
防入侵报警,fang'ru'qin'bao'jing
放射式,fang'she'shi
防直击雷,fang'zhi'ji'lei
非屏蔽多模光纤,fei'ping'bi'duo'mo'guang'xian
分线箱,fen'xian'xiang
分支分配器箱,fen'zhi'fen'pei'qi'xiang
负荷分类,fu'he'fen'lei
负荷容量,fu'he'rong'liang
敷设,fu'she
钢筋,gang'jin
高层住宅,gao'ceng'zhu'zhai
高度,gao'du
各层竖井内,ge'ceng'shu'jing'nei
给水表,gei'shui'biao
工程设计资料,gong'cheng'she'ji'zi'liao
供电电源,gong'dian'dian'yuan
供电方式,gong'dian'fang'shi
公共照明,gong'gong'zhao'ming
工作状态,gong'zuo'zhuang'tai
挂墙,gua'qiang
管理中心,guan'li'zhong'xin
过电压保护,guo'dian'ya'bao'hu
焊接,han'jie
红线,hong'xian
混凝土柱子,hun'ning'tu'zhu'zi
机房,ji'fang
计费,ji'fei
计量,ji'liang
计量收费,ji'liang'shou'fei
集中,ji'zhong
加压风机,jia'ya'feng'ji
剪力墙,jian'li'qiang
建设单位,jian'she'dan'wei
建筑,jian'zhu
建筑概况,jian'zhu'gai'kuang
建筑物防雷,jian'zhu'wu'fang'lei
建筑主体,jian'zhu'zhu'ti
接地极,jie'di'ji
接地系统,jie'di'xi'tong
结构,jie'gou
结构形式,jie'gou'xing'shi
接闪器,jie'shan'qi
紧急报警按钮,jin'ji'bao'jing'an'niu
金属构件,jin'shu'gou'jian
