分险评估,fen'xian'ping'gu
金具,jin'ju
均压环,jun'ya'huan
联板,lian'ban
三角联板,san'jiao'lian'ban
设备手册,she'bei'shou'ce
生产管理系统,sheng'chan'guan'li'xi'tong
输变电,shu'bian'dian
提包线夹,ti'bao'xian'jia
委托运行,wei'tuo'yun'xing
型挂环,xing'gua'huan
型螺栓,xing'luo'shuan
悬垂线夹,xuan'chui'xian'jia
支撑体,zhi'cheng'ti
直角挂环,zhi'jiao'gua'huan
专项评价,zhuan'xiang'ping'jia
状态检修,zhuang'tai'jian'xiu
