泑水,ao'shui
泑泽,ao'ze
八十七山,ba'shi'qi'shan
百果树,bai'guo'shu
白马山,bai'ma'shan
白沙山,bai'sha'shan
白鵺,bai'ye
般冒鸟,ban'mao'niao
般水,ban'shui
北单山,bei'dan'shan
北经山志,bei'jing'shan'zhi
孛马,bei'ma
北山经,bei'shan'jing
北鲜山,bei'xian'shan
北嚣山,bei'xiao'shan
北岳山,bei'yue'shan
贲闻山,ben'wen'shan
边春山,bian'chun'shan
边水,bian'shui
薄水,bo'shui
涔水,cen'shui
长蛇,chang'she
敞铁水,chang'tie'shui
长泽,chang'ze
赤鲑,chi'gui
虫尾山,chong'wei'shan
樗柏,chu'bai
樗柘,chu'zhe
錞于毋逢山,chun'yu'wu'feng'shan
茈草,ci'cao
磁石,ci'shi
泚水,ci'shui
大咸山,da'xian'shan
大泽,da'ze
带山,dai'shan
单狐山,dan'hu'shan
丹林,dan'lin
丹林水,dan'lin'shui
丹水,dan'shui
丹雘,dan'wo
丹熏山,dan'xun'shan
单张山,dan'zhang'shan
帝都山,di'du'shan
堤山,di'shan
堤水,di'shui
敦薨山,dun'hong'shan
敦薨水,dun'hong'shui
敦水,dun'shui
敦题山,dun'ti'shan
敦头山,dun'tou'shan
敦与山,dun'yu'shan
尔是山,er'shi'shan
二十五山,er'shi'wu'shan
耳鼠,er'shu
二万三千二百三十里,er'wan'san'qian'er'bai'san'shi'li
发鸠山,fa'jiu'shan
发丸山,fa'wan'shan
蕃鸟,fan'niao
飞鼠,fei'shu
肥水,fei'shui
肥遗,fei'yi
肥遗蛇,fei'yi'she
汾水,fen'shui
逢漨水,feng'feng'shui
浮水,fu'shui
滏水,fu'shui
父鱼,fu'yu
鲋鱼,fu'yu
刚木,gang'mu
杠水,gang'shui
高是山,gao'shi'shan
高水,gao'shui
皋涂水,gao'tu'shui
皋泽,gao'ze
共水,gong'shui
鉤吾山,gou'wu'shan
姑灌山,gu'guan'shan
鸪习鸟,gu'xi'niao
管涔山,guan'cen'shan
灌疏,guan'shu
灌题山,guan'ti'shan
归山,gui'shan
虢山,guo'shan
海泽,hai'ze
河东,he'dong
何罗鱼,he'luo'yu
河水,he'shui
河原,he'yuan
湖灌山,hu'guan'shan
湖灌水,hu'guan'shui
濩濩水,hu'hu'shui
狐岐山,hu'qi'shan
虖沱,hu'tuo
虖沱水,hu'tuo'shui
华草,hua'cao
滑水,hua'shui
滑鱼,hua'yu
槐水,huai'shui
洹山,huan'shan
獂兽,huan'shou
黄垩,huang'e
黄鸟,huang'niao
黄水,huang'shui
黄泽,huang'ze
浑夕山,hun'xi'shan
鸡号山,ji'hao'shan
机木,ji'mu
鮆鱼,ji'yu
匠韩水,jiang'han'shui
教山,jiao'shan
教水,jiao'shui
碣石山,jie'shi'shan
晋水,jin'shui
京山,jing'shan
景山,jing'shan
景水,jing'shui
精卫,jing'wei
韭韭,jiu'jiu
居暨,ju'ji
句瞿,ju'qu
沮洳山,ju'ru'shan
鶌鶋,jue'ju
决决水,jue'jue'shui
空桑山,kong'sang'shan
空桑水,kong'sang'shui
滱水,kou'shui
夸父,kua'fu
狂山,kuang'shan
狂水,kuang'shui
窥窳,kui'yu
昆仑东北隅,kun'lun'dong'bei'yu
礨石,lei'shi
历虢水,li'guo'shui
历聚水,li'ju'shui
栎水,li'shui
栎泽,li'ze
梁渠山,liang'qu'shan
领胡,ling'hu
麢羊,ling'yang
榴榴,liu'liu
鹠鸟,liu'niao
留水,liu'shui
龙龟,long'gui
龙侯山,long'hou'shan
溇水,lou'shui
溇液水,lou'ye'shui
陆山,lu'shan
伦山,lun'shan
伦水,lun'shui
闾麋,lv'mi
马成山,ma'cheng'shan
蔓联山,man'lian'shan
旄牛,mao'niu
旄水,mao'shui
美赭,mei'zhe
孟槐,meng'huai
孟极,meng'ji
孟门山,meng'men'shan
渑水,mian'shui
明漳水,ming'zhang'shui
木马水,mu'ma'shui
那父,na'fu
涅石,nie'shi
牛首水,niu'shou'shui
女娃,nv'wa
欧水,ou'shui
潘侯山,pan'hou'shan
狍鸮,pao'xiao
彭毗山,peng'pi'shan
朋蛇,peng'she
彭水,peng'shui
罴差山,pi'cha'shan
芘湖水,pi'hu'shui
芘石,pi'shi
罴兽,pi'shou
平山,ping'shan
平水,ping'shui
蒲夷鱼,pu'yi'yu
濝水,qi'shui
器酸,qi'suan
乾山,qian'shan
谯明山,qiao'ming'shan
谯水,qiao'shui
秦椒,qin'jiao
沁水,qin'shui
青碧,qing'bi
青雄黄,qing'xiong'huang
清漳水,qing'zhang'shui
邛泽,qiong'ze
求如山,qiu'ru'shan
瀼泽,rang'ze
饶山,rao'shan
人鱼,ren'yu
三桑,san'sang
溹水,se'shui
少山,shao'shan
少咸山,shao'xian'shan
少阳山,shao'yang'shan
芍药,shao'yao
少泽,shao'ze
神囷山,shen'qun'shan
绳水,sheng'shui
胜水,sheng'shui
十七山,shi'qi'shan
石山,shi'shan
市市鱼,shi'shi'yu
师鱼,shi'yu
石者山,shi'zhe'shan
藷薁,shu'yu
水马,shui'ma
四十六山,si'shi'liu'shan
汜水,si'shui
松山,song'shan
竦斯,song'si
酸水,suan'shui
酸与,suan'yu
太行山,tai'hang'shan
泰陆水,tai'lu'shui
台鹊,tai'que
泰头山,tai'tou'shan
泰戏山,tai'xi'shan
泰泽,tai'ze
题首山,ti'shou'shan
天池山,tian'chi'shan
天马,tian'ma
条菅水,tiao'jian'shui
鯈鱼,tiao'yu
桐椐,tong'ju
童戎山,tong'rong'shan
涂吾水,tu'wu'shui
柝鸠,tuo'jiu
橐驼,tuo'tuo
万二千三百五十里,wan'er'qian'san'bai'wu'shi'li
王屋山,wang'wu'shan
维龙山,wei'long'shan
囗鸟,wei'niao
洧水,wei'shui
鲔水,wei'shui
文贝,wen'bei
文石,wen'shi
窝鸟,wo'niao
无逢山,wu'feng'shan
五千六百九十里,wu'qian'liu'bai'jiu'shi'li
五千四百九十里,wu'qian'si'bai'jiu'shi'li
锡山,xi'shan
鳛鳛鱼,xi'xi'yu
咸山,xian'shan
鲜水,xian'shui
县雍山,xian'yong'shan
鲜于水,xian'yu'shui
象蛇,xiang'she
小侯山,xiao'hou'shan
嚣水,xiao'shui
小咸山,xiao'xian'shan
芎藭,xiong'qiong
绣山,xiu'shan
修水,xiu'shui
轩辕山,xuan'yuan'shan
栒木,xun'mu
熏水,xun'shui
盐贩泽,yan'fan'ze
雁门,yan'men
雁门山,yan'men'shan
雁门水,yan'men'shui
燕山,yan'shan
燕水,yan'shui
阳山,yang'shan
阳水,yang'shui
瑶碧,yao'bi
狕兽,yao'shou
谒戾山,ye'li'shan
液女水,ye'nv'shui
沂山,yi'shan
伊水,yi'shui
鮨鱼,yi'yu
印泽,yin'ze
婴侯水,ying'hou'shui
婴石,ying'shi
幽都山,you'du'shan
幽鴳,you'e
狱法山,yu'fa'shan
浴水,yu'shui
鱼水,yu'shui
蚤林水,zao'lin'shui
漳水,zhang'shui
柘木,zhe'mu
柘山,zhe'shan
榛楛,zhen'ku
枳棘,zhi'ji
泜水,zhi'shui
泜泽,zhi'ze
诸怀,zhu'huai
诸怀水,zhu'huai'shui
诸犍,zhu'jian
诸毗水,zhu'pi'shui
诸余山,zhu'yu'shan
诸余水,zhu'yu'shui
涿光山,zhuo'guang'shan
浊漳水,zhuo'zhang'shui
滋水,zi'shui
棕橿,zong'jiang
棕枬,zong'zhan
足訾,zu'zi
