巴基斯坦留学生,ba'ji'si'tan'liu'xue'sheng
八楼,ba'lou
八楼晒被子,ba'lou'shai'bei'zi
本科专业,ben'ke'zhuan'ye
产护,chan'hu
成人教育学院,cheng'ren'jiao'yu'xue'yuan
电信营业厅,dian'xin'ying'ye'ting
电子阅览室,dian'zi'yue'lan'shi
二楼小炒,er'lou'xiao'chao
二食堂,er'shi'tang
二食堂二楼,er'shi'tang'er'lou
方圆超市,fang'yuan'chao'shi
附属医院,fu'shu'yi'yuan
公共卫生学系,gong'gong'wei'sheng'xue'xi
工行取款机,gong'hang'qu'kuan'ji
公卫,gong'wei
国际护士节,guo'ji'hu'shi'jie
护理,hu'li
护理学系,hu'li'xue'xi
基础医学部,ji'chu'yi'xue'bu
检查卫生,jian'cha'wei'sheng
建行取款机,jian'hang'qu'kuan'ji
开水房,kai'shui'fang
考研,kao'yan
口渴了,kou'ke'le
联动营业厅,lian'dong'ying'ye'ting
联通,lian'tong
临床,lin'chuang
临床学院,lin'chuang'xue'yuan
临床医学系,lin'chuang'yi'xue'xi
临药,lin'yao
留学生食堂,liu'xue'sheng'shi'tang
楼下打水,lou'xia'da'shui
楼下洗衣机,lou'xia'xi'yi'ji
楼下移动,lou'xia'yi'dong
麻护,ma'hu
麻醉,ma'zui
麻醉学系,ma'zui'xue'xi
男生宿舍,nan'sheng'su'she
农行取款机,nong'hang'qu'kuan'ji
暖气,nuan'qi
暖气费,nuan'qi'fei
女生宿舍,nv'sheng'su'she
培训食堂,pei'xun'shi'tang
漂亮宝贝,piao'liang'bao'bei
三号楼,san'hao'lou
三号楼男生宿舍,san'hao'lou'nan'sheng'su'she
三食堂,san'shi'tang
晒被子,shai'bei'zi
社会科学部,she'hui'ke'xue'bu
深水部,shen'shui'bu
生工,sheng'gong
十号楼,shi'hao'lou
十号楼楼下,shi'hao'lou'lou'xia
十号楼女生宿舍,shi'hao'lou'nv'sheng'su'she
宿舍,su'she
宿舍检查卫生,su'she'jian'cha'wei'sheng
体育部,ti'yu'bu
天翼,tian'yi
图书馆,tu'shu'guan
图书馆二楼,tu'shu'guan'er'lou
图书馆管理员,tu'shu'guan'guan'li'yuan
图书馆里面走廊,tu'shu'guan'li'mian'zou'lang
图书馆三楼,tu'shu'guan'san'lou
图书馆四楼,tu'shu'guan'si'lou
图书馆一楼,tu'shu'guan'yi'lou
图书馆一楼自修室,tu'shu'guan'yi'lou'zi'xiu'shi
五楼考研教室,wu'lou'kao'yan'jiao'shi
洗澡房,xi'zao'fang
新疆学生生,xin'jiang'xue'sheng'sheng
星期五检查卫生,xing'qi'wu'jian'cha'wei'sheng
徐医,xu'yi
徐州,xu'zhou
徐州医学院,xu'zhou'yi'xue'yuan
学工处,xue'gong'chu
学工处处长,xue'gong'chu'chu'zhang
学生服务部,xue'sheng'fu'wu'bu
学校网吧,xue'xiao'wang'ba
研究生,yan'jiu'sheng
研究生部,yan'jiu'sheng'bu
研究生学院,yan'jiu'sheng'xue'yuan
药舞扬威,yao'wu'yang'wei
药学,yao'xue
药学系,yao'xue'xi
移动,yi'dong
移动营业厅,yi'dong'ying'ye'ting
一楼洗衣机,yi'lou'xi'yi'ji
一食堂,yi'shi'tang
一食堂二楼,yi'shi'tang'er'lou
一食堂三楼,yi'shi'tang'san'lou
医学影像学系,yi'xue'ying'xiang'xue'xi
印度留学生,yin'du'liu'xue'sheng
影像阅览室,ying'xiang'yue'lan'shi
营养,ying'yang
占座,zhan'zuo
主二,zhu'er
助护,zhu'hu
主楼,zhu'lou
主一,zhu'yi
自修室,zi'xiu'shi
自修室情侣,zi'xiu'shi'qing'lv
醉馨园,zui'xin'yuan
