阿斯玛,a'si'ma
岸本齐史,an'ben'qi'shi
白石凉子,bai'shi'liang'zi
浜添伸也,bang'tian'shen'ye
倍化术,bei'hua'shu
本田贵子,ben'tian'gui'zi
表莲华,biao'lian'hua
冰盾,bing'dun
操风车三之大刀,cao'feng'che'san'zhi'da'dao
查克拉,cha'ke'la
查克拉手术刀,cha'ke'la'shou'shu'dao
长门,chang'men
长十郎,chang'shi'lang
超大玉螺旋丸,chao'da'yu'luo'xuan'wan
超兽伪画,chao'shou'wei'hua
池本干雄,chi'ben'gan'xiong
池川,chi'chuan
虫分身,chong'fen'shen
虫玉,chong'yu
川木,chuan'mu
川田绅司,chuan'tian'shen'si
创造再生纲手,chuang'zao'zai'sheng'gang'shou
大镰鼬之术,da'lian'you'zhi'shu
达鲁伊,da'lu'yi
大瀑布术,da'pu'bu'shu
大瀑布之术,da'pu'bu'zhi'shu
大蛇丸,da'she'wan
大筒木辉夜,da'tong'mu'hui'ye
地爆天星,di'bao'tian'xing
迪达拉,di'da'la
杜门,du'men
多连脚,duo'lian'jiao
多连拳,duo'lian'quan
饿鬼道,e'gui'dao
飞镖影分身术,fei'biao'ying'fen'shen'shu
分身术,fen'shen'shu
风遁裂风掌,feng'dun'lie'feng'zhang
风反,feng'fan
封缚法阵,feng'fu'fa'zhen
封火法印,feng'huo'fa'yin
烽火法印,feng'huo'fa'yin
风魔手里剑影风车,feng'mo'shou'li'jian'ying'feng'che
风切,feng'qie
凤仙花火之术,feng'xian'hua'huo'zhi'shu
封邪法印,feng'xie'fa'yin
封写封印,feng'xie'feng'yin
封印术,feng'yin'shu
风影,feng'ying
缝影术,feng'ying'shu
风之刃,feng'zhi'ren
高桥英则,gao'qiao'ying'ze
隔空炮,ge'kong'pao
勾玉,gou'yu
怪腕火箭之术,guai'wan'huo'jian'zhi'shu
关俊彦,guan'jun'yan
鬼熊,gui'xiong
蛤蟆房屋,ha'ma'fang'wu
蛤蟆附身离身契,ha'ma'fu'shen'li'shen'qi
蛤蟆结界,ha'ma'jie'jie
蛤蟆口缚术,ha'ma'kou'fu'shu
蛤蟆皮影操之术,ha'ma'pi'ying'cao'zhi'shu
蛤蟆五郎,ha'ma'wu'lang
蛤蟆压塌之术,ha'ma'ya'ta'zhi'shu
蛤蟆隐之术,ha'ma'yin'zhi'shu
蛤蟆油,ha'ma'you
蛤蟆油炎弹,ha'ma'you'yan'dan
海野伊鲁卡,hai'ye'yi'lu'ka
豪火球之术,hao'huo'qiu'zhi'shu
豪龙火之术,hao'long'huo'zhi'shu
黑土,hei'tu
黑雨之术,hei'yu'zhi'shu
横堀,heng'ku
红眼,hong'yan
狐狸心中之术,hu'li'xin'zhong'zhi'shu
花散舞,hua'san'wu
坏寄虫寄生术,huai'ji'chong'ji'sheng'shu
幻龙九封尽,huan'long'jiu'feng'jin
幻术,huan'shu
秽土转生,hui'tu'zhuan'sheng
辉夜姬,hui'ye'ji
火遁大火球,huo'dun'da'huo'qiu
火遁凤仙火,huo'dun'feng'xian'huo
火遁火龙炎弹,huo'dun'huo'long'yan'dan
火遁龙火之术,huo'dun'long'huo'zhi'shu
火遁炎弹,huo'dun'yan'dan
火龙炎弹,huo'long'yan'dan
火影,huo'ying
火影岩,huo'ying'yan
火之国,huo'zhi'guo
寄坏虫,ji'huai'chong
寄坏虫术,ji'huai'chong'shu
寄生鬼坏之术,ji'sheng'gui'huai'zhi'shu
笕堇,jian'jin
见月,jian'yue
结乃岩部,jie'nai'yan'bu
金缚幻术,jin'fu'huan'shu
金刚牢壁,jin'gang'lao'bi
惊门,jing'men
景门,jing'men
镜面袭者之术,jing'mian'xi'zhe'zhi'shu
井上和彦,jing'shang'he'yan
镜天地转,jing'tian'di'zhuan
井阵,jing'zhen
菊池心,ju'chi'xin
巨汉少年,ju'han'shao'nian
卡卡西,ka'ka'xi
卡鲁伊,ka'lu'yi
开门,kai'men
孔雀旋风斩,kong'que'xuan'feng'zhan
雷车事件,lei'che'shi'jian
雷遁术,lei'dun'shu
雷门电气,lei'men'dian'qi
雷门公司,lei'men'gong'si
雷切,lei'qie
雷影,lei'ying
雷之国,lei'zhi'guo
里莲华,li'lian'hua
里四象封印术,li'si'xiang'feng'yin'shu
镰多利,lian'duo'li
镰鼬,lian'you
烈风掌,lie'feng'zhang
泷分身之术,long'fen'shen'zhi'shu
乱身冲,luan'shen'chong
乱狮子发之术,luan'shi'zi'fa'zhi'shu
轮回眼,lun'hui'yan
落合留美,luo'he'liu'mei
洛克李,luo'ke'li
螺旋丸,luo'xuan'wan
猫婆婆,mao'po'po
梅塔尔李,mei'ta'er'li
墨分身之术,mo'fen'shen'zhi'shu
魔镜冰晶,mo'jing'bing'jing
墨隐之术,mo'yin'zhi'shu
木岛隆一,mu'dao'long'yi
木叶,mu'ye
木叶村,mu'ye'cun
木叶大旋风,mu'ye'da'xuan'feng
木叶烈风,mu'ye'lie'feng
木叶升风,mu'ye'sheng'feng
木叶新三忍,mu'ye'xin'san'ren
奈良鹿戴,nai'liang'lu'dai
奈良鹿台,nai'liang'lu'tai
奈良鹿丸,nai'liang'lu'wan
奈良手鞠,nai'liang'shou'ju
奈良一族,nai'liang'yi'zu
泡沫乱波,pao'mo'luan'bo
佩恩,pei'en
朴璐美,pu'lu'mei
麒麟,qi'lin
旗木卡卡西,qi'mu'ka'ka'xi
千鸟,qian'niao
千鸟流,qian'niao'liu
千鸟千本,qian'niao'qian'ben
千鸟刃,qian'niao'ren
潜影蛇手,qian'ying'she'shou
秋道蝶蝶,qiu'dao'die'die
秋道丁次,qiu'dao'ding'ci
秋道卡鲁伊,qiu'dao'ka'lu'yi
秋道一族,qiu'dao'yi'zu
雀乃泪,que'nai'lei
忍具店,ren'ju'dian
忍术,ren'shu
忍者,ren'zhe
忍者学校,ren'zhe'xue'xiao
日野聪,ri'ye'cong
三瓶由布子,san'ping'you'bu'zi
三色药丸,san'se'yao'wan
三月,san'yue
色诱之术,se'you'zhi'shu
森久保祥太郎,sen'jiu'bao'xiang'tai'lang
砂缚柩,sha'fu'jiu
砂瀑送葬,sha'pu'song'zang
砂手里剑,sha'shou'li'jian
山田奈都美,shan'tian'nai'dou'mei
山中井阵,shan'zhong'jing'zhen
山中一族,shan'zhong'yi'zu
山中佐井,shan'zhong'zuo'jing
伤门,shang'men
伤愈消元,shang'yu'xiao'yuan
蛇分身之术,she'fen'shen'zhi'shu
蛇仙术,she'xian'shu
神罗天征,shen'luo'tian'zheng
身心转换傀儡咒印术,shen'xin'zhuan'huan'kui'lei'zhou'yin'shu
生门,sheng'men
尸骨脉,shi'gu'mai
尸鬼封尽,shi'gui'feng'jin
十拳剑,shi'quan'jian
兽波掌,shou'bo'zhang
手鞠,shou'ju
双魔之攻,shuang'mo'zhi'gong
双蛇相杀,shuang'she'xiang'sha
水遁水乱波,shui'dun'shui'luan'bo
水遁铁炮玉,shui'dun'tie'pao'yu
水分身之术,shui'fen'shen'zhi'shu
水牢术,shui'lao'shu
水牢之术,shui'lao'zhi'shu
水龙弹术,shui'long'dan'shu
水龙弹之术,shui'long'dan'zhi'shu
水树奈奈,shui'shu'nai'nai
水牙术,shui'ya'shu
水影,shui'ying
水阵壁,shui'zhen'bi
死门,si'men
巳月,si'yue
松本沙罗,song'ben'sha'luo
探知结界,tan'zhi'jie'jie
天照,tian'zhao
通灵雷光剑化,tong'ling'lei'guang'jian'hua
通灵罗生门,tong'ling'luo'sheng'men
通灵术猿魔,tong'ling'shu'yuan'mo
通灵之术,tong'ling'zhi'shu
透遁术,tou'dun'shu
土遁黄泉沼,tu'dun'huang'quan'zhao
土牢堂无,tu'lao'tang'wu
土流壁,tu'liu'bi
土流大河,tu'liu'da'he
土龙弹,tu'long'dan
土木忍者,tu'mu'ren'zhe
土影,tu'ying
土中映鱼之术,tu'zhong'ying'yu'zhi'shu
团藏,tuan'zang
蛙变之术,wa'bian'zhi'shu
瓦片手里剑,wa'pian'shou'li'jian
万花筒,wan'hua'tong
万花筒写轮眼,wan'hua'tong'xie'lun'yan
万象天引,wan'xiang'tian'yin
望远镜之术,wang'yuan'jing'zhi'shu
我爱罗,wo'ai'luo
五封结界,wu'feng'jie'jie
五食鲛,wu'shi'jiao
五行解印,wu'xing'jie'yin
乌鸦之术,wu'ya'zhi'shu
雾隐术,wu'yin'shu
吴越,wu'yue
西谷亮,xi'gu'liang
细患抽出之术,xi'huan'chou'chu'zhi'shu
吸术封尽,xi'shu'feng'jin
仙法牢不可破,xian'fa'lao'bu'ke'po
仙法毛针千本,xian'fa'mao'zhen'qian'ben
仙法吴右卫门,xian'fa'wu'you'wei'men
仙人模式,xian'ren'mo'shi
象转之术,xiang'zhuan'zhi'shu
小松由佳,xiao'song'you'jia
小太刀右京,xiao'tai'dao'you'jing
小野贤章,xiao'ye'xian'zhang
晓组织,xiao'zu'zhi
写轮眼,xie'lun'yan
心乱身之术,xin'luan'shen'zhi'shu
新木叶七小强,xin'mu'ye'qi'xiao'qiang
心转身之术,xin'zhuan'shen'zhi'shu
休门,xiu'men
须佐能乎,xu'zuo'neng'hu
须佐之男,xu'zuo'zhi'nan
旋风拳,xuan'feng'quan
漩涡博人,xuan'wo'bo'ren
漩涡雏田,xuan'wo'chu'tian
漩涡鸣人,xuan'wo'ming'ren
漩涡向日葵,xuan'wo'xiang'ri'kui
血继界限,xue'ji'jie'xian
鸦分身之术,ya'fen'shen'zhi'shu
伊豆野山葵,yi'dou'ye'shan'kui
医疗忍术,yi'liao'ren'shu
医疗术掌仙术,yi'liao'shu'zhang'xian'shu
伊鲁卡,yi'lu'ka
一木千洋,yi'mu'qian'yang
伊藤健太郎,yi'teng'jian'tai'lang
阴愈伤灭,yin'yu'shang'mie
影分身,ying'fen'shen
影分身术,ying'fen'shen'shu
影缝,ying'feng
影缚劲术,ying'fu'jin'shu
