白蚁,bai'yi
半翅目,ban'chi'mu
斑金龟,ban'jin'gui
棒角甲,bang'jiao'jia
臂金龟,bi'jin'gui
扁蜉科,bian'fu'ke
扁甲,bian'jia
扁甲总科,bian'jia'zong'ke
扁泥甲,bian'ni'jia
扁圆甲,bian'yuan'jia
步甲,bu'jia
草蛉,cao'ling
蝉,chan
长扁甲,chang'bian'jia
长翅目,chang'chi'mu
长蠹,chang'du
长蠹总科,chang'du'zong'ke
长颈甲,chang'jing'jia
长泥甲,chang'ni'jia
长朽木甲,chang'xiu'mu'jia
长阎甲,chang'yan'jia
赤翅甲,chi'chi'jia
豉甲,chi'jia
齿蛉,chi'ling
虫八,chong'ba
蝽,chun
粗角叩甲,cu'jiao'kou'jia
大花蚤,da'hua'zao
大蕈甲,da'xun'jia
单跗甲,dan'fu'jia
弹尾目,dan'wei'mu
等翅目,deng'chi'mu
地叩甲,di'kou'jia
蝶,die
蝶角蛉,die'jiao'ling
蝶蛉,die'ling
豆娘,dou'niang
多食亚目,duo'shi'ya'mu
蛾,e
方胸甲,fang'xiong'jia
纺足目,fang'zu'mu
蜚蠊,fei'lian
蜚蠊目,fei'lian'mu
飞虱,fei'shi
粉蠹,fen'du
粪金龟,fen'jin'gui
粉蛉,fen'ling
粉虱,fen'shi
蜂,feng
复变甲,fu'bian'jia
腹部的构造,fu'bu'de'gou'zao
蜉金龟,fu'jin'gui
负泥虫,fu'ni'chong
蜉蝣,fu'you
蜉蝣目,fu'you'mu
革翅目,ge'chi'mu
蚣虫纲,gong'chong'gang
古翅类,gu'chi'lei
谷盗,gu'dao
广翅目,guang'chi'mu
郭公甲,guo'gong'jia
郭公甲总科,guo'gong'jia'zong'ke
褐蛉,he'ling
黑蜣,hei'qiang
红金龟,hong'jin'gui
红萤,hong'ying
胡蜂,hu'feng
虎甲,hu'jia
花甲,hua'jia
花甲总科,hua'jia'zong'ke
花金龟,hua'jin'gui
花萤,hua'ying
花萤总科,hua'ying'zong'ke
花蚤,hua'zao
蝗虫,huang'chong
黄胸甲,huang'xiong'jia
襀翅目,ji'chi'mu
吉丁虫总科,ji'ding'chong'zong'ke
吉丁甲,ji'ding'jia
姬蜂,ji'feng
姬花甲,ji'hua'jia
寄居甲,ji'ju'jia
蓟马,ji'ma
甲虫,jia'chong
茧蜂,jian'feng
角蝉,jiao'chan
角甲,jiao'jia
蚧壳虫,jie'ke'chong
金龟,jin'gui
金龟总科,jin'gui'zong'ke
旌蛉,jing'ling
巨齿蛉,ju'chi'ling
锯谷盗,ju'gu'dao
距甲,ju'jia
卷象,juan'xiang
铠甲,kai'jia
叩甲,kou'jia
叩甲总科,kou'jia'zong'ke
昆虫分类学,kun'chong'fen'lei'xue
昆虫纲,kun'chong'gang
昆虫生物学,kun'chong'sheng'wu'xue
昆虫形态学,kun'chong'xing'tai'xue
蜡斑甲,la'ban'jia
蜡蝉,la'chan
丽金龟,li'jin'gui
亮翅蛉,liang'chi'ling
两栖甲,liang'qi'jia
鳞翅目,lin'chi'mu
鳞蛉,lin'ling
六足总纲,liu'zu'zong'gang
龙虱,long'shi
蝼蛄,lou'gu
露尾甲,lu'wei'jia
脉翅目,mai'chi'mu
埋葬甲,mai'zang'jia
毛翅目,mao'chi'mu
毛泥甲,mao'ni'jia
毛薪甲,mao'xin'jia
毛蕈甲,mao'xun'jia
虻,meng
蠓,meng
蜜蜂,mi'feng
觅葬甲,mi'zang'jia
沫蝉,mo'chan
膜翅目,mo'chi'mu
木蜂,mu'feng
木虱,mu'shi
拟步甲,ni'bu'jia
拟步甲总科,ni'bu'jia'zong'ke
拟花萤,ni'hua'ying
泥甲,ni'jia
泥甲总科,ni'jia'zong'ke
拟叩甲,ni'kou'jia
泥蛉,ni'ling
拟锹甲,ni'qiao'jia
拟天牛,ni'tian'niu
捻翅目,nian'chi'mu
鸟虱,niao'shi
啮虫目,nie'chong'mu
盘胸甲,pan'xiong'jia
胖金龟,pang'jin'gui
皮蠹,pi'du
皮蠹总科,pi'du'zong'ke
皮坚甲,pi'jian'jia
皮金龟,pi'jin'gui
瓢甲,piao'jia
平唇水龟,ping'chun'shui'gui
蜣螂,qiang'lang
鞘翅目,qiao'chi'mu
锹甲,qiao'jia
窃蠹,qie'du
青蜂,qing'feng
蜻蜓,qing'ting
蜻蜓目,qing'ting'mu
擎爪泥甲,qing'zhao'ni'jia
蛩蠊,qiong'lian
蛩蠊目,qiong'lian'mu
球甲,qiu'jia
球蕈甲,qiu'xun'jia
蠼螋,qu'sou
缺翅虫,que'chi'chong
缺翅目,que'chi'mu
绒毛金龟,rong'mao'jin'gui
肉食亚目,rou'shi'ya'mu
蚋,rui
鳃金龟,sai'jin'gui
三栉牛,san'zhi'niu
三锥象,san'zhui'xiang
山蛉,shan'ling
蛇蛉,she'ling
蛇蛉目,she'ling'mu
石蛃,shi'bing
石蛃目,shi'bing'mu
石蛾,shi'e
食毛目,shi'mao'mu
虱目,shi'mu
石蝇,shi'ying
虱子,shi'zi
树皮甲,shu'pi'jia
书虱,shu'shi
鼠螋,shu'sou
双翅目,shuang'chi'mu
双尾目,shuang'wei'mu
水龟甲,shui'gui'jia
水龟甲总科,shui'gui'jia'zong'ke
水甲,shui'jia
水蛉,shui'ling
水缨甲,shui'ying'jia
四节蜉,si'jie'fu
四节蜉科,si'jie'fu'ke
缩腿甲,suo'tui'jia
苔甲,tai'jia
螳螂,tang'lang
螳螂目,tang'lang'mu
螳螂竹节虫目,tang'lang'zhu'jie'chong'mu
螳蛉,tang'ling
淘甲,tao'jia
天牛,tian'niu
条脊甲,tiao'ji'jia
跳蚤,tiao'zao
铁甲,tie'jia
同翅目,tong'chi'mu
筒蠹,tong'du
筒蠹总科,tong'du'zong'ke
头部的构造,tou'bu'de'gou'zao
土蜂,tu'feng
驼金龟,tuo'jin'gui
伪瓢虫,wei'piao'chong
蚊,wen
蚊蛉,wen'ling
无翅亚纲,wu'chi'ya'gang
犀金龟,xi'jin'gui
溪蛉,xi'ling
细蛉,xi'ling
溪泥甲,xi'ni'jia
细裳蜉,xi'shang'fu
细裳蜉科,xi'shang'fu'ke
蟋蟀,xi'shuai
象甲,xiang'jia
象甲总科,xiang'jia'zong'ke
小蠹,xiao'du
小蜂,xiao'feng
小花甲,xiao'hua'jia
小粒龙虱,xiao'li'long'shi
小丸甲,xiao'wan'jia
肖叶甲,xiao'ye'jia
蝎蛉,xie'ling
薪甲,xin'jia
胸部的构造,xiong'bu'de'gou'zao
雪蛉,xue'ling
蚜虫,ya'chong
眼甲,yan'jia
阎甲,yan'jia
叶蝉,ye'chan
叶甲,ye'jia
叶甲总科,ye'jia'zong'ke
蚁,yi
蚁甲,yi'jia
蚁蛉,yi'ling
蚁形甲,yi'xing'jia
衣鱼,yi'yu
隐翅虫,yin'chi'chong
隐翅甲总科,yin'chi'jia'zong'ke
隐唇叩甲,yin'chun'kou'jia
隐食甲,yin'shi'jia
萤,ying
蝇,ying
缨翅目,ying'chi'mu
缨甲,ying'jia
缨尾目,ying'wei'mu
有翅亚纲,you'chi'ya'gang
羽角甲,yu'jiao'jia
鱼蛉,yu'ling
螈,yuan
芫菁,yuan'jing
圆泥甲,yuan'ni'jia
原鞘亚目,yuan'qiao'ya'mu
原尾目,yuan'wei'mu
蚤蝼,zao'lou
蚤目,zao'mu
藻食亚目,zao'shi'ya'mu
泽甲,ze'jia
泽蛉,ze'ling
蚱蜢,zha'meng
长角象,zhang'jiao'xiang
蟑螂,zhang'lang
沼甲,zhao'jia
沼梭甲,zhao'suo'jia
直翅目,zhi'chi'mu
栉角蛉,zhi'jiao'ling
重舌目,zhong'she'mu
螽斯,zhong'si
蛛甲,zhu'jia
竹节虫,zhu'jie'chong
竹节虫目,zhu'jie'chong'mu
足丝蚁,zu'si'yi
