安乐大厦,an'le'da'sha
百老汇戏院,bai'lao'hui'xi'yuan
白石湖,bai'shi'hu
保安宫,bao'an'gong
北安公园,bei'an'gong'yuan
北投,bei'tou
北投区,bei'tou'qu
北一女中,bei'yi'nv'zhong
碧湖公园,bi'hu'gong'yuan
博仁医院,bo'ren'yi'yuan
彩虹桥,cai'hong'qiao
蟾蜍山,chan'chu'shan
长庚医院,chang'geng'yi'yuan
长寿公园,chang'shou'gong'yuan
成功桥,cheng'gong'qiao
成功中学,cheng'gong'zhong'xue
成美桥,cheng'mei'qiao
成渊高中,cheng'yuan'gao'zhong
大安区,da'an'qu
大安森林公园,da'an'sen'lin'gong'yuan
大稻埕,da'dao'cheng
大湖公园,da'hu'gong'yuan
大同高中,da'tong'gao'zhong
大同工学院,da'tong'gong'xue'yuan
大同区,da'tong'qu
大屯山,da'tun'shan
大叶高岛屋,da'ye'gao'dao'wu
大油坑,da'you'keng
大众唱片,da'zhong'chang'pian
淡江大学,dan'jiang'da'xue
德鑫科技,de'xin'ke'ji
第七公墓,di'qi'gong'mu
地热谷,di're'gu
东方商行,dong'fang'shang'hang
东湖山庄,dong'hu'shan'zhuang
东立出版社,dong'li'chu'ban'she
敦化国小,dun'hua'guo'xiao
福华饭店,fu'hua'fan'dian
抚顺公园,fu'shun'gong'yuan
共和宫,gong'he'gong
关渡,guan'du
光复楼,guang'fu'lou
光华酒店,guang'hua'jiu'dian
贵族世家,gui'zu'shi'jia
国宾大饭店,guo'bin'da'fan'dian
国父纪念馆,guo'fu'ji'nian'guan
国家剧院,guo'jia'ju'yuan
国家图书馆,guo'jia'tu'shu'guan
国家音乐厅,guo'jia'yin'yue'ting
国立故宫博物院,guo'li'gu'gong'bo'wu'yuan
国民党总部,guo'min'dang'zong'bu
国泰人寿,guo'tai'ren'shou
国泰医院,guo'tai'yi'yuan
豪景大酒店,hao'jing'da'jiu'dian
和平医院,he'ping'yi'yuan
葫芦寺,hu'lu'si
华泰饭店,hua'tai'fan'dian
华西街夜市,hua'xi'jie'ye'shi
基隆河,ji'long'he
建成公园,jian'cheng'gong'yuan
建成医院,jian'cheng'yi'yuan
建国中学,jian'guo'zhong'xue
尖山角,jian'shan'jiao
交通部观光局,jiao'tong'bu'guan'guang'ju
交通研究所,jiao'tong'yan'jiu'suo
教育部,jiao'yu'bu
介寿国中,jie'shou'guo'zhong
金华国中,jin'hua'guo'zhong
金石堂书店,jin'shi'tang'shu'dian
锦西公园,jin'xi'gong'yuan
京华城,jing'hua'cheng
晶华酒店,jing'hua'jiu'dian
景美,jing'mei
静修女中,jing'xiu'nv'zhong
君悦大饭店,jun'yue'da'fan'dian
凯撒大饭店,kai'sa'da'fan'dian
兰州公园,lan'zhou'gong'yuan
老爷酒店,lao'ye'jiu'dian
立法院,li'fa'yuan
立人高中,li'ren'gao'zhong
历史博物馆,li'shi'bo'wu'guan
林森公园,lin'sen'gong'yuan
硫磺谷,liu'huang'gu
龙江公园,long'jiang'gong'yuan
龙山寺,long'shan'si
龙山中学,long'shan'zhong'xue
马槽,ma'cao
民权大桥,min'quan'da'qiao
铭传大学,ming'chuan'da'xue
明伦高中,ming'lun'gao'zhong
南昌公园,nan'chang'gong'yuan
南港,nan'gang
南港轮胎,nan'gang'lun'tai
南湖大桥,nan'hu'da'qiao
南湖小学,nan'hu'xiao'xue
南湖中学,nan'hu'zhong'xue
南山人寿,nan'shan'ren'shou
内双溪,nei'shuang'xi
坪顶,ping'ding
普济寺,pu'ji'si
启聪学校,qi'cong'xue'xiao
七号公园,qi'hao'gong'yuan
七星池,qi'xing'chi
强恕中学,qiang'shu'zhong'xue
青年公园,qing'nian'gong'yuan
仁爱医院,ren'ai'yi'yuan
人工温泉,ren'gong'wen'quan
纱帽山,sha'mao'shan
山水阁,shan'shui'ge
山子后,shan'zi'hou
上天宫,shang'tian'gong
社子,she'zi
神农宫,shen'nong'gong
神旺大饭店,shen'wang'da'fan'dian
生活工场,sheng'huo'gong'chang
师大分部,shi'da'fen'bu
师大附中,shi'da'fu'zhong
时代广场,shi'dai'guang'chang
实践大学,shi'jian'da'xue
市立体育场,shi'li'ti'yu'chang
士林,shi'lin
士林官邸,shi'lin'guan'di
士林区,shi'lin'qu
士林夜市,shi'lin'ye'shi
石牌公园,shi'pai'gong'yuan
师院附小,shi'yuan'fu'xiao
首都客运,shou'du'ke'yun
四平公园,si'ping'gong'yuan
松江大桥,song'jiang'da'qiao
松山,song'shan
松山高中,song'shan'gao'zhong
松山区,song'shan'qu
松山医院,song'shan'yi'yuan
台安医院,tai'an'yi'yuan
泰安医院,tai'an'yi'yuan
台北宾馆,tai'bei'bin'guan
台北大学,tai'bei'da'xue
台北科技大学,tai'bei'ke'ji'da'xue
台北荣民总医院,tai'bei'rong'min'zong'yi'yuan
台北市,tai'bei'shi
台北师范大学,tai'bei'shi'fan'da'xue
台北市议会,tai'bei'shi'yi'hui
台北医学大学,tai'bei'yi'xue'da'xue
台北站,tai'bei'zhan
台大医学院,tai'da'yi'xue'yuan
台大医院,tai'da'yi'yuan
台电公司,tai'dian'gong'si
台塑大楼,tai'su'da'lou
台湾大哥大,tai'wan'da'ge'da
台湾大学,tai'wan'da'xue
台湾高等法院,tai'wan'gao'deng'fa'yuan
台湾观光协会,tai'wan'guan'guang'xie'hui
台湾科技大学,tai'wan'ke'ji'da'xue
台湾师范大学,tai'wan'shi'fan'da'xue
天主教教堂,tian'zhu'jiao'jiao'tang
统领百货,tong'ling'bai'huo
统一饭店,tong'yi'fan'dian
万华区,wan'hua'qu
微风广场,wei'feng'guang'chang
威秀影城,wei'xiu'ying'cheng
污水处理厂,wu'shui'chu'li'chang
西湖,xi'hu
喜来登大饭店,xi'lai'deng'da'fan'dian
希望广场,xi'wang'guang'chang
先施百货,xian'shi'bai'huo
小坑,xiao'keng
小油坑,xiao'you'keng
新光百货,xin'guang'bai'huo
新民小学,xin'min'xiao'xue
新生公园,xin'sheng'gong'yuan
新闻局,xin'wen'ju
新学友,xin'xue'you
信义区,xin'yi'qu
行天宫,xing'tian'gong
行政院,xing'zheng'yuan
兄弟大饭店,xiong'di'da'fan'dian
亚都饭店,ya'du'fan'dian
延平中学,yan'ping'zhong'xue
阳明大学,yang'ming'da'xue
阳明山公园,yang'ming'shan'gong'yuan
衣蝶百货,yi'die'bai'huo
伊通公园,yi'tong'gong'yuan
永春高中,yong'chun'gao'zhong
永和豆浆,yong'he'dou'jiang
邮政博物馆,you'zheng'bo'wu'guan
邮政医院,you'zheng'yi'yuan
雨农国小,yu'nong'guo'xiao
玉泉公园,yu'quan'gong'yuan
育英中学,yu'ying'zhong'xue
圆山大饭店,yuan'shan'da'fan'dian
圆山公园,yuan'shan'gong'yuan
芝山岩,zhi'shan'yan
忠烈祠,zhong'lie'ci
中山二桥,zhong'shan'er'qiao
中山公园,zhong'shan'gong'yuan
中山国小,zhong'shan'guo'xiao
中山国中,zhong'shan'guo'zhong
中山女中,zhong'shan'nv'zhong
中山区,zhong'shan'qu
中山堂,zhong'shan'tang
中山医院,zhong'shan'yi'yuan
中山足球场,zhong'shan'zu'qiu'chang
中泰宾馆,zhong'tai'bin'guan
忠孝国小,zhong'xiao'guo'xiao
中兴百货,zhong'xing'bai'huo
中央图书馆,zhong'yang'tu'shu'guan
中正国小,zhong'zheng'guo'xiao
中正纪念堂,zhong'zheng'ji'nian'tang
中正区,zhong'zheng'qu
中正山,zhong'zheng'shan
中洲里,zhong'zhou'li
竹子湖,zhu'zi'hu
庄里,zhuang'li
总统府,zong'tong'fu
