暗黄,an'huang
八白,ba'bai
白艾白,bai'ai'bai
白花头,bai'hua'tou
白黄,bai'huang
白麻头,bai'ma'tou
白青,bai'qing
白砂青,bai'sha'qing
白乌头,bai'wu'tou
白牙青,bai'ya'qing
柏叶青麻头,bai'ye'qing'ma'tou
白紫,bai'zi
白紫笃,bai'zi'du
草色白,cao'se'bai
草色白青,cao'se'bai'qing
草色青,cao'se'qing
草紫黄,cao'zi'huang
螭壳白,chi'ke'bai
赤头青,chi'tou'qing
出炉银红,chu'lu'yin'hong
纯白,chun'bai
纯红,chun'hong
纯紫,chun'zi
大白,da'bai
大头黄,da'tou'huang
淡白,dan'bai
淡白青,dan'bai'qing
淡黄,dan'huang
淡黄白,dan'huang'bai
淡青,dan'qing
淡紫,dan'zi
稻叶青,dao'ye'qing
狗蝇黄,gou'ying'huang
河泥青,he'ni'qing
河水青,he'shui'qing
河虾青,he'xia'qing
黑黄,hei'huang
黑麻乌青,hei'ma'wu'qing
黑青,hei'qing
黑色白,hei'se'bai
黑紫,hei'zi
黑紫笃,hei'zi'du
黑紫黑红钳,hei'zi'hei'hong'qian
黑紫乌头,hei'zi'wu'tou
红白,hong'bai
红黄,hong'huang
红麻头,hong'ma'tou
红青,hong'qing
红砂青,hong'sha'qing
红头白,hong'tou'bai
红头白翅,hong'tou'bai'chi
红头黄,hong'tou'huang
红头青,hong'tou'qing
红头青翅,hong'tou'qing'chi
红头紫,hong'tou'zi
红线青,hong'xian'qing
红牙青,hong'ya'qing
红紫,hong'zi
琥柏头青,hu'bai'tou'qing
花顶淡紫,hua'ding'dan'zi
滑葡萄紫,hua'pu'tao'zi
滑紫,hua'zi
黄长衣,huang'chang'yi
黄大头,huang'da'tou
黄笃,huang'du
黄花头,huang'hua'tou
黄麻头,huang'ma'tou
黄头红,huang'tou'hong
黄乌头,huang'wu'tou
黄一线,huang'yi'xian
灰青,hui'qing
鸡血青,ji'xie'qing
茄皮紫,jia'pi'zi
尖翅白,jian'chi'bai
尖头青,jian'tou'qing
尖头紫,jian'tou'zi
酱瓣紫,jiang'ban'zi
金背笃,jin'bei'du
金背紫,jin'bei'zi
金青黄麻头,jin'qing'huang'ma'tou
金线黄,jin'xian'huang
烂衣,lan'yi
老白,lao'bai
乐陵黄,le'ling'huang
栗青,li'qing
栗紫,li'zi
芦花白,lu'hua'bai
芦花青,lu'hua'qing
落霞红,luo'xia'hong
玛瑙红,ma'nao'hong
麻皮黄,ma'pi'huang
麻铁色青,ma'tie'se'qing
麻头紫,ma'tou'zi
麻真青,ma'zhen'qing
麻紫,ma'zi
麦橘黄,mai'ju'huang
麦紫青,mai'zi'qing
玫瑰紫,mei'gui'zi
蜜蜡头,mi'la'tou
密蜡头,mi'la'tou
蜜青背,mi'qing'bei
跑马黄,pao'ma'huang
琵琶笃,pi'pa'du
葡萄青,pu'tao'qing
七彩朱砂额,qi'cai'zhu'sha'e
齐臀,qi'tun
青长衣,qing'chang'yi
青大头,qing'da'tou
青笃,qing'du
青黄,qing'huang
青黄白,qing'huang'bai
青麻青,qing'ma'qing
青麻头,qing'ma'tou
青三色笃,qing'san'se'du
青铁线青,qing'tie'xian'qing
青乌,qing'wu
青项白,qing'xiang'bai
沙黄,sha'huang
砂黄,sha'huang
山查红,shan'zha'hong
射弓红,she'gong'hong
深黄,shen'huang
深紫,shen'zi
石榴红,shi'liu'hong
熟藕紫,shu'ou'zi
熟虾青,shu'xia'qing
水红,shui'hong
水梨白,shui'li'bai
水墨黑,shui'mo'hei
苏叶黄,su'ye'huang
苏叶青,su'ye'qing
粟紫,su'zi
谈色紫黄,tan'se'zi'huang
藤花紫,teng'hua'zi
天蓝青,tian'lan'qing
铁砂青,tie'sha'qing
铜头铁背,tong'tou'tie'bei
铜头铁背紫,tong'tou'tie'bei'zi
乌背白,wu'bei'bai
乌背黄,wu'bei'huang
乌酱煤紫,wu'jiang'mei'zi
乌麻头,wu'ma'tou
乌青,wu'qing
乌头金翅,wu'tou'jin'chi
乌头银翅,wu'tou'yin'chi
虾青,xia'qing
蟹黄,xie'huang
蟹青,xie'qing
哑白,ya'bai
鸦青,ya'qing
银背紫,yin'bei'zi
银牙淡紫,yin'ya'dan'zi
阴阳翅,yin'yang'chi
油黄,you'huang
油青,you'qing
蚰蜓青,you'ting'qing
玉骨白,yu'gu'bai
玉牙青,yu'ya'qing
月白,yue'bai
枣红,zao'hong
灶灰黑,zao'hui'hei
真黑,zhen'hei
真红,zhen'hong
真黄,zhen'huang
真青,zhen'qing
真乌,zhen'wu
真紫,zhen'zi
正白,zheng'bai
正青,zheng'qing
重青,zhong'qing
重青一线,zhong'qing'yi'xian
朱头白,zhu'tou'bai
竹叶青,zhu'ye'qing
紫笃,zi'du
紫黄,zi'huang
紫壳白牙,zi'ke'bai'ya
紫青,zi'qing
紫头金翅,zi'tou'jin'chi
左搭,zuo'da
