阿鼻元珠,a'bi'yuan'zhu
高人,gao'ren
高僧,gao'seng
高深,gao'shen
高伟光,gao'wei'guang
犵雕,ge'diao
戈符,ge'fu
隔室庆重圆,ge'shi'qing'chong'yuan
根器,gen'qi
庚甲运化天芒神针,geng'jia'yun'hua'tian'mang'shen'zhen
更堪早岁恩仇,geng'kan'zao'sui'en'chou
耿鲲,geng'kun
更怜欢喜狱成,geng'lian'huan'xi'yu'cheng
更生欣如愿,geng'sheng'xin'ru'yuan
功参内外,gong'can'nei'wai
功成一击,gong'cheng'yi'ji
功德,gong'de
功服灵药侠女多情,gong'fu'ling'yao'xia'nv'duo'qing
共看千年邪火,gong'kan'qian'nian'xie'huo
功力,gong'li
宫琳,gong'lin
宫墙在望感师恩,gong'qiang'zai'wang'gan'shi'en
巩霜鬟,gong'shuang'huan
公孙道明,gong'sun'dao'ming
公孙武,gong'sun'wu
公孙无我,gong'sun'wu'wo
功消浩劫,gong'xiao'hao'jie
共寻碧涧,gong'xun'bi'jian
公冶黄,gong'ye'huang
勾魂姹女,gou'hun'cha'nv
勾显,gou'xian
谷辰,gu'chen
古陈仓,gu'chen'cang
古洞藏珍,gu'dong'cang'zhen
古洞盗禅经,gu'dong'dao'chan'jing
古洞困神婴,gu'dong'kun'shen'ying
古洞斩妖蛇父女重逢,gu'dong'zhan'yao'she'fu'nv'chong'feng
孤芳闲自赏,gu'fang'xian'zi'shang
蛊惑,gu'huo
古庙逢凶众孝廉禅堂遭毒手,gu'miao'feng'xiong'zhong'xiao'lian'chan'tang'zao'du'shou
古墓羁身,gu'mu'ji'shen
姑婆岭,gu'po'ling
固魄仗灵丹,gu'po'zhang'ling'dan
古杉坪二仙盗法,gu'shan'ping'er'xian'dao'fa
孤身犯险,gu'shen'fan'xian
古铁令符,gu'tie'ling'fu
谷王峰,gu'wang'feng
固形丸,gu'xing'wan
古玉符,gu'yu'fu
古正,gu'zheng
怪叫花,guai'jiao'hua
怪叫花赤手戏天王,guai'jiao'hua'chi'shou'xi'tian'wang
怪叫花惊魔青螺峪,guai'jiao'hua'jing'mo'qing'luo'yu
怪叫花凌浑,guai'jiao'hua'ling'hun
乖僻,guai'pi
怪僻,guai'pi
怪蛇,guai'she
怪物,guai'wu
关帝庙,guan'di'miao
关临,guan'lin
贯明扬,guan'ming'yang
管青衣,guan'qing'yi
关山迢遥走征人,guan'shan'tiao'yao'zou'zheng'ren
观社戏,guan'she'xi
观在,guan'zai
广成子,guang'cheng'zi
广殿通明参极主,guang'dian'tong'ming'can'ji'zhu
广慧师太,guang'hui'shi'tai
光明境,guang'ming'jing
广明师太,guang'ming'shi'tai
光腾玉柱,guang'teng'yu'zhu
归藏袋,gui'cang'dai
龟策著灵,gui'ce'zhu'ling
归大年,gui'da'nian
鬼道人,gui'dao'ren
鬼风谷神雕救主,gui'feng'gu'shen'diao'jiu'zhu
鬼哄森林李英琼飞剑斩妖人,gui'hong'sen'lin'li'ying'qiong'fei'jian'zhan'yao'ren
桂花山,gui'hua'shan
鬼魂,gui'hun
鬼姥,gui'lao
鬼母,gui'mu
鬼母山,gui'mu'shan
鬼女,gui'nv
鬼声逃魅影,gui'sheng'tao'mei'ying
癸水雷珠,gui'shui'lei'zhu
鬼王,gui'wang
归吾,gui'wu
鬼眼毒针,gui'yan'du'zhen
鬼婴儿,gui'ying'er
鬼语啁啾飞黑眚,gui'yu'zhou'jiu'fei'hei'sheng
归元箭,gui'yuan'jian
归元寺,gui'yuan'si
国士出青衣,guo'shi'chu'qing'yi
郭云璞,guo'yun'pu
郭云噗无心擒侠女,guo'yun'pu'wu'xin'qin'xia'nv
哈葛尼布,ha'ge'ni'bu
哈哈,ha'ha
哈哈老祖,ha'ha'lao'zu
哈哈僧,ha'ha'seng
哈延,ha'yan
还将驼叟斗痴翁,hai'jiang'tuo'sou'dou'chi'weng
海气荒凉观日景,hai'qi'huang'liang'guan'ri'jing
海仙洞,hai'xian'dong
海心礁二,hai'xin'jiao'er
海中兀立玄龟殿,hai'zhong'wu'li'xuan'gui'dian
还自在观,hai'zi'zai'guan
寒碧,han'bi
寒碧剑,han'bi'jian
寒冰冻髓,han'bing'dong'sui
寒萼,han'e
寒萼逢异叟,han'e'feng'yi'sou
寒萼怨偏私,han'e'yuan'pian'si
寒光,han'guang
寒光道人,han'guang'dao'ren
寒琼仙子,han'qiong'xian'zi
寒山妖道,han'shan'yao'dao
韩松,han'song
寒犀照,han'xi'zhao
寒霞障,han'xia'zhang
韩仙子,han'xian'zi
韩玄,han'xuan
寒氤宝鼎,han'yin'bao'ding
寒玉本无心,han'yu'ben'wu'xin
寒月禅师,han'yue'chan'shi
浩荡天风,hao'dang'tian'feng
皓戈禹令,hao'ge'yu'ling
郝敬,hao'jing
郝宽,hao'kuan
郝潜夫,hao'qian'fu
昊天鉴,hao'tian'jian
郝行健,hao'xing'jian
何焕,he'huan
合欢莲,he'huan'lian
合力助痴龙,he'li'zhu'chi'long
贺萍子,he'ping'zi
何清,he'qing
喝泉崖,he'quan'ya
合群力,he'qun'li
和尚逃生,he'shang'tao'sheng
何渭,he'wei
鹤舞空山侠客惊蛇怪,he'wu'kong'shan'xia'ke'jing'she'guai
何小山,he'xiao'shan
何兴,he'xing
何永亮,he'yong'liang
黑丑,hei'chou
黑狗钉,hei'gou'ding
黑海,hei'hai
黑孩儿,hei'hai'er
黑伽三童,hei'jia'san'tong
黑伽山,hei'jia'shan
黑蛮山,hei'man'shan
黑霉钉,hei'mei'ding
黑讫姥,hei'qi'lao
黑青遮天,hei'qing'zhe'tian
黑煞剑,hei'sha'jian
黑煞落魂砂,hei'sha'luo'hun'sha
黑煞丝,hei'sha'si
黑神女,hei'shen'nv
黑手仙长,hei'shou'xian'chang
黑夜锄奸一侠女禅关歼巨盗,hei'ye'chu'jian'yi'xia'nv'chan'guan'jian'ju'dao
黑猿,hei'yuan
恨重仇深,hen'zhong'chou'shen
横空张绿网,heng'kong'zhang'lv'wang
横扫紫云宫,heng'sao'zi'yun'gong
恒山,heng'shan
恒山三凶,heng'shan'san'xiong
洪长豹,hong'chang'bao
洪大肚,hong'da'du
红发,hong'fa
红发老祖,hong'fa'lao'zu
虹飞电舞,hong'fei'dian'wu
红花,hong'hua
红花鬼母,hong'hua'gui'mu
红花和尚,hong'hua'he'shang
红花姥姥,hong'hua'lao'lao
红蛟剪,hong'jiao'jian
红菱磴,hong'ling'deng
洪炉宝鼎炼神沙,hong'lu'bao'ding'lian'shen'sha
红毛,hong'mao
虹霓剑,hong'ni'jian
宏施佛法,hong'shi'fo'fa
红影,hong'ying
红欲袋,hong'yu'dai
红雨飞花,hong'yu'fei'hua
宏愿,hong'yuan
红云大师,hong'yun'da'shi
红云针,hong'yun'zhen
洪真武,hong'zhen'wu
红蛛剑,hong'zhu'jian
后辈,hou'bei
侯曾,hou'ceng
后进,hou'jin
侯显,hou'xian
后羿射阳弩,hou'yi'she'yang'nu
呼侗,hu'dong
虎儿遭愚弄,hu'er'zao'yu'nong
胡嘉,hu'jia
呼加卓图,hu'jia'zhuo'tu
胡览,hu'lan
虎面伽蓝,hu'mian'qie'lan
湖神观,hu'shen'guan
护神牌,hu'shen'pai
护身凭宝伞,hu'shen'ping'bao'san
胡式,hu'shi
虎头禅师,hu'tou'chan'shi
虎啸龙翔,hu'xiao'long'xiang
虎爪山,hu'zhao'shan
虎爪山单刀开密莽,hu'zhao'shan'dan'dao'kai'mi'mang
花放水流入独立,hua'fang'shui'liu'ru'du'li
花光如海拜仙灵,hua'guang'ru'hai'bai'xian'ling
花开见佛拜神僧,hua'kai'jian'fo'bai'shen'seng
花开十丈藕如船,hua'kai'shi'zhang'ou'ru'chuan
花绿绮,hua'lv'qi
花奇,hua'qi
化去,hua'qu
化去天生异禀,hua'qu'tian'sheng'yi'bing
华日丽仙山,hua'ri'li'xian'shan
华山,hua'shan
华山派,hua'shan'pai
花无邪,hua'wu'xie
化血宝刀,hua'xue'bao'dao
化血神刀,hua'xue'shen'dao
化血神钉,hua'xue'shen'ding
华瑶崧,hua'yao'song
华岳仙童,hua'yue'xian'tong
花云崖,hua'yun'ya
幻波池,huan'bo'chi
幻灭死生同泡影,huan'mie'si'sheng'tong'pao'ying
欢喜神魔,huan'xi'shen'mo
还乡联美眷,huan'xiang'lian'mei'juan
还乡求嗣子,huan'xiang'qiu'si'zi
桓玉,huan'yu
还珠楼主,huan'zhu'lou'zhu
黄风,huang'feng
黄风道人,huang'feng'dao'ren
黄贡,huang'gong
黄精剑,huang'jing'jian
黄龙山,huang'long'shan
黄猛,huang'meng
黄人龙,huang'ren'long
黄人瑜,huang'ren'yu
黄山,huang'shan
黄石洞,huang'shi'dong
黄水堤封消巨浸,huang'shui'di'feng'xiao'ju'jin
黄骕,huang'su
黄畹秋,huang'wan'qiu
黄玄极,huang'xuan'ji
荒崖肆虐遇仙娥,huang'ya'si'nue'yu'xian'e
黄鱼岛,huang'yu'dao
荒原探鳌极,huang'yuan'tan'ao'ji
黄璋,huang'zhang
黄肿道人,huang'zhong'dao'ren
挥宝扇,hui'bao'shan
回嗔作喜,hui'chen'zuo'xi
悔过输诚,hui'guo'shu'cheng
毁花容,hui'hua'rong
挥金全孝子,hui'jin'quan'xiao'zi
慧明,hui'ming
慧能,hui'neng
慧性,hui'xing
慧行,hui'xing
慧眼识仙藏,hui'yan'shi'xian'cang
慧质仙根,hui'zhi'xian'gen
慧珠,hui'zhu
昏灯摇冷焰,hun'deng'yao'leng'yan
魂惊魄悸,hun'jing'po'ji
昏茫黑海耀明灯,hun'mang'hei'hai'yao'ming'deng
混元幡,hun'yuan'fan
混元老祖,hun'yuan'lao'zu
混元一气球,hun'yuan'yi'qi'qiu
混元终气套,hun'yuan'zhong'qi'tao
混元祖师,hun'yuan'zu'shi
火蝙蝠,huo'bian'fu
获藏珍双英并秀,huo'cang'zhen'shuang'ying'bing'xiu
火德星君,huo'de'xing'jun
火遁戮凶魂,huo'dun'lu'xiong'hun
火法师,huo'fa'shi
火法真人,huo'fa'zhen'ren
火伏地中,huo'fu'di'zhong
火海,huo'hai
霍合,huo'he
火解,huo'jie
火龙钗,huo'long'chai
火龙礁,huo'long'jiao
火鲁齐,huo'lu'qi
火灭烟消奇宝现,huo'mie'yan'xiao'qi'bao'xian
火狮子,huo'shi'zi
火树银花惊魔女,huo'shu'yin'hua'jing'mo'nv
火太岁,huo'tai'sui
火无害,huo'wu'hai
火无量,huo'wu'liang
火星,huo'xing
火行者,huo'xing'zhe
火修罗,huo'xiu'luo
火眼金狮,huo'yan'jin'shi
火殃神,huo'yang'shen
火翼金刚,huo'yi'jin'gang
火月,huo'yue
火云冲,huo'yun'chong
火云洞,huo'yun'dong
火云链,huo'yun'lian
火云岭,huo'yun'ling
火真经,huo'zhen'jing
祸种明珠,huo'zhong'ming'zhu
火柱困霜鬟,huo'zhu'kun'shuang'huan
火珠原,huo'zhu'yuan
几百年,ji'bai'nian
急报仇,ji'bao'chou
饥餐朱果斗剑遇同门,ji'can'zhu'guo'dou'jian'yu'tong'men
积翠崖,ji'cui'ya
纪登,ji'deng
疾恶毙穷凶,ji'e'bi'qiong'xiong
极恶斗元区凶,ji'e'dou'yuan'qu'xiong
姬繁,ji'fan
几番狭路,ji'fan'xia'lu
极光涵海岳,ji'guang'han'hai'yue
极光球,ji'guang'qiu
寂寂荒山求异宝,ji'ji'huang'shan'qiu'yi'bao
疾老成,ji'lao'cheng
极乐真人,ji'le'zhen'ren
积虑深仇,ji'lv'shen'chou
寂灭神钟,ji'mie'shen'zhong
记名弟子,ji'ming'di'zi
丌南公,ji'nan'gong
急难脱身,ji'nan'tuo'shen
急怒失元神,ji'nu'shi'yuan'shen
记前因,ji'qian'yin
计穷轻一掷妄肆,ji'qiong'qing'yi'zhi'wang'si
极穷途,ji'qiong'tu
姬蜃,ji'shen
姬旋,ji'xuan
稽一鸥,ji'yi'ou
吉永,ji'yong
汲占,ji'zhan
计斩双凶,ji'zhan'shuang'xiong
伽难珠,jia'nan'zhu
佳人独立璇,jia'ren'du'li'xuan
贾晓晨,jia'xiao'chen
浃旬有难,jia'xun'you'nan
迦叶金光镜,jia'ye'jin'guang'jing
伽音九劫起真灵,jia'yin'jiu'jie'qi'zhen'ling
甲子,jia'zi
简冰如,jian'bing'ru
健儿,jian'er
剑法,jian'fa
剑光同闪电昏林黑月会妖人,jian'guang'tong'shan'dian'hun'lin'hei'yue'hui'yao'ren
剑绝五峰顶,jian'jue'wu'feng'ding
剑气纵横寒敌胆,jian'qi'zong'heng'han'di'dan
简清华,jian'qing'hua
奸人窃位,jian'ren'qie'wei
见首神龙醉道人挥金纵饮,jian'shou'shen'long'zui'dao'ren'hui'jin'zong'yin
剑仙,jian'xian
简瑶华,jian'yao'hua
剑阵,jian'zhen
蒋诚言,jiang'cheng'yan
江湖,jiang'hu
江湖纷争,jiang'hu'fen'zheng
蒋三姑,jiang'san'gu
姜庶,jiang'shu
江涛,jiang'tao
姜渭,jiang'wei
姜渭渔,jiang'wei'yu
蒋仙子,jiang'xian'zi
蒋诩,jiang'xu
绛雪,jiang'xue
姜雪君,jiang'xue'jun
绛云真人,jiang'yun'zhen'ren
姜真人,jiang'zhen'ren
江芷云,jiang'zhi'yun
僬人初窃位,jiao'ren'chu'qie'wei
鲛人岛,jiao'ren'dao
交手,jiao'shou
教主返仙山,jiao'zhu'fan'xian'shan
杰出,jie'chu
介道人,jie'dao'ren
介乎,jie'hu
皆集灭道,jie'ji'mie'dao
劫难,jie'nan
借体重生,jie'ti'zhong'sheng
结同门商量辟仙府,jie'tong'men'shang'liang'pi'xian'fu
结同心,jie'tong'xin
解脱庵,jie'tuo'an
劫妖天蚕岭,jie'yao'tian'can'ling
劫运,jie'yun
芥子藏身法,jie'zi'cang'shen'fa
金贝叶,jin'bei'ye
金碧神锋,jin'bi'shen'feng
金臂行者,jin'bi'xing'zhe
金鞭崖,jin'bian'ya
金鞭崖陶钧学剑,jin'bian'ya'tao'jun'xue'jian
金蝉,jin'chan
金蝉初会碧眼佛,jin'chan'chu'hui'bi'yan'fo
金蝉定志战妖尼,jin'chan'ding'zhi'zhan'yao'ni
金蝉急友难,jin'chan'ji'you'nan
锦春谷,jin'chun'gu
金刀仙子,jin'dao'xian'zi
锦枫谷,jin'feng'gu
金风老人,jin'feng'lao'ren
金峰山,jin'feng'shan
金风寺,jin'feng'si
金佛寺,jin'fo'si
金蚨剑,jin'fu'jian
金凫仙子,jin'fu'xian'zi
金刚杵,jin'gang'chu
金刚护身之法,jin'gang'hu'shen'zhi'fa
金刚神火箭,jin'gang'shen'huo'jian
金刚神砂,jin'gang'shen'sha
金戈,jin'ge
金宫援倩女,jin'gong'yuan'qian'nv
金光宝相走神婴,jin'guang'bao'xiang'zou'shen'ying
金光大手,jin'guang'da'shou
金光鼎,jin'guang'ding
金光洞,jin'guang'dong
金光烈火剑,jin'guang'lie'huo'jian
金虹,jin'hong
金花,jin'hua
金花教主,jin'hua'jiao'zhu
金精神臂,jin'jing'shen'bi
金镜神光,jin'jing'shen'guang
金精霞彩耀云衙,jin'jing'xia'cai'yao'yun'ya
金姥姥,jin'lao'lao
金姥姥罗紫烟,jin'lao'lao'luo'zi'yan
金莲度厄走仙童,jin'lian'du'e'zou'xian'tong
金莲神座,jin'lian'shen'zuo
金麟剑,jin'lin'jian
金龙梭,jin'long'suo
金轮火剑胜妖尸,jin'lun'huo'jian'sheng'yao'shi
金罗汉搬兵五云步,jin'luo'han'ban'bing'wu'yun'bu
金罗汉访友紫金泷,jin'luo'han'fang'you'zi'jin'long
金萍,jin'ping
金菩提,jin'pu'ti
金菩提暗藏白眉针,jin'pu'ti'an'cang'bai'mei'zhen
金神君,jin'shen'jun
金身罗汉,jin'shen'luo'han
金沈子,jin'shen'zi
金圣母传针姑婆岭,jin'sheng'mu'chuan'zhen'gu'po'ling
金声玉振,jin'sheng'yu'zhen
金石三入紫云宫,jin'shi'san'ru'zi'yun'gong
金狮神佛,jin'shi'shen'fo
金石峡,jin'shi'xia
金姝,jin'shu
金泰,jin'tai
金庭森玉柱霞影,jin'ting'sen'yu'zhu'xia'ying
金庭山,jin'ting'shan
金头仙娘,jin'tou'xian'niang
金驼,jin'tuo
金鼍剑,jin'tuo'jian
金乌神火,jin'wu'shen'huo
金乌邪幕总无功,jin'wu'xie'mu'zong'wu'gong
金乌障,jin'wu'zhang
金犀剑,jin'xi'jian
金霞洞,jin'xia'dong
金仙,jin'xian
金线神姥,jin'xian'shen'lao
金须奴,jin'xu'nu
金燕,jin'yan
金眼狒狒,jin'yan'fei'fei
金银串,jin'yin'chuan
金银岛,jin'yin'dao
金银沙剑,jin'yin'sha'jian
金莺,jin'ying
金鸳神剪,jin'yuan'shen'jian
锦云兜,jin'yun'dou
锦云衣,jin'yun'yi
金针飞芒雨,jin'zhen'fei'mang'yu
金针圣母,jin'zhen'sheng'mu
金钟岛,jin'zhong'dao
金钟岛主,jin'zhong'dao'zhu
金幢压地肺,jin'zhuang'ya'di'fei
金樽倾玉液,jin'zun'qing'yu'ye
镜波寺,jing'bo'si
警禅心,jing'chan'xin
镜澄,jing'cheng
惊逢鬼道士,jing'feng'gui'dao'shi
惊逢海峤仙,jing'feng'hai'qiao'xian
惊风起铁羽,jing'feng'qi'tie'yu
惊逢铁伞道,jing'feng'tie'san'dao
惊怪异深宵闻厉声,jing'guai'yi'shen'xiao'wen'li'sheng
晶锅幻彩,jing'guo'huan'cai
惊浩劫一女还山,jing'hao'jie'yi'nv'hai'shan
精虹潋滟,jing'hong'lian'yan
惊回孽海老精魂,jing'hui'nie'hai'lao'jing'hun
警戒,jing'jie
惊丽质,jing'li'zhi
精芒掩醒,jing'mang'yan'xing
荆门山,jing'men'shan
精气,jing'qi
晶球凝幻影,jing'qiu'ning'huan'ying
晶球示兆逢魔女,jing'qiu'shi'zhao'feng'mo'nv
惊兽阵,jing'shou'zhen
镜天湖,jing'tian'hu
惊霆裂地,jing'ting'lie'di
鲸涎锤,jing'xian'chui
惊心闻噩耗,jing'xin'wen'e'hao
静修,jing'xiu
惊摇落携女游城市,jing'yao'luo'xie'nv'you'cheng'shi
九重元神,jiu'chong'yuan'shen
九毒神君,jiu'du'shen'jun
九宫宝镜,jiu'gong'bao'jing
九宫环,jiu'gong'huan
九宫朱灵旗,jiu'gong'zhu'ling'qi
九还岭,jiu'hai'ling
酒海涌碧波,jiu'hai'yong'bi'bo
九寒沙,jiu'han'sha
久候寂无音,jiu'hou'ji'wu'yin
九华山,jiu'hua'shan
九华山白侠遇凶僧,jiu'hua'shan'bai'xia'yu'xiong'seng
九戒仙幢,jiu'jie'xian'zhuang
九九修罗刀,jiu'jiu'xiu'luo'dao
救丽姝大闹慈云寺,jiu'li'shu'da'nao'ci'yun'si
九烈,jiu'lie
九烈神君,jiu'lie'shen'jun
九六宙灵梭,jiu'liu'zhou'ling'suo
九龙梭,jiu'long'suo
九龙真人,jiu'long'zhen'ren
旧梦已难温,jiu'meng'yi'nan'wen
鸠盘婆,jiu'pan'po
九曲柔丝,jiu'qu'rou'si
九世,jiu'shi
九天,jiu'tian
九天都罗神锋,jiu'tian'dou'luo'shen'feng
九天都篆阴魔大法,jiu'tian'dou'zhuan'yin'mo'da'fa
九天勾魂神君,jiu'tian'gou'hun'shen'jun
九天寒魄珠,jiu'tian'han'po'zhu
九天鹤舞,jiu'tian'he'wu
九天十地避魔梭,jiu'tian'shi'di'bi'mo'suo
九天十地辟魔神梭,jiu'tian'shi'di'pi'mo'shen'suo
九天元阳尺,jiu'tian'yuan'yang'chi
九天云网,jiu'tian'yun'wang
九尾天狐,jiu'wei'tian'hu
九仙洞,jiu'xian'dong
救仙童,jiu'xian'tong
九疑鼎,jiu'yi'ding
九疑鼎下,jiu'yi'ding'xia
救援逢阻遇偏奇,jiu'yuan'feng'zu'yu'pian'qi
九转百炼灵丹,jiu'zhuan'bai'lian'ling'dan
九转还金丹,jiu'zhuan'hai'jin'dan
九转轮,jiu'zhuan'lun
九子母阴魂剑,jiu'zi'mu'yin'hun'jian
九子母阴魔销魂大法,jiu'zi'mu'yin'mo'xiao'hun'da'fa
九子母元阳针,jiu'zi'mu'yuan'yang'zhen
举步失深渊,ju'bu'shi'shen'yuan
巨洪,ju'hong
举酒庆丰功,ju'jiu'qing'feng'gong
巨魁,ju'kui
聚奎剑,ju'kui'jian
剧怜同病,ju'lian'tong'bing
居罗岛,ju'luo'dao
巨木神君,ju'mu'shen'jun
巨眼识真人,ju'yan'shi'zhen'ren
聚阴魂,ju'yin'hun
巨掌雀环,ju'zhang'que'huan
眷言伦好,juan'yan'lun'hao
绝尘崖,jue'chen'ya
绝顶,jue'ding
绝海渡鲸波,jue'hai'du'jing'bo
绝海剪鲸波,jue'hai'jian'jing'bo
绝涧渡孤藤,jue'jian'du'gu'teng
绝世仙娃参佛女,jue'shi'xian'wa'can'fo'nv
绝巘立天风,jue'yan'li'tian'feng
绝艳迷人,jue'yan'mi'ren
绝尊者,jue'zun'zhe
喀音沙布,ka'yin'sha'bu
开府,kai'fu
开山祖师,kai'shan'zu'shi
开元寺,kai'yuan'si
坎离丹,kan'li'dan
坎离梭,kan'li'suo
坎离真,kan'li'zhen
坎离真人,kan'li'zhen'ren
慷慨酬恩轻一击,kang'kai'chou'en'qing'yi'ji
刻骨说相思,ke'gu'shuo'xiang'si
客馆对孤灯不世仙缘白眉留尺简,ke'guan'dui'gu'deng'bu'shi'xian'yuan'bai'mei'liu'chi'jian
可一子,ke'yi'zi
孔凌霄,kong'ling'xiao
孔灵子,kong'ling'zi
崆峒派,kong'tong'pai
空陀神僧,kong'tuo'shen'seng
苦缠绵,ku'chan'mian
苦缔心盟,ku'di'xin'meng
苦孩儿,ku'hai'er
苦孩儿解围文笔峰,ku'hai'er'jie'wei'wen'bi'feng
苦炼,ku'lian
苦铁长老,ku'tie'zhang'lao
酷刑谁与受,ku'xing'shei'yu'shou
苦行头陀,ku'xing'tou'tuo
苦修,ku'xiu
枯竹,ku'zhu
枯竹庵,ku'zhu'an
苦竹庵,ku'zhu'an
枯竹老人,ku'zhu'lao'ren
苦竹峡,ku'zhu'xia
快活村,kuai'huo'cun
款仙宾,kuan'xian'bin
诓走锁心锤,kuang'zou'suo'xin'chui
窥碧岑,kui'bi'cen
窥秘戏柳燕娘动情天魔舞,kui'mi'xi'liu'yan'niang'dong'qing'tian'mo'wu
葵香,kui'xiang
魁影爆冰魂,kui'ying'bao'bing'hun
窥幽林,kui'you'lin
困磁光,kun'ci'guang
坤灵针,kun'ling'zhen
困龙珠,kun'long'zhu
昆仑,kun'lun
昆仑三友,kun'lun'san'you
困仙山,kun'xian'shan
括苍山,kuo'cang'shan
拉蛮,la'man
癞姑,lai'gu
蓝敕令,lan'chi'ling
蓝二龙,lan'er'long
岚光明丽访仙娃,lan'guang'ming'li'fang'xian'wa
蓝佬石,lan'lao'shi
蓝老铁,lan'lao'tie
蓝髯客,lan'ran'ke
蓝田餐玉实,lan'tian'can'yu'shi
蓝天狗,lan'tian'gou
郎飞,lang'fei
琅缳秘笈,lang'huan'mi'ji
琅嬛天府,lang'huan'tian'fu
琅琅梵唱彻山林,lang'lang'fan'chang'che'shan'lin
郎情妾意,lang'qing'qie'yi
朗月疏星白云入抱,lang'yue'shu'xing'bai'yun'ru'bao
老蚌,lao'bang
老疙疽,lao'ge'ju
姥姥,lao'lao
老魔,lao'mo
崂山,lao'shan
乐三官,le'san'guan
乐众,le'zhong
雷二娘,lei'er'niang
雷发紫霆珠,lei'fa'zi'ting'zhu
雷火,lei'huo
雷起龙,lei'qi'long
雷去恶,lei'qu'e
雷音,lei'yin
雷音钹,lei'yin'bo
雷音椎,lei'yin'zhui
雷泽砂中援道侣,lei'ze'sha'zhong'yuan'dao'lv
雷泽神剑,lei'ze'shen'jian
雷泽神砂,lei'ze'shen'sha
雷抓子,lei'zhua'zi
冷蝉沙,leng'chan'sha
冷光珠,leng'guang'zhu
冷魂峪,leng'hun'yu
冷焰寒雷,leng'yan'han'lei
冷焰九寒针,leng'yan'jiu'han'zhen
冷月寒星,leng'yue'han'xing
冷云丹,leng'yun'dan
冷云仙子,leng'yun'xian'zi
黎半风,li'ban'feng
离巢孤雏赵燕儿别母从师,li'chao'gu'chu'zhao'yan'er'bie'mu'cong'shi
黎成,li'cheng
离垢钟,li'gou'zhong
利害,li'hai
离合神光,li'he'shen'guang
离合神圭,li'he'shen'gui
离合五云圭,li'he'wu'yun'gui
李洪,li'hong
厉吼,li'hou
李厚,li'hou
离魂怜情女,li'hun'lian'qing'nv
李健,li'jian
历劫丹砂谈霞举,li'jie'dan'sha'tan'xia'ju
李静虚,li'jing'xu
李昆吾,li'kun'wu
黎母岭,li'mu'ling
黎母真传,li'mu'zhen'chuan
李宁,li'ning
力辟仙源,li'pi'xian'yuan
李如烟,li'ru'yan
丽山,li'shan
李善基,li'shan'ji
丽山七老,li'shan'qi'lao
黎绍,li'shao
厉声腾魅影,li'sheng'teng'mei'ying
李寿民,li'shou'min
李四姑,li'si'gu
黎望,li'wang
李文衎,li'wen'kan
厉啸落长空,li'xiao'luo'chang'kong
厉啸一声飞毒手,li'xiao'yi'sheng'fei'du'shou
离筵陈壮志忽听,li'yan'chen'zhuang'zhi'hu'ting
离依岛,li'yi'dao
李英琼,li'ying'qiong
李英琼出山,li'ying'qiong'chu'shan
李英琼万里走孤身,li'ying'qiong'wan'li'zou'gu'shen
李玉玉,li'yu'yu
李元化,li'yuan'hua
郦芸,li'yun
李震川,li'zhen'chuan
历诸厄苦难而御魔劫,li'zhu'e'ku'nan'er'yu'mo'jie
离珠宫,li'zhu'gong
力诛四寇周侠女送友碧筠庵,li'zhu'si'kou'zhou'xia'nv'song'you'bi'jun'an
连登,lian'deng
炼法中魔深,lian'fa'zhong'mo'shen
炼刚柔,lian'gang'rou
恋红尘,lian'hong'chen
廉红药,lian'hong'yao
炼化,lian'hua
莲花峰,lian'hua'feng
莲花明玉钥,lian'hua'ming'yu'yao
炼就,lian'jiu
炼魔神针,lian'mo'shen'zhen
连山大师,lian'shan'da'shi
潋滟祥辉生宝盖,lian'yan'xiang'hui'sheng'bao'gai
连云如画亘长空,lian'yun'ru'hua'gen'chang'kong
两矮初乘辟魔梭,liang'ai'chu'cheng'pi'mo'suo
两辈交期,liang'bei'jiao'qi
两翅,liang'chi
两番负气,liang'fan'fu'qi
两极圈,liang'ji'quan
两极宙光盘,liang'ji'zhou'guang'pan
两界等微尘,liang'jie'deng'wei'chen
两界牌,liang'jie'pai
梁孟同收微尘阵,liang'meng'tong'shou'wei'chen'zhen
梁武帝,liang'wu'di
两仙童风穴盗冰蚕,liang'xian'tong'feng'xue'dao'bing'can
两仪幡,liang'yi'fan
两仪分光锉,liang'yi'fen'guang'cuo
两仪天昙镜,liang'yi'tian'tan'jing
良友关心辞小住,liang'you'guan'xin'ci'xiao'zhu
辽东二魔,liao'dong'er'mo
辽海澄波宁远峤,liao'hai'cheng'bo'ning'yuan'qiao
了了和尚,liao'liao'he'shang
了一,liao'yi
列霸多,lie'ba'duo
烈火,lie'huo
烈火雷音剑,lie'huo'lei'yin'jian
烈火毛虫,lie'huo'mao'chong
烈火弥天,lie'huo'mi'tian
烈火神珠,lie'huo'shen'zhu
烈火玄云呈玉碣,lie'huo'xuan'yun'cheng'yu'jie
烈火祖师,lie'huo'zu'shi
烈烈狂飙,lie'lie'kuang'biao
列缺双钩,lie'que'shuang'gou
烈焰可栖身,lie'yan'ke'qi'shen
烈影神宗,lie'ying'shen'zong
林成祖,lin'cheng'zu
林寒,lin'han
林鹤,lin'he
林驾,lin'jia
临绝险千里走青螺,lin'jue'xian'qian'li'zou'qing'luo
临流照影,lin'liu'zhao'ying
林绿华,lin'lv'hua
