安全管理专业,an'quan'guan'li'zhuan'ye
安全质量标准化,an'quan'zhi'liang'biao'zhun'hua
采煤专业,cai'mei'zhuan'ye
地测防治水专业,di'ce'fang'zhi'shui'zhuan'ye
地面设施专业,di'mian'she'shi'zhuan'ye
调度专业,diao'du'zhuan'ye
二级标准,er'ji'biao'zhun
机电专业,ji'dian'zhuan'ye
掘进专业,jue'jin'zhuan'ye
三级标准,san'ji'biao'zhun
通风专业,tong'feng'zhuan'ye
未达标,wei'da'biao
现代化矿井,xian'dai'hua'kuang'jing
一级标准,yi'ji'biao'zhun
应急救援专业,ying'ji'jiu'yuan'zhuan'ye
运输专业,yun'shu'zhuan'ye
职业卫生专业,zhi'ye'wei'sheng'zhuan'ye
