安平精度,an'ping'jing'du
摆仪,bai'yi
半导体激光器,ban'dao'ti'ji'guang'qi
半站型测距经纬仪,ban'zhan'xing'ce'ju'jing'wei'yi
变线仪,bian'xian'yi
标尺,biao'chi
标志灯,biao'zhi'deng
波带板,bo'dai'ban
补偿器,bu'chang'qi
补偿器补偿误差,bu'chang'qi'bu'chang'wu'cha
测标,ce'biao
测杆,ce'gan
测高仪,ce'gao'yi
测距定位系统,ce'ju'ding'wei'xi'tong
测距经纬仪,ce'ju'jing'wei'yi
测深杆,ce'shen'gan
测微目镜,ce'wei'mu'jing
测微器,ce'wei'qi
超导重力仪,chao'dao'zhong'li'yi
乘常数,cheng'chang'shu
垂球,chui'qiu
磁测深仪,ci'ce'shen'yi
大地接收机,da'di'jie'shou'ji
单片坐标量测仪,dan'pian'zuo'biao'liang'ce'yi
等高棱镜,deng'gao'leng'jing
等高仪,deng'gao'yi
地磁经纬仪,di'ci'jing'wei'yi
地磁仪,di'ci'yi
地面立体测图仪,di'mian'li'ti'ce'tu'yi
电磁波测距仪,dian'ci'bo'ce'ju'yi
电荷耦合存储器,dian'he'ou'he'cun'chu'qi
电荷耦合器,dian'he'ou'he'qi
电子测距仪,dian'zi'ce'ju'yi
电子分色机,dian'zi'fen'se'ji
电子经纬仪,dian'zi'jing'wei'yi
电子平板仪,dian'zi'ping'ban'yi
电子求积仪,dian'zi'qiu'ji'yi
电子水准仪,dian'zi'shui'zhun'yi
电子外业手簿,dian'zi'wai'ye'shou'bu
电子印象机,dian'zi'yin'xiang'ji
度盘,du'pan
断面仪,duan'mian'yi
对角目镜,dui'jiao'mu'jing
多倍仪,duo'bei'yi
多普勒声呐,duo'pu'le'sheng'na
二倍照准部互差,er'bei'zhao'zhun'bu'hu'cha
二倍照准差,er'bei'zhao'zhun'cha
发光二极管,fa'guang'er'ji'guan
方位距离定位系统,fang'wei'ju'li'ding'wei'xi'tong
缝隙纠正仪,feng'xi'jiu'zheng'yi
复照仪,fu'zhao'yi
高差仪,gao'cha'yi
高斯目镜,gao'si'mu'jing
工程经纬仪,gong'cheng'jing'wei'yi
工程水准仪,gong'cheng'shui'zhun'yi
固体激光器,gu'ti'ji'guang'qi
光笔,guang'bi
光电测距仪,guang'dian'ce'ju'yi
光电等高仪,guang'dian'deng'gao'yi
光电中星仪,guang'dian'zhong'xing'yi
光栅,guang'shan
光学对中器,guang'xue'dui'zhong'qi
光学经纬仪,guang'xue'jing'wei'yi
光学水准仪,guang'xue'shui'zhun'yi
海底声标,hai'di'sheng'biao
海洋重力仪,hai'yang'zhong'li'yi
恒时钟,heng'shi'zhong
红外测距仪,hong'wai'ce'ju'yi
互补色镜,hu'bu'se'jing
回声测深仪,hui'sheng'ce'shen'yi
绘图机,hui'tu'ji
回照器,hui'zhao'qi
激光测高仪,ji'guang'ce'gao'yi
激光测距仪,ji'guang'ce'ju'yi
激光测深仪,ji'guang'ce'shen'yi
激光地形仪,ji'guang'di'xing'yi
激光二极管,ji'guang'er'ji'guan
激光经纬仪,ji'guang'jing'wei'yi
激光目镜,ji'guang'mu'jing
激光铅垂仪,ji'guang'qian'chui'yi
激光扫平仪,ji'guang'sao'ping'yi
激光水准仪,ji'guang'shui'zhun'yi
激光准直仪,ji'guang'zhun'zhi'yi
极坐标定位系统,ji'zuo'biao'ding'wei'xi'tong
极坐标缩放仪,ji'zuo'biao'suo'fang'yi
加常数,jia'chang'shu
坚盘指标差,jian'pan'zhi'biao'cha
校正针,jiao'zheng'zhen
接收二极管,jie'shou'er'ji'guan
接收机,jie'shou'ji
解析测图仪,jie'xi'ce'tu'yi
近程定位系统,jin'cheng'ding'wei'xi'tong
金属弹簧重力仪,jin'shu'tan'huang'zhong'li'yi
精密经纬仪,jing'mi'jing'wei'yi
精密立体测图仪,jing'mi'li'ti'ce'tu'yi
精密水准仪,jing'mi'shui'zhun'yi
经纬仪,jing'wei'yi
纠正仪,jiu'zheng'yi
绝对重力仪,jue'dui'zhong'li'yi
刻图仪,ke'tu'yi
矿山经纬仪,kuang'shan'jing'wei'yi
雷达测高仪,lei'da'ce'gao'yi
立体镜,li'ti'jing
立体判读仪,li'ti'pan'du'yi
立体坐标量测仪,li'ti'zuo'biao'liang'ce'yi
连续减光板,lian'xu'jian'guang'ban
六分仪,liu'fen'yi
鲁洛夫斯太阳棱镜,lu'luo'fu'si'tai'yang'leng'jing
罗兰,luo'lan
罗盘经纬仪,luo'pan'jing'wei'yi
罗盘仪,luo'pan'yi
滤光片,lv'guang'pian
脉冲激光器,mai'chong'ji'guang'qi
模拟立体测图仪,mo'ni'li'ti'ce'tu'yi
目标反射器,mu'biao'fan'she'qi
目视天顶仪,mu'shi'tian'ding'yi
判读仪,pan'du'yi
频率误差,pin'lv'wu'cha
平板仪,ping'ban'yi
平时钟,ping'shi'zhong
坡面经纬仪,po'mian'jing'wei'yi
浅底地层剖面仪,qian'di'di'ceng'pou'mian'yi
倾斜仪,qing'xie'yi
求积仪,qiu'ji'yi
全能经纬仪,quan'neng'jing'wei'yi
全站型电子速测仪,quan'zhan'xing'dian'zi'su'ce'yi
全站型光电速测经纬仪,quan'zhan'xing'guang'dian'su'ce'jing'wei'yi
三杆分度仪,san'gan'fen'du'yi
三角基座,san'jiao'ji'zuo
三脚架,san'jiao'jia
扫床测深仪,sao'chuang'ce'shen'yi
扫海具,sao'hai'ju
摄影经纬仪,she'ying'jing'wei'yi
伸缩仪,shen'suo'yi
视差,shi'cha
视距,shi'ju
