报关,bao'guan
仓库,cang'ku
尺寸,chi'cun
出场,chu'chang
储运,chu'yun
船名航次,chuan'ming'hang'ci
分唛,fen'mai
港口,gang'kou
集港,ji'gang
集装箱,ji'zhuang'xiang
集装箱箱号,ji'zhuang'xiang'xiang'hao
交货地,jiao'huo'di
截关,jie'guan
进出,jin'chu
款号,kuan'hao
类型,lei'xing
落空,luo'kong
免费期限,mian'fei'qi'xian
拍照,pai'zhao
铅封号,qian'feng'hao
清单,qing'dan
提单号,ti'dan'hao
外运,wai'yun
物流,wu'liu
卸港,xie'gang
运营人,yun'ying'ren
运载,yun'zai
装港,zhuang'gang
装箱,zhuang'xiang
