财金,cai'jin
城职,cheng'zhi
橙汁,cheng'zhi
大操场,da'cao'chang
地下铁,di'xia'tie
肥姨,fei'yi
孤岛,gu'dao
广东科学技术职业学院,guang'dong'ke'xue'ji'shu'zhi'ye'xue'yuan
广东省科技干部学院,guang'dong'sheng'ke'ji'gan'bu'xue'yuan
广科,guang'ke
红旗,hong'qi
回味园,hui'wei'yuan
机电,ji'dian
计算机,ji'suan'ji
建工,jian'gong
经管,jing'guan
科干,ke'gan
科干院,ke'gan'yuan
李娟,li'juan
李娟小吃店,li'juan'xiao'chi'dian
六饭,liu'fan
岐关车,qi'guan'che
情侣路,qing'lv'lu
区区,qu'qu
区区超市,qu'qu'chao'shi
人文,ren'wen
三四饭,san'si'fan
省科干,sheng'ke'gan
省科干学院,sheng'ke'gan'xue'yuan
体育系,ti'yu'xi
图书馆,tu'shu'guan
外国语,wai'guo'yu
外卖,wai'mai
五饭,wu'fan
新美味,xin'mei'wei
行政楼,xing'zheng'lou
一二饭,yi'er'fan
主校道,zhu'xiao'dao
