暗花,an'hua
百宝嵌,bai'bao'qian
拌灰头,ban'hui'tou
斒斓,ban'lan
斑漆,ban'qi
斑洒金,ban'sa'jin
半透明漆,ban'tou'ming'qi
斑文填漆,ban'wen'tian'qi
蚌盘,bang'pan
薄金,bao'jin
薄料色漆,bao'liao'se'qi
薄料髹涂,bao'liao'xiu'tu
薄银,bao'yin
北京出土元代螺钿残漆盘,bei'jing'chu'tu'yuan'dai'luo'dian'can'qi'pan
北京杨倭漆,bei'jing'yang'wo'qi
杯栳,bei'lao
桮栳,bei'lao
蓓蕾漆,bei'lei'qi
桮圈,bei'quan
北魏屏风漆画,bei'wei'ping'feng'qi'hua
背夏布,bei'xia'bu
柸油,bei'you
泌阳出土的秦代云纹圆漆盒,bi'yang'chu'tu'de'qin'dai'yun'wen'yuan'qi'he
蔽隐与渐灭,bi'yin'yu'jian'mie
变图,bian'tu
变涂,bian'tu
冰裂技法,bing'lie'ji'fa
玻璃漆,bo'li'qi
玻璃丝板胎,bo'li'si'ban'tai
菠萝漆,bo'luo'qi
波罗漆,bo'luo'qi
波沫技法,bo'mo'ji'fa
补敏,bu'min
布漆,bu'qi
布漆胎,bu'qi'tai
布心纸胎,bu'xin'zhi'tai
采勾金,cai'gou'jin
彩漆,cai'qi
苍苔技法,cang'tai'ji'fa
糙漆,cao'qi
蟾斑技法,chan'ban'ji'fa
铲敏,chan'min
长沙出土的战国漆盾,chang'sha'chu'tu'de'zhan'guo'qi'dun
长油清漆,chang'you'qing'qi
长治出土的春秋漆器残片,chang'zhi'chu'tu'de'chun'qiu'qi'qi'can'pian
常州出土的南宋剔犀执镜盒,chang'zhou'chu'tu'de'nan'song'ti'xi'zhi'jing'he
常州出土的宋代夹罗漆片,chang'zhou'chu'tu'de'song'dai'jia'luo'qi'pian
常州出土新石器时代的漆器,chang'zhou'chu'tu'xin'shi'qi'shi'dai'de'qi'qi
抄白漆,chao'bai'qi
车螯,che'ao
沉花,chen'hua
衬色甸嵌,chen'se'dian'qian
吃青,chi'qing
虫胶,chong'jiao
虫胶片,chong'jiao'pian
虫胶清漆,chong'jiao'qing'qi
出光,chu'guang
初漆,chu'qi
锤纹漆,chui'wen'qi
磁漆,ci'qi
瓷胎,ci'tai
磁胎,ci'tai
瓷胎雕漆,ci'tai'diao'qi
磁屑,ci'xie
磁性调和漆,ci'xing'tiao'he'qi
攒犀,cuan'xi
催干剂,cui'gan'ji
磋迹,cuo'ji
打埝,da'nian
大漆,da'qi
丹波技法,dan'bo'ji'fa
丹雘,dan'huo
蛋壳镶嵌,dan'ke'xiang'qian
单漆,dan'qi
单色髹涂,dan'se'xiu'tu
单素,dan'su
单油,dan'you
底漆,di'qi
垫光漆,dian'guang'qi
靛华,dian'hua
钿螺,dian'luo
点螺,dian'luo
甸嵌,dian'qian
甸镶嵌,dian'xiang'qian
雕彩漆,diao'cai'qi
雕刻填彩,diao'ke'tian'cai
雕漆,diao'qi
雕填,diao'tian
动物胶,dong'wu'jiao
冻子,dong'zi
冻子胎,dong'zi'tai
断纹,duan'wen
短油清漆,duan'you'qing'qi
堆彩,dui'cai
堆红,dui'hong
堆锦,dui'jin
堆起,dui'qi
堆漆,dui'qi
堆漆装饰法,dui'qi'zhuang'shi'fa
堆色雕漆,dui'se'diao'qi
鹅毛管,e'mao'guan
