岸壁式码头,an'bi'shi'ma'tou
岸防,an'fang
岸防兵,an'fang'bing
岸防兵部队,an'fang'bing'bu'dui
暗礁,an'jiao
岸炮,an'pao
安全深度,an'quan'shen'du
岸上目标,an'shang'mu'biao
岸上指挥所,an'shang'zhi'hui'suo
岸上重要目标,an'shang'zhong'yao'mu'biao
岸上重要设施,an'shang'zhong'yao'she'shi
靶雷,ba'lei
半潜,ban'qian
半潜状态,ban'qian'zhuang'tai
报务员,bao'wu'yuan
保障群,bao'zhang'qun
被动式,bei'dong'shi
被动式声纳,bei'dong'shi'sheng'na
编队,bian'dui
编队防御,bian'dui'fang'yu
编队攻击,bian'dui'gong'ji
编队航行,bian'dui'hang'xing
编队内部通信,bian'dui'nei'bu'tong'xin
编队训练,bian'dui'xun'lian
编队运动,bian'dui'yun'dong
编队运动规则,bian'dui'yun'dong'gui'ze
编队主力,bian'dui'zhu'li
编码通信,bian'ma'tong'xin
标准排水量,biao'zhun'pai'shui'liang
滨海港口,bin'hai'gang'kou
濒海翼侧,bin'hai'yi'ce
濒陆海区,bin'lu'hai'qu
兵力编组,bing'li'bian'zu
波次,bo'ci
波段,bo'duan
补给,bu'ji
补给淡水,bu'ji'dan'shui
补给点,bu'ji'dian
布雷,bu'lei
布雷计时点,bu'lei'ji'shi'dian
布雷舰,bu'lei'jian
舱室,cang'shi
侧壁式,ce'bi'shi
侧壁式气垫船,ce'bi'shi'qi'dian'chuan
测距,ce'ju
测量船,ce'liang'chuan
侧向,ce'xiang
长波,chang'bo
长波台,chang'bo'tai
长波通信,chang'bo'tong'xin
常规动力,chang'gui'dong'li
超长波,chao'chang'bo
超长波通信,chao'chang'bo'tong'xin
超声水压水雷,chao'sheng'shui'ya'shui'lei
沉船,chen'chuan
沉底雷,chen'di'lei
沉物,chen'wu
吃水,chi'shui
触发,chu'fa
触发水雷,chu'fa'shui'lei
触线,chu'xian
触线水雷,chu'xian'shui'lei
磁航向,ci'hang'xiang
磁力探测仪,ci'li'tan'ce'yi
次声,ci'sheng
磁探仪,ci'tan'yi
磁性水雷,ci'xing'shui'lei
大口径,da'kou'jing
打捞,da'lao
打捞救生船,da'lao'jiu'sheng'chuan
大陆架,da'lu'jia
大陆棚,da'lu'peng
待机点,dai'ji'dian
待机护航,dai'ji'hu'hang
单舰,dan'jian
单舰攻击,dan'jian'gong'ji
