背弹,bei'dan
背转,bei'zhuan
大地板,da'di'ban
大回环,da'hui'huan
大回环接风车,da'hui'huan'jie'feng'che
大回环接托马斯,da'hui'huan'jie'tuo'ma'si
单手倒立,dan'shou'dao'li
单手控腰,dan'shou'kong'yao
单手跳,dan'shou'tiao
倒立,dao'li
俄式挺身,e'shi'ting'shen
飞机撑,fei'ji'cheng
风车,feng'che
风车接大回环,feng'che'jie'da'hui'huan
风车接头转,feng'che'jie'tou'zhuan
风车接托马斯,feng'che'jie'tuo'ma'si
跪步,gui'bu
护腕,hu'wan
护膝,hu'xi
护肘,hu'zhou
控腰,kong'yao
鲤鱼打挺,li'yu'da'ting
六步,liu'bu
慢起手倒立,man'qi'shou'dao'li
耐克,nai'ke
跑步机,pao'bu'ji
三步,san'bu
三角倒立,san'jiao'dao'li
世界街舞大赛,shi'jie'jie'wu'da'sai
四步,si'bu
头顶撑,tou'ding'cheng
头转,tou'zhuan
头转接风车,tou'zhuan'jie'feng'che
头转接托马斯,tou'zhuan'jie'tuo'ma'si
头转帽,tou'zhuan'mao
托马斯,tuo'ma'si
托马斯接大回环,tuo'ma'si'jie'da'hui'huan
托马斯接风车,tuo'ma'si'jie'feng'che
托马斯接头转,tuo'ma'si'jie'tou'zhuan
五步,wu'bu
舞蹈房,wu'dao'fang
膝转,xi'zhuan
小地板,xiao'di'ban
折腰,zhe'yao
肘倒立,zhou'dao'li
肘转,zhou'zhuan
转腰,zhuan'yao
