阿拉伯货,a'la'bo'huo
阿渠,a'qu
阿媛,a'yuan
矮凳,ai'deng
安耽,an'dan
暗洞洞,an'dong'dong
暗兜,an'dou
暗黢黢,an'qu'qu
爊糕,ao'gao
爊汤,ao'tang
鏖糟,ao'zao
白蚁龙,bai'yi'long
扳手力,ban'shou'li
板砧,ban'zhen
鼻头,bi'tou
鼻头孔,bi'tou'kong
壁蟹,bi'xie
边厢,bian'xiang
布帐,bu'zhang
菜咸,cai'xian
草纸,cao'zhi
潮涨,chao'zhang
车路,che'lu
陈饭,chen'fan
赤股臀,chi'gu'tun
赤里脚,chi'li'jiao
重午日,chong'wu'ri
窗门,chuang'men
窗门布,chuang'men'bu
炊虾,chui'xia
打哈背,da'ha'bei
打悔心,da'hui'xin
大猫,da'mao
大舌,da'she
单百头,dan'bai'tou
单块头,dan'kuai'tou
荡口杯,dang'kou'bei
地宕,di'dang
癫人,dian'ren
栋柱,dong'zhu
兜兜,dou'dou
豆腐软,dou'fu'ruan
肚排骨,du'pai'gu
二三月,er'san'yue
饭里焦,fan'li'jiao
飞蟢老蠓,fei'xi'lao'meng
符号,fu'hao
蜉蚁,fu'yi
该日,gai'ri
隔壁邻舍,ge'bi'lin'she
咯鸡,ge'ji
给人,gei'ren
羹调,geng'tiao
佝背人,gou'bei'ren
姑姑,gu'gu
股臀,gu'tun
光生,guang'sheng
后半身,hou'ban'shen
骺背,hou'bei
猴犊儿,hou'du'er
后生儿,hou'sheng'er
黄昏,huang'hun
火萤光光,huo'ying'guang'guang
鸡咕仅,ji'gu'jin
鸡卵,ji'luan
鲫鱼板,ji'yu'ban
夹配,jia'pei
夹钳儿,jia'qian'er
家生货,jia'sheng'huo
家私,jia'si
肩胛头,jian'jia'tou
脚动骨,jiao'dong'gu
脚肚毛,jiao'du'mao
脚肚子,jiao'du'zi
脚胐头,jiao'fei'tou
绞剪,jiao'jian
脚丫弄,jiao'ya'nong
交椅,jiao'yi
庎厨,jie'chu
庎刀,jie'dao
街路,jie'lu
金瓜,jin'gua
妗娘儿,jin'niang'er
妗嬣,jin'ning
旧年,jiu'nian
九月日,jiu'yue'ri
口婪水,kou'lan'shui
口舌,kou'she
苦极,ku'ji
裤头儿,ku'tou'er
快怀,kuai'huai
快活,kuai'huo
拉扎下,la'zha'xia
烂污泥,lan'wu'ni
老安,lao'an
老媪,lao'ao
老菱,lao'ling
老嬣,lao'ning
老嬣客,lao'ning'ke
老蛇,lao'she
老鼠儿,lao'shu'er
老鼠黄儿,lao'shu'huang'er
老鼠皮翼,lao'shu'pi'yi
领喉,ling'hou
领夹儿,ling'jia'er
灵清,ling'qing
零琐,ling'suo
六月天,liu'yue'tian
聋朵,long'duo
路食,lu'shi
论场,lun'chang
落地生,luo'di'sheng
落瓜生,luo'gua'sheng
落火,luo'huo
懵讲,meng'jiang
面巾,mian'jin
面盂,mian'yu
明朝,ming'chao
瞙瞊,mo'dang
木头戏儿,mu'tou'xi'er
囡猪,nan'zhu
男子客,nan'zi'ke
闹热,nao're
娘娘,niang'niang
纽珠,niu'zhu
炮焰,pao'yan
配匼,pei'ke
朋友家,peng'you'jia
撇脚人,pie'jiao'ren
塀墙,ping'qiang
平台,ping'tai
前日,qian'ri
茄儿,qie'er
亲贵,qin'gui
亲眷,qin'juan
勤力,qin'li
青色,qing'se
清水,qing'shui
泅河儿,qiu'he'er
訄米丐儿,qiu'mi'gai'er
热起,re'qi
热头佛,re'tou'fo
人客,ren'ke
日里,ri'li
日前,ri'qian
日昼,ri'zhou
软冬冬,ruan'dong'dong
软柔,ruan'rou
纱面,sha'mian
善鱼,shan'yu
烧酒,shao'jiu
舍割,she'ge
蛇曲,she'qu
身体暖,shen'ti'nuan
生好,sheng'hao
生仁,sheng'ren
十二月,shi'er'yue
事干,shi'gan
师姑娘,shi'gu'niang
十块头,shi'kuai'tou
柿杷,shi'pa
石条,shi'tiao
事业,shi'ye
手节骨,shou'jie'gu
双生,shuang'sheng
水鞋,shui'xie
锁开,suo'kai
锁匙开,suo'shi'kai
踏脚车,ta'jiao'che
太阳佛,tai'yang'fo
糖霜,tang'shuang
田狗,tian'gou
天光,tian'guang
天罗瓜,tian'luo'gua
田爬,tian'pa
头颈,tou'jing
头颈领,tou'jing'ling
头皮涨,tou'pi'zhang
兔儿,tu'er
团鱼,tuan'yu
媠媢,tuo'mao
蚊虫,wen'chong
五块头,wu'kuai'tou
五十头,wu'shi'tou
五香,wu'xiang
屋灶间,wu'zao'jian
下半日,xia'ban'ri
虾蛄弹,xia'gu'dan
虾虮,xia'ji
嫌憎,xian'zeng
相打,xiang'da
相能,xiang'neng
小水凼,xiao'shui'dang
鞋拖,xie'tuo
心部头,xin'bu'tou
心头凼,xin'tou'dang
雪梨,xue'li
学堂,xue'tang
哑佬,ya'lao
鸭卵,ya'luan
肴菜,yao'cai
音静,yin'jing
硬绷绷,ying'beng'beng
蝤蠓,you'meng
有趣像,you'qu'xiang
媛闺儿,yuan'gui'er
圆卵卵,yuan'luan'luan
圆眼,yuan'yan
媛子儿,yuan'zi'er
月光,yue'guang
燥热,zao're
涨落,zhang'luo
蟑蜢,zhang'meng
着衣裳,zhe'yi'shang
猪栏,zhu'lan
转新,zhuan'xin
壮肭肭,zhuang'na'na
桌匼,zhuo'ke
着力,zhuo'li
自来火,zi'lai'huo
坐落,zuo'luo
