褒义,bao'yi
被动语态,bei'dong'yu'tai
比较级,bi'jiao'ji
贬义,bian'yi
标点符号,biao'dian'fu'hao
表语,biao'yu
表语从句,biao'yu'cong'ju
宾补,bin'bu
宾格,bin'ge
宾语,bin'yu
宾语从句,bin'yu'cong'ju
并列,bing'lie
并列复合句,bing'lie'fu'he'ju
并列句,bing'lie'ju
并列连词,bing'lie'lian'ci
不定代词,bu'ding'dai'ci
不定冠词,bu'ding'guan'ci
不定式,bu'ding'shi
不定式短语,bu'ding'shi'duan'yu
部分倒装,bu'fen'dao'zhuang
不规则动词,bu'gui'ze'dong'ci
不规则形式,bu'gui'ze'xing'shi
不及物动词,bu'ji'wu'dong'ci
不可数名词,bu'ke'shu'ming'ci
补语,bu'yu
层次,ceng'ci
插入成分,cha'ru'cheng'fen
插入语,cha'ru'yu
陈述句,chen'shu'ju
陈述语气,chen'shu'yu'qi
程度副词,cheng'du'fu'ci
重复,chong'fu
抽象名词,chou'xiang'ming'ci
词法,ci'fa
词根,ci'gen
词类,ci'lei
词性,ci'xing
词缀法,ci'zhui'fa
词组,ci'zu
从句,cong'ju
从属,cong'shu
从属句,cong'shu'ju
从属连词,cong'shu'lian'ci
存在句,cun'zai'ju
错综条件句,cuo'zong'tiao'jian'ju
代词,dai'ci
单纯词,dan'chun'ci
单词,dan'ci
单数形式,dan'shu'xing'shi
倒装,dao'zhuang
倒装语序,dao'zhuang'yu'xu
地点副词,di'dian'fu'ci
地点状语从句,di'dian'zhuang'yu'cong'ju
第二人称,di'er'ren'cheng
第三人称,di'san'ren'cheng
第一人称,di'yi'ren'cheng
定冠词,ding'guan'ci
定语,ding'yu
定语从句,ding'yu'cong'ju
动词,dong'ci
动词的主要形式,dong'ci'de'zhu'yao'xing'shi
动词短语,dong'ci'duan'yu
动名词,dong'ming'ci
动态动词,dong'tai'dong'ci
逗号,dou'hao
独立成分,du'li'cheng'fen
独立结构,du'li'jie'gou
短语,duan'yu
短语动词,duan'yu'dong'ci
反身代词,fan'shen'dai'ci
反义词,fan'yi'ci
反义疑问句,fan'yi'yi'wen'ju
反意疑问句,fan'yi'yi'wen'ju
方式副词,fang'shi'fu'ci
方式状语从句,fang'shi'zhuang'yu'cong'ju
非限定动词,fei'xian'ding'dong'ci
非限制,fei'xian'zhi
非真实条件状语从句,fei'zhen'shi'tiao'jian'zhuang'yu'cong'ju
非正式文体,fei'zheng'shi'wen'ti
分词,fen'ci
分词短语,fen'ci'duan'yu
分号,fen'hao
分数词,fen'shu'ci
分数数词,fen'shu'shu'ci
讽刺,feng'ci
否定,fou'ding
否定范围,fou'ding'fan'wei
否定句,fou'ding'ju
副词,fu'ci
复合宾语,fu'he'bin'yu
复合词,fu'he'ci
复合句,fu'he'ju
复合谓语,fu'he'wei'yu
附加成分,fu'jia'cheng'fen
附加疑问句,fu'jia'yi'wen'ju
复数形式,fu'shu'xing'shi
概念一致,gai'nian'yi'zhi
感官动词,gan'guan'dong'ci
感情色彩,gan'qing'se'cai
感叹词,gan'tan'ci
感叹号,gan'tan'hao
感叹句,gan'tan'ju
感叹疑问句,gan'tan'yi'wen'ju
个体名词,ge'ti'ming'ci
构词法,gou'ci'fa
冠词,guan'ci
关系代词,guan'xi'dai'ci
关系副词,guan'xi'fu'ci
规则动词,gui'ze'dong'ci
规则形式,gui'ze'xing'shi
过去分词,guo'qu'fen'ci
过去将来进行时,guo'qu'jiang'lai'jin'xing'shi
过去将来时,guo'qu'jiang'lai'shi
过去将来完成时,guo'qu'jiang'lai'wan'cheng'shi
过去进行时,guo'qu'jin'xing'shi
过去完成进行时,guo'qu'wan'cheng'jin'xing'shi
过去完成时,guo'qu'wan'cheng'shi
过去形式,guo'qu'xing'shi
含蓄条件句,han'xu'tiao'jian'ju
合成法,he'cheng'fa
后置修饰,hou'zhi'xiu'shi
