挨抗,ai'kang
挨码子,ai'ma'zi
挨门头,ai'men'tou
挨头,ai'tou
俺流水,an'liu'shui
巴水,ba'shui
绊了一告,ban'le'yi'gao
差火,cha'huo
扯谈,che'tan
哒错了,da'cuo'le
打落了,da'luo'le
逮饭,dai'fan
带厌,dai'yan
等哈子,deng'ha'zi
颠子,dian'zi
二盘,er'pan
嘎公,ga'gong
嘎卵,ga'luan
嘎卵哒,ga'luan'da
噶婆,ga'po
港鬼话,gang'gui'hua
告花子,gao'hua'zi
搞莫,gao'mo
搞莫得,gao'mo'de
搞莫子,gao'mo'zi
搞莫子得,gao'mo'zi'de
个进,ge'jin
哈德搞,ha'de'gao
哈拱,ha'gong
哈蛮,ha'man
哈是,ha'shi
好哈,hao'ha
好降,hao'jiang
好卵弹,hao'luan'dan
好雀,hao'que
好神搞,hao'shen'gao
黑错了,hei'cuo'le
夹卵滚,jia'luan'gun
讲根,jiang'gen
开一哈,kai'yi'ha
克蚂,ke'ma
克齐头,ke'qi'tou
辣塌,la'ta
烂儿,lan'er
郎场,lang'chang
朗门,lang'men
老巴斯,lao'ba'si
捞错他,lao'cuo'ta
老火,lao'huo
老麻,lao'ma
老头儿,lao'tou'er
了啦,le'la
蚂娘儿子,ma'niang'er'zi
茅厕,mao'ce
米的哈数,mi'de'ha'shu
米懂坨,mi'dong'tuo
那硬是,na'ying'shi
帕子,pa'zi
派赖,pai'lai
婆婆客,po'po'ke
七多了,qi'duo'le
日牛,ri'niu
如麻,ru'ma
是哩,shi'li
讨嫌,tao'xian
坨子,tuo'zi
屋里人,wu'li'ren
无罗头,wu'luo'tou
嫌脸,xian'lian
闲脸,xian'lian
一哈,yi'ha
圆坨坨,yuan'tuo'tuo
照尼,zhao'ni
着了,zhe'le
正二八经地,zheng'er'ba'jing'di
装苕,zhuang'shao
啄不得,zhuo'bu'de
自噶,zi'ga
