艾官,ai'guan
凹晶馆,ao'jing'guan
凹晶馆联诗悲寂寞,ao'jing'guan'lian'shi'bei'ji'mo
掰谎记,bai'huang'ji
白玉钏,bai'yu'chuan
白玉钏亲尝莲叶羹,bai'yu'chuan'qin'chang'lian'ye'geng
板儿,ban'er
班姑,ban'gu
伴鹤,ban'he
宝钗,bao'chai
宝钗借扇机带双敲,bao'chai'jie'shan'ji'dai'shuang'qiao
宝钗扑蝶,bao'chai'pu'die
宝蟾,bao'chan
鲍二,bao'er
鲍二家的,bao'er'jia'de
鲍二媳妇,bao'er'xi'fu
宝二爷,bao'er'ye
宝官,bao'guan
宝琴,bao'qin
抱琴,bao'qin
鲍音,bao'yin
包勇,bao'yong
宝玉,bao'yu
宝珠,bao'zhu
北静郡王,bei'jing'jun'wang
北静王,bei'jing'wang
北静王妃,bei'jing'wang'fei
北静王府,bei'jing'wang'fu
北静王水溶,bei'jing'wang'shui'rong
焙茗,bei'ming
悲远嫁宝玉感离情,bei'yuan'jia'bao'yu'gan'li'qing
笔锭如意,bi'ding'ru'yi
碧痕,bi'hen
碧粳粥,bi'jing'zhou
薜荔藤萝,bi'li'teng'luo
碧纱橱,bi'sha'chu
比通灵金莺微露意,bi'tong'ling'jin'ying'wei'lou'yi
碧月,bi'yue
变生不测凤姐泼醋,bian'sheng'bu'ce'feng'jie'po'cu
病神瑛泪洒相思地,bing'shen'ying'lei'sa'xiang'si'di
病潇湘痴魂惊恶梦,bing'xiao'xiang'chi'hun'jing'e'meng
玻璃,bo'li
薄命女偏逢薄命郎,bo'ming'nv'pian'feng'bo'ming'lang
博庭欢宝玉赞孤儿,bo'ting'huan'bao'yu'zan'gu'er
跛足道人,bo'zu'dao'ren
卜固修,bu'gu'xiu
不了情暂撮土为香,bu'liao'qing'zan'cuo'tu'wei'xiang
卜氏,bu'shi
卜世仁,bu'shi'ren
不肖种种大承笞挞,bu'xiao'zhong'zhong'da'cheng'chi'ta
布疑阵宝玉妄谈禅,bu'yi'zhen'bao'yu'wang'tan'chan
彩儿,cai'er
彩儿娘,cai'er'niang
彩凤,cai'feng
彩哥,cai'ge
彩鸾,cai'luan
彩明,cai'ming
彩屏,cai'ping
彩霞,cai'xia
彩云,cai'yun
才子佳人,cai'zi'jia'ren
草蛇灰线,cao'she'hui'xian
曹雪芹,cao'xue'qin
侧批,ce'pi
茝兰,chai'lan
忏宿冤凤姐托村妪,chan'su'yuan'feng'jie'tuo'cun'yu
长安都中,chang'an'dou'zhong
炒豆儿,chao'dou'er
