俺嗒的,an'da'de
俺爹,an'die
俺妈,an'ma
俺奶,an'nai
俺外爹,an'wai'die
俺外奶,an'wai'nai
八梗子,ba'geng'zi
板的了,ban'de'le
逼打胡话,bi'da'hu'hua
表森子,biao'sen'zi
猜猜着,cai'cai'zhe
藏蒙蒙,cang'meng'meng
叉个,cha'ge
吃约,chi'yue
刺挠,ci'nao
大芦棒子,da'lu'bang'zi
大芦摄,da'lu'she
大掀,da'xian
刀吃刀旧,dao'chi'dao'jiu
倒赌子,dao'du'zi
捣牢食,dao'lao'shi
吊能,diao'neng
豆革子,dou'ge'zi
分疙子,fen'ge'zi
分鸽子,fen'ge'zi
粪机,fen'ji
锅盖子,guo'gai'zi
海的了,hai'de'le
号意地,hao'yi'di
黑海的了,hei'hai'de'le
胡扯,hu'che
胡吊扯,hu'diao'che
假马六离,jia'ma'liu'li
假滋,jia'zi
将才,jiang'cai
角搭车子,jiao'da'che'zi
焦壳,jiao'ke
精八,jing'ba
侃空,kan'kong
砍空,kan'kong
磕头溜子,ke'tou'liu'zi
苦咸地,ku'xian'di
癞鼓子,lai'gu'zi
老逼老吊,lao'bi'lao'diao
捞不到,lao'bu'dao
涝害,lao'hai
老马么,lao'ma'me
老猫及子,lao'mao'ji'zi
老头子,lao'tou'zi
撂好了,liao'hao'le
六噎子,liu'ye'zi
路滚子,lu'gun'zi
马蜻蜓,ma'qing'ting
茅次缸,mao'ci'gang
毛疙子,mao'ge'zi
冒急子,mao'ji'zi
么特车,me'te'che
摸摸了,mo'mo'le
木先,mu'xian
拿急,na'ji
拧嘎嘎,ning'ga'ga
螃海,pang'hai
铅疙子,qian'ge'zi
呛强,qiang'qiang
瞧病,qiao'bing
锹奇嘛,qiao'qi'ma
青蛙,qing'wa
日歹,ri'dai
日厌,ri'yan
篸人,sen'ren
上该,shang'gai
晌新着,shang'xin'zhuo
烧锅,shao'guo
手扶子,shou'fu'zi
手捏子,shou'nie'zi
手指盖子,shou'zhi'gai'zi
泗洪,si'hong
太影,tai'ying
堂灰,tang'hui
疼囔子,teng'nang'zi
条把,tiao'ba
土疙得,tu'ge'de
土磕了,tu'ke'le
脱人,tuo'ren
晚新着,wan'xin'zhuo
我地各亲乖,wo'di'ge'qin'guai
乌漆吗姑,wu'qi'ma'gu
瞎吊操,xia'diao'cao
瞎合子,xia'he'zi
下湖,xia'hu
小奔,xiao'ben
小大姐,xiao'da'jie
小芦摄,xiao'lu'she
小魅,xiao'mei
小年幼,xiao'nian'you
写酒,xie'jiu
熊囊的,xiong'nang'de
熊人,xiong'ren
宣超地,xuan'chao'di
洋瓦子,yang'wa'zi
意了嘛增地,yi'le'ma'zeng'di
有年人,you'nian'ren
约十,yue'shi
早新着,zao'xin'zhuo
渣不朗腿,zha'bu'lang'tui
拽灯,zhuai'deng
攥人,zuan'ren
撮子,zuo'zi
