白环俞穴,bai'huan'yu'xue
百会穴,bai'hui'xue
胞肓穴,bao'huang'xue
本神穴,ben'shen'xue
髀关穴,bi'guan'xue
臂臑穴,bi'nao'xue
秉风穴,bing'feng'xue
步廊穴,bu'lang'xue
不容穴,bu'rong'xue
长强穴,chang'qiang'xue
承扶穴,cheng'fu'xue
承光穴,cheng'guang'xue
承浆穴,cheng'jiang'xue
承筋穴,cheng'jin'xue
承灵穴,cheng'ling'xue
承满穴,cheng'man'xue
承泣穴,cheng'qi'xue
承山穴,cheng'shan'xue
瘛脉穴,chi'mai'xue
尺泽穴,chi'ze'xue
冲门穴,chong'men'xue
冲阳穴,chong'yang'xue
攒竹穴,cuan'zhu'xue
大包穴,da'bao'xue
大肠俞穴,da'chang'shu'xue
大都穴,da'dou'xue
大敦穴,da'dun'xue
大赫穴,da'he'xue
大横穴,da'heng'xue
大巨穴,da'ju'xue
大陵穴,da'ling'xue
大迎穴,da'ying'xue
大钟穴,da'zhong'xue
大柱穴,da'zhu'xue
大椎穴,da'zhui'xue
带脉穴,dai'mai'xue
胆俞穴,dan'shu'xue
膻中穴,dan'zhong'xue
地仓穴,di'cang'xue
地机穴,di'ji'xue
地五会穴,di'wu'hui'xue
犊鼻穴,du'bi'xue
督俞穴,du'shu'xue
兑端穴,dui'duan'xue
二间穴,er'jian'xue
肺俞穴,fei'shu'xue
飞扬穴,fei'yang'xue
风池穴,feng'chi'xue
风府穴,feng'fu'xue
丰隆穴,feng'long'xue
风门穴,feng'men'xue
风市穴,feng'shi'xue
腹哀穴,fu'ai'xue
浮白穴,fu'bai'xue
附分穴,fu'fen'xue
腹结穴,fu'jie'xue
复溜穴,fu'liu'xue
府舍穴,fu'she'xue
腹通谷穴,fu'tong'gu'xue
伏兔穴,fu'tu'xue
浮郄穴,fu'xi'xue
跗阳穴,fu'yang'xue
肝俞穴,gan'shu'xue
膏肓穴,gao'huang'xue
膈关穴,ge'guan'xue
膈俞穴,ge'yu'xue
公孙穴,gong'sun'xue
关冲穴,guan'chong'xue
关门穴,guan'men'xue
关元穴,guan'yuan'xue
关元俞穴,guan'yuan'yu'xue
光明穴,guang'ming'xue
归来穴,gui'lai'xue
颔厌穴,han'yan'xue
行间穴,hang'jian'xue
合谷穴,he'gu'xue
合阳穴,he'yang'xue
横骨穴,heng'gu'xue
后顶穴,hou'ding'xue
后溪穴,hou'xi'xue
华盖穴,hua'gai'xue
滑肉门穴,hua'rou'men'xue
环跳穴,huan'tiao'xue
肓门穴,huang'men'xue
肓俞穴,huang'yu'xue
会阳穴,hui'yang'xue
会阴穴,hui'yin'xue
会宗穴,hui'zong'xue
魂门穴,hun'men'xue
急脉穴,ji'mai'xue
箕门穴,ji'men'xue
极泉穴,ji'quan'xue
脊中穴,ji'zhong'xue
颊车穴,jia'che'xue
肩井穴,jian'jing'xue
建里穴,jian'li'xue
