八成火儿,ba'cheng'huo'er
百不杂滴,bai'bu'za'di
百不咋儿,bai'bu'za'er
白不崽儿滴,bai'bu'zai'er'di
板床儿,ban'chuang'er
棒棒儿,bang'bang'er
棒棒介子,bang'bang'jie'zi
棒槌,bang'chui
锛扎木子,ben'zha'mu'zi
蹦蹦车,beng'beng'che
比兜,bi'dou
表说俩,biao'shuo'lia
憋老,bie'lao
冰凌,bing'ling
波拉盖儿,bo'la'gai'er
波忒盖儿,bo'tei'gai'er
钵碗,bo'wan
脖子乖,bo'zi'guai
不草鸡,bu'cao'ji
不得,bu'de
不得劲儿,bu'de'jin'er
不嘎咕,bu'ga'gu
不好咧,bu'hao'lie
不赖呆,bu'lai'dai
菜包子,cai'bao'zi
草鸡,cao'ji
槽子糕,cao'zi'gao
长虫,chang'chong
长果,chang'guo
昌果,chang'guo
抄地,chao'di
嗔着,chen'zhe
吃马虎,chi'ma'hu
吃每每,chi'mei'mei
臭蛋儿,chou'dan'er
臭闺儿,chou'gui'er
揣皮,chuai'pi
戳着,chuo'zhe
呲呀,ci'ya
凑是,cou'shi
撺缀,cuan'zhui
打几把掌,da'ji'ba'zhang
大马脚指头,da'ma'jiao'zhi'tou
打早起,da'zao'qi
打澡起,da'zao'qi
打澡洗,da'zao'xi
单裤,dan'ku
当钱儿,dang'qian'er
得老,de'lao
电棒儿,dian'bang'er
督你,du'ni
盹俩,dun'lia
吨台,dun'tai
放豪,fang'hao
干蛋两,gan'dan'liang
干但强,gan'dan'qiang
干吗起来爱,gan'ma'qi'lai'ai
钢蹦儿,gang'beng'er
钢盾儿,gang'dun'er
圪堆儿,ge'dui'er
隔老儿,ge'lao'er
哥老儿,ge'lao'er
各泥,ge'ni
隔夜,ge'ye
革夜,ge'ye
咯吱窝,ge'zhi'wo
狗蚤,gou'zao
股得下,gu'dei'xia
故动,gu'dong
咕能,gu'neng
褂褂儿,gua'gua'er
呱呱有,gua'gua'you
海拉巴子,hai'la'ba'zi
河蟆,he'ma
河蟆蝌台儿,he'ma'ke'tai'er
黑家饭,hei'jia'fan
黑介,hei'jie
黑七妈呼,hei'qi'ma'hu
哼自是,heng'zi'shi
后儿,hou'er
后晌,hou'shang
后晌和儿老,hou'shang'he'er'lao
后晌黑叨,hou'shang'hei'dao
花哩,hua'li
几酿,ji'niang
家雀儿,jia'qiao'er
家巧儿,jia'qiao'er
家瞧味儿,jia'qiao'wei'er
尖头,jian'tou
脚核桃,jiao'he'tao
结记,jie'ji
今儿个,jin'er'ge
今儿么,jin'er'me
卷子,juan'zi
柯碜,ke'chen
可惜了儿滴,ke'xi'le'er'di
裤衩子,ku'cha'zi
啷人,lang'ren
老爷儿,lao'ye'er
拢子,long'zi
落道,luo'dao
驴驹儿,lv'ju'er
驴军儿,lv'jun'er
蚂螂,ma'lang
蚂啷,ma'lang
麻堂,ma'tang
麻糖,ma'tang
麻衣雀,ma'yi'que
蚂蚱,ma'zha
埋汰,mai'tai
茅子,mao'zi
煤渣子,mei'zha'zi
蒙星,meng'xing
米蛘,mi'yang
米羊,mi'yang
面条味儿,mian'tiao'wei'er
馍馍,mo'mo
那咱,na'zan
能汰,neng'tai
你得老起吧,ni'dei'lao'qi'ba
泥先,ni'xian
你真操蛋,ni'zhen'cao'dan
娘儿们,niang'er'men
拧咕儿卷子,ning'gu'er'juan'zi
排场,pai'chang
炮弹荒子,pao'dan'huang'zi
气哪儿也,qi'na'er'ye
前日个,qian'ri'ge
前日个儿,qian'ri'ge'er
前晌,qian'shang
敲他,qiao'ta
取灯儿,qu'deng'er
日头儿,ri'tou'er
入暂,ru'zan
三崩子,san'beng'zi
三马子,san'ma'zi
三十黑家,san'shi'hei'jia
色药,se'yao
晌火,shang'huo
晌午饭,shang'wu'fan
上小,shang'xiao
捎呼,shao'hu
哨空儿,shao'kong'er
使的慌,shi'de'huang
食箩,shi'luo
手巴掌,shou'ba'zhang
手巴掌儿,shou'ba'zhang'er
说俩,shuo'lia
素珍儿,su'zhen'er
素之儿,su'zhi'er
素织儿,su'zhi'er
尿泡,sui'pao
踏拉扳子,ta'la'ban'zi
啼唬,ti'hu
甜属节,tian'shu'jie
挑担儿,tiao'dan'er
铁铅,tie'qian
停着,ting'zhe
土坷拉,tu'ke'la
秃老官子,tu'lao'guan'zi
吐面,tu'mian
徒面,tu'mian
望指莲,wang'zhi'lian
围脖,wei'bo
喂儿啦车,wei'er'la'che
我刺儿溜,wo'ci'er'liu
屋里地下,wu'li'di'xia
杌子,wu'zi
吸铁石,xi'tie'shi
戏匣子,xi'xia'zi
夏阶,xia'jie
瞎虻,xia'meng
下作子,xia'zuo'zi
县饼,xian'bing
小蛋子儿,xiao'dan'zi'er
晓的,xiao'de
晓哩俩,xiao'li'lia
小炮弹荒子,xiao'pao'dan'huang'zi
小手巾儿,xiao'shou'jin'er
鞋科楼,xie'ke'lou
邪俩,xie'lia
歇摸,xie'mo
旋风,xuan'feng
血化,xue'hua
洋火,yang'huo
窑洞,yao'dong
夜班儿虎,ye'ban'er'hu
夜班胡,ye'ban'hu
夜老个儿,ye'lao'ge'er
页了盖儿,ye'le'gai'er
夜了个儿,ye'le'ge'er
一圪堆儿,yi'ge'dui'er
一畔子,yi'pan'zi
胰子,yi'zi
油龙,you'long
圆珠杯,yuan'zhu'bei
熨贴,yun'tie
早起饭,zao'qi'fan
早起来,zao'qi'lai
炸庙,zha'miao
占百,zhan'bai
展布,zhan'bu
长有果,zhang'you'guo
这咱,zhe'zan
针金,zhen'jin
争竞,zheng'jing
知不道,zhi'bu'dao
柱儿,zhu'er
庄户,zhuang'hu
滋儿,zi'er
自个,zi'ge
走角儿,zou'jue'er
