八七路,ba'qi'lu
八七路东段,ba'qi'lu'dong'duan
百灵街,bai'ling'jie
宝岛路,bao'dao'lu
宝岛中路,bao'dao'zhong'lu
宝盖镇,bao'gai'zhen
宝源居委会,bao'yuan'ju'wei'hui
北环路,bei'huan'lu
柄新,bing'xin
菜妈路,cai'ma'lu
曾坑社区,ceng'keng'she'qu
常春路,chang'chun'lu
长福路,chang'fu'lu
长福社区,chang'fu'she'qu
长辉路,chang'hui'lu
长林东路,chang'lin'dong'lu
长林路,chang'lin'lu
长林西路,chang'lin'xi'lu
长林中路,chang'lin'zhong'lu
长荣巷,chang'rong'xiang
长银路,chang'yin'lu
钞坑,chao'keng
赤湖,chi'hu
厝上,cuo'shang
厝仔,cuo'zi
大堡,da'bao
大仑社区,da'lun'she'qu
大厦,da'sha
东垵,dong'an
东昌路,dong'chang'lu
东村社区,dong'cun'she'qu
东店,dong'dian
东港路,dong'gang'lu
东晖巷,dong'hui'xiang
东林北路,dong'lin'bei'lu
东林巷,dong'lin'xiang
东埔二,dong'pu'er
东埔三,dong'pu'san
东埔一,dong'pu'yi
东山路,dong'shan'lu
东昇路,dong'sheng'lu
东祥路,dong'xiang'lu
东兴路,dong'xing'lu
东星路,dong'xing'lu
东园,dong'yuan
端扬巷,duan'yang'xiang
方长路,fang'chang'lu
奋进巷,fen'jin'xiang
凤里街道,feng'li'jie'dao
凤仪街,feng'yi'jie
富贵路,fu'gui'lu
福禾路,fu'he'lu
福辉路,fu'hui'lu
福建省出入境检验检疫局石狮办事处,fu'jian'sheng'chu'ru'jing'jian'yan'jian'yi'ju'shi'shi'ban'shi'chu
富林路,fu'lin'lu
福林路,fu'lin'lu
福祥路,fu'xiang'lu
福新路,fu'xin'lu
杆头,gan'tou
港边,gang'bian
港南路,gang'nan'lu
港前,gang'qian
港塘,gang'tang
高新路,gao'xin'lu
高照路,gao'zhao'lu
工商银行石狮市支行,gong'shang'yin'hang'shi'shi'shi'zhi'hang
公务大厦,gong'wu'da'sha
古浮,gu'fu
古山,gu'shan
郭厝,guo'cuo
国光路,guo'guang'lu
郭坑,guo'keng
果蔬路,guo'shu'lu
国泰路,guo'tai'lu
国兴路,guo'xing'lu
郭宅,guo'zhai
蚶江,han'jiang
蚶江镇,han'jiang'zhen
濠江路,hao'jiang'lu
洪厝,hong'cuo
洪窟,hong'ku
红日路,hong'ri'lu
鸿山镇,hong'shan'zhen
后垵,hou'an
厚德巷,hou'de'xiang
后杆,hou'gan
后湖,hou'hu
后花社区,hou'hua'she'qu
后宅,hou'zhai
湖边社区,hu'bian'she'qu
湖滨街道,hu'bin'jie'dao
湖厝,hu'cuo
湖东路,hu'dong'lu
湖东三路,hu'dong'san'lu
湖东中路,hu'dong'zhong'lu
湖光路,hu'guang'lu
湖光巷,hu'guang'xiang
湖青路,hu'qing'lu
湖西,hu'xi
湖兴路,hu'xing'lu
华安路,hua'an'lu
华林路,hua'lin'lu
华仑社区,hua'lun'she'qu
华南社区,hua'nan'she'qu
华山,hua'shan
花园城社区,hua'yuan'cheng'she'qu
花园二巷,hua'yuan'er'xiang
花园路,hua'yuan'lu
花园一巷,hua'yuan'yi'xiang
辉濠路,hui'hao'lu
嘉福路,jia'fu'lu
佳和街,jia'he'jie
嘉禄路,jia'lu'lu
嘉兴路,jia'xing'lu
金达路,jin'da'lu
金埭,jin'dai
金华巷,jin'hua'xiang
锦江,jin'jiang
锦里,jin'li
金林社区,jin'lin'she'qu
金蓉巷,jin'rong'xiang
锦尚,jin'shang
锦尚镇,jin'shang'zhen
金树巷,jin'shu'xiang
锦田街,jin'tian'jie
锦亭,jin'ting
金相路,jin'xiang'lu
九二东路,jiu'er'dong'lu
九二路,jiu'er'lu
坑东,keng'dong
宽仁社区,kuan'ren'she'qu
莲坂,lian'ban
莲厝,lian'cuo
莲东,lian'dong
莲塘,lian'tang
莲西,lian'xi
莲中,lian'zhong
林边社区,lin'bian'she'qu
灵峰,ling'feng
灵山,ling'shan
灵狮,ling'shi
灵秀镇,ling'xiu'zhen
龙华社区,long'hua'she'qu
隆兴路,long'xing'lu
龙穴,long'xue
卢厝,lu'cuo
仑后,lun'hou
茂林南路,mao'lin'nan'lu
茂厦,mao'xia
梅林,mei'lin
民生路,min'sheng'lu
南环路,nan'huan'lu
南洋路,nan'yang'lu
农贸路,nong'mao'lu
农业银行石狮市支行,nong'ye'yin'hang'shi'shi'shi'zhi'hang
彭田,peng'tian
飘香路,piao'xiang'lu
