安胜乡,an'sheng'xiang
柏家镇,bai'jia'zhen
碧山镇,bi'shan'zhen
城北乡,cheng'bei'xiang
城东乡,cheng'dong'xiang
大观镇,da'guan'zhen
福禄镇,fu'lu'zhen
复平乡,fu'ping'xiang
和林镇,he'lin'zhen
合兴镇,he'xing'zhen
虎城镇,hu'cheng'zhen
回龙镇,hui'long'zhen
金带镇,jin'dai'zhen
聚奎镇,ju'kui'zhen
礼让镇,li'rang'zhen
梁山镇,liang'shan'zhen
龙门镇,long'men'zhen
龙胜乡,long'sheng'xiang
明达镇,ming'da'zhen
蟠龙镇,pan'long'zhen
屏锦镇,ping'jin'zhen
七星镇,qi'xing'zhen
曲水乡,qu'shui'xiang
仁贤镇,ren'xian'zhen
石安镇,shi'an'zhen
铁门乡,tie'men'xiang
文化镇,wen'hua'zhen
新盛镇,xin'sheng'zhen
荫平镇,yin'ping'zhen
袁驿镇,yuan'yi'zhen
云龙镇,yun'long'zhen
竹山镇,zhu'shan'zhen
紫照乡,zi'zhao'xiang
