百福超市,bai'fu'chao'shi
百货大楼,bai'huo'da'lou
办公楼,ban'gong'lou
保险公司,bao'xian'gong'si
北旺庄,bei'wang'zhuang
北邢家河村,bei'xing'jia'he'cun
碧源小区,bi'yuan'xiao'qu
宾都购物,bin'dou'gou'wu
渤海湾,bo'hai'wan
曹沙会,cao'sha'hui
车管所,che'guan'suo
城关乡,cheng'guan'xiang
城区地税,cheng'qu'di'shui
城区五中,cheng'qu'wu'zhong
大新站,da'xin'zhan
地税,di'shui
电力小区,dian'li'xiao'qu
丁字路,ding'zi'lu
东苑小区,dong'yuan'xiao'qu
二电厂,er'dian'chang
二水厂,er'shui'chang
二小,er'xiao
耿庄,geng'zhuang
耿庄路口,geng'zhuang'lu'kou
公路局,gong'lu'ju
广场,guang'chang
豪德,hao'de
豪德广场,hao'de'guang'chang
和丽园小区,he'li'yuan'xiao'qu
和丽园小区北,he'li'yuan'xiao'qu'bei
胡家窑村,hu'jia'yao'cun
华兴文化广场,hua'xing'wen'hua'guang'chang
火车站,huo'che'zhan
佳和枫景花园,jia'he'feng'jing'hua'yuan
建行,jian'hang
交通小区,jiao'tong'xiao'qu
金沙园,jin'sha'yuan
金沙植物园,jin'sha'zhi'wu'yuan
军分区,jun'fen'qu
军苑小区,jun'yuan'xiao'qu
开发路北端,kai'fa'lu'bei'duan
开发区办公楼,kai'fa'qu'ban'gong'lou
开发区公安局,kai'fa'qu'gong'an'ju
客运北站,ke'yun'bei'zhan
矿业小区,kuang'ye'xiao'qu
李家河村,li'jia'he'cun
六完小,liu'wan'xiao
龙泉,long'quan
马邑小区,ma'yi'xiao'qu
美联购物中心,mei'lian'gou'wu'zhong'xin
民福小区,min'fu'xiao'qu
民福中学,min'fu'zhong'xue
民政局,min'zheng'ju
木寨,mu'zhai
木寨新村,mu'zhai'xin'cun
南关,nan'guan
南关小康村,nan'guan'xiao'kang'cun
南关小区,nan'guan'xiao'qu
南门口,nan'men'kou
南邢家河,nan'xing'jia'he
农校,nong'xiao
平朔宾馆,ping'shuo'bin'guan
平朔二区,ping'shuo'er'qu
平朔生活小区东门,ping'shuo'sheng'huo'xiao'qu'dong'men
平朔小区,ping'shuo'xiao'qu
平朔医院,ping'shuo'yi'yuan
汽车客运北站,qi'che'ke'yun'bei'zhan
桥头,qiao'tou
区二中,qu'er'zhong
区公安局,qu'gong'an'ju
区六中,qu'liu'zhong
区农行,qu'nong'hang
人口大楼,ren'kou'da'lou
人民医院,ren'min'yi'yuan
人事局,ren'shi'ju
三医院,san'yi'yuan
三中,san'zhong
上地嘉园,shang'di'jia'yuan
商贸城,shang'mao'cheng
神头电厂,shen'tou'dian'chang
市二中,shi'er'zhong
市二中南门,shi'er'zhong'nan'men
师范大学,shi'fan'da'xue
市府街东口,shi'fu'jie'dong'kou
市府街西口,shi'fu'jie'xi'kou
世纪星城,shi'ji'xing'cheng
市委党校,shi'wei'dang'xiao
市委家属院,shi'wei'jia'shu'yuan
市一中,shi'yi'zhong
市一中家属院,shi'yi'zhong'jia'shu'yuan
市政府,shi'zheng'fu
市政府家属院,shi'zheng'fu'jia'shu'yuan
双良驾校,shuang'liang'jia'xiao
炭素厂,tan'su'chang
体育场,ti'yu'chang
体育广场,ti'yu'guang'chang
田家窑村,tian'jia'yao'cun
天燃气,tian'ran'qi
天然气加气站,tian'ran'qi'jia'qi'zhan
停车场,ting'che'chang
万通小区,wan'tong'xiao'qu
万通源,wan'tong'yuan
网通小区,wang'tong'xiao'qu
卫生大楼,wei'sheng'da'lou
文化活动中心,wen'hua'huo'dong'zhong'xin
污水处理厂,wu'shui'chu'li'chang
西门口,xi'men'kou
下团堡乡政府,xia'tuan'bao'xiang'zheng'fu
新兴服务大楼,xin'xing'fu'wu'da'lou
新星学校,xin'xing'xue'xiao
新杨涧,xin'yang'jian
馨园小区,xin'yuan'xiao'qu
旭日学校路口,xu'ri'xue'xiao'lu'kou
亚麻厂,ya'ma'chang
雅秀园,ya'xiu'yuan
烟草,yan'cao
盐业公司,yan'ye'gong'si
养老院,yang'lao'yuan
邮电大楼,you'dian'da'lou
玉百商贸,yu'bai'shang'mao
玉百商厦,yu'bai'shang'sha
照什八庄村,zhao'shen'ba'zhuang'cun
中心医院,zhong'xin'yi'yuan
祝家庄,zhu'jia'zhuang
综合商场,zong'he'shang'chang
综合商厦,zong'he'shang'sha
