俺到,an'dao
霸道惨老,ba'dao'can'lao
巴实,ba'shi
板旋儿,ban'xuan'er
棒棒儿,bang'bang'er
包敏,bao'min
宝气,bao'qi
暴眼,bao'yan
杯话,bei'hua
背油,bei'you
不拗老,bu'niu'lao
铲铲,chan'chan
巢冲,chao'chong
扯把子,che'ba'zi
车笔刀,che'bi'dao
扯仆汉,che'pu'han
琛过来,chen'guo'lai
琛子,chen'zi
逞下去,cheng'xia'qu
吃浮汗山,chi'fu'han'shan
痴过来,chi'guo'lai
吃莽莽,chi'mang'mang
除脱,chu'tuo
吹垮垮,chui'kua'kua
搭巴巴车,da'ba'ba'che
打飞白,da'fei'bai
达扑爬,da'pu'pa
打手冲,da'shou'chong
打望,da'wang
打王逛,da'wang'guang
逮猫儿,dai'mao'er
登读,deng'du
灯晃,deng'huang
低低嘎嘎,di'di'ga'ga
低低噶噶儿,di'di'ga'ga'er
点灯儿,dian'deng'er
丁丁猫儿,ding'ding'mao'er
斗室,dou'shi
读脚,du'jiao
短处处,duan'chu'chu
兑老,dui'lao
对头,dui'tou
恩脚,en'jiao
翻羊角砖儿,fan'yang'jiao'zhuan'er
烦造造,fan'zao'zao
飞叉叉的,fei'cha'cha'de
肥懂懂,fei'dong'dong
副开,fu'kai
该背实,gai'bei'shi
告哈儿,gao'ha'er
高耸耸,gao'song'song
格蚤,ge'zao
共过来,gong'guo'lai
瓜西西,gua'xi'xi
逛的,guang'de
龟儿,gui'er
哈绰绰,ha'chuo'chuo
哈猴,ha'hou
哈即跟儿,ha'ji'gen'er
哈老壳,ha'lao'ke
骇得,hai'de
好黑人,hao'hei'ren
喝开开,he'kai'kai
黑哈,hei'ha
豁别个,huo'bie'ge
火瞟瞟的,huo'piao'piao'de
豁我哦,huo'wo'o
假巴意思,jia'ba'yi'si
夹包,jia'bao
甲甲,jia'jia
家里头,jia'li'tou
夹毛拘,jia'mao'ju
夹色子,jia'shai'zi
家头,jia'tou
脚入老,jiao'ru'lao
金啊子,jin'a'zi
惊抓抓的,jing'zhua'zhua'de
喀过来,ka'guo'lai
卡卡各各,ka'ka'ge'ge
砍老壳的,kan'lao'ke'de
考可可儿,kao'ke'ke'er
客西头儿,ke'xi'tou'er
空搞灯儿,kong'gao'deng'er
空老吹,kong'lao'chui
款到,kuan'dao
款到老,kuan'dao'lao
筐歪歪,kuang'wai'wai
矿西西的,kuang'xi'xi'de
拉爆,la'bao
啷吧紧儿,lang'ba'jin'er
老子,lao'zi
勒里,le'li
里骂,li'ma
连吧啷,lian'ba'lang
怜菜,lian'cai
亮瓦瓦,liang'wa'wa
撩起,liao'qi
罗兜,luo'dou
麻麻鱼,ma'ma'yu
马起脸,ma'qi'lian
莽进去,mang'jin'qu
冒皮皮,mao'pi'pi
猫杀,mao'sha
猫司机,mao'si'ji
莫棱个,mo'leng'ge
闹热,nao're
念栋栋,nian'dong'dong
哦霍,o'huo
哦尿尿,o'niao'niao
趴唧唧的,pa'ji'ji'de
排轮子,pai'lun'zi
皮球,pi'qiu
清候,qing'hou
渠算儿,qu'suan'er
雀到,que'dao
雀雀儿,que'que'er
日白,ri'bai
撒子,sa'zi
扫皮,sao'pi
杀鸽,sha'ge
杀铁,sha'tie
杀一脚,sha'yi'jiao
啥子,sha'zi
舌老,she'lao
神戳戳,shen'chuo'chuo
神撮撮,shen'cuo'cuo
收秤,shou'cheng
受倒管儿,shou'dao'guan'er
睡告告,shui'gao'gao
俗杂杂的,su'za'za'de
索索滩儿,suo'suo'tan'er
偷油婆,tou'you'po
瓦饭,wa'fan
挖爪,wa'zhao
窝料,wo'liao
雾独独,wu'du'du
屋头,wu'tou
洗白,xi'bai
西得好,xi'de'hao
瞎孔,xia'kong
瞎块儿,xia'kuai'er
仙人板板,xian'ren'ban'ban
鞋子等等儿,xie'zi'deng'deng'er
雄起,xiong'qi
牙刷儿,ya'shua'er
洋气,yang'qi
要得,yao'de
腰抬,yao'tai
油济济,you'ji'ji
扎起,za'qi
崽儿,zai'er
再起,zai'qi
在爪子,zai'zhua'zi
照鸡儿,zhao'ji'er
爪瞌睡,zhao'ke'shui
爪母儿,zhao'mu'er
爪球,zhao'qiu
爪子,zhua'zi
状起,zhuang'qi
作登儿,zuo'deng'er
