啊哥,a'ge
啊公,a'gong
啊嫲,a'ma
啊婆,a'po
啊嫂,a'sao
啊叔,a'shu
啊爷,a'ye
矮瓜,ai'gua
捱夜,ai'ye
白焯,bai'chao
百足,bai'zu
煲汤,bao'tang
笨叱,ben'chi
崩口人忌崩口碗,beng'kou'ren'ji'beng'kou'wan
畀面,bi'mian
边度,bian'du
搏命,bo'ming
不嬲,bu'niao
擦鞋,ca'xie
擦鞋仔,ca'xie'zai
差池,cha'chi
插苏,cha'su
觇高头,chan'gao'tou
炒鱿鱼,chao'you'yu
扯猫尾,che'mao'wei
车衫,che'shan
唓有冇搞错,che'you'mao'gao'cuo
匙羹,chi'geng
黐孖筋,chi'ma'jin
叱头,chi'tou
黐线,chi'xian
舂瘟鸡,chong'wen'ji
仇口,chou'kou
出糧,chu'liang
除衫,chu'shan
唇膏,chun'gao
大笨象,da'ben'xiang
大出血,da'chu'xue
打镬甘,da'huo'gan
大嚿衰,da'huo'shuai
大佬,da'lao
氹氹转,dang'dang'zhuan
得闲,de'xian
第次,di'ci
睇电视,di'dian'shi
底裤,di'ku
籴米,di'mi
籴佢走,di'qu'zou
第日,di'ri
底衫,di'shan
地拖,di'tuo
电发,dian'fa
点解,dian'jie
电心,dian'xin
叼拿星,diao'na'xing
跌落地都要楋翻揸沙,die'luo'di'dou'yao'la'fan'zha'sha
跌眼镜,die'yan'jing
顶你个肺,ding'ni'ge'fei
笃背脊,du'bei'ji
对唔住,dui'wu'zhu
呃鬼食豆腐,e'gui'shi'dou'fu
屙尿,e'niao
呃人,e'ren
屙屎,e'shi
摁钉,en'ding
摁口费,en'kou'fei
奀嗞鬼命,en'zi'gui'ming
奀嗞嗞,en'zi'zi
发噏疯,fa'xi'feng
饭铲头,fan'chan'tou
返工,fan'gong
番瓜,fan'gua
番茄,fan'qie
番薯,fan'shu
放飞机,fang'fei'ji
废柴,fei'chai
飞发,fei'fa
飞鼠,fei'shu
肥腯腯,fei'tu'tu
粉肠,fen'chang
瞓觉,fen'jiao
嘎嘎声,ga'ga'sheng
咖喱,ga'li
咁串欠抦啊,gan'chuan'qian'bing'a
咁好,gan'hao
咁架,gan'jia
咁啱嘅,gan'yan'ge
咁样,gan'yang
戆叱鸠,gang'chi'jiu
戆勼勼,gang'jiu'jiu
戆居,gang'ju
搞掂,gao'dian
搞弯,gao'wan
高争鞋,gao'zheng'xie
嗰度,ge'du
隔离,ge'li
梗喺,geng'xi
狗乸,gou'na
孤寒,gu'han
寡佬,gua'lao
挂住,gua'zhu
光棍佬遇着冇皮柴,guang'gun'lao'yu'zhe'mao'pi'chai
鬼打鬼,gui'da'gui
滚水,gun'shui
撖头埋墙,han'tou'mai'qiang
好鬼嘈,hao'gui'cao
好夹,hao'jia
好心着雷劈,hao'xin'zhe'lei'pi
荷包,he'bao
后底乸,hou'di'na
后生仔,hou'sheng'zai
花洒,hua'sa
花樽,hua'zun
鲩鱼,huan'yu
火水,huo'shui
几多,ji'duo
基佬,ji'lao
鸡乸,ji'na
家姐,jia'jie
夹手夹脚,jia'shou'jia'jiao
傢俬,jia'si
夹万,jia'wan
讲笑,jiang'xiao
吤开,jie'kai
颈渴,jing'ke
舅父,jiu'fu
就手,jiu'shou
焗桑拿,ju'sang'na
开片,kai'pian
看更,kan'geng
疴嘘嘘,ke'xu'xu
空姐,kong'jie
揦家餐,la'jia'can
楋手唔成势,la'shou'wu'cheng'shi
邋遢,la'ta
邋遢猫,la'ta'mao
浪口,lang'kou
捞边行,lao'bian'xing
老豆,lao'dou
老姑婆,lao'gu'po
老坑,lao'keng
老妈子,lao'ma'zi
老姆,lao'mu
老千,lao'qian
老细,lao'xi
老嘢,lao'ye
老友记,lao'you'ji
了哥,le'ge
叻仔,le'zai
栗米,li'mi
靓女,liang'nv
靓仔,liang'zai
撩鼻屎,liao'bi'shi
撩是斗非,liao'shi'dou'fei
冧女,lin'nv
拎嘢,lin'ye
领太,ling'tai
碌葛,lu'ge
渌熟,lu'shu
乱噏,luan'xi
轮更,lun'geng
萝底橙,luo'di'cheng
啰嗦,luo'suo
落汤鸡,luo'tang'ji
攞嘢,luo'ye
马蹄,ma'ti
马仔,ma'zai
唛大口得个窿,mai'da'kou'de'ge'long
卖剩蔗,mai'sheng'zhe
冇幾何,mao'ji'he
茂里,mao'li
冇相干,mao'xiang'gan
门口狗,men'kou'gou
门罅,men'xia
懵盛盛,meng'sheng'sheng
咪高峰,mi'gao'feng
咪啃亲,mi'ken'qin
秘捞,mi'lao
咪嚤,mi'mo
咪走,mi'zou
搣开,mie'kai
乜嚟架,mie'li'jia
乜嘢,mie'ye
孭仔,mie'zai
摸門釘,mo'men'ding
木嘴,mu'zui
呢度,ne'du
呢嗰,ne'ge
你哋,ni'di
你喺边吖,ni'xi'bian'a
拗痕,niu'hen
拗交,niu'jiao
拗手瓜,niu'shou'gua
拍马屁,pai'ma'pi
拍拖,pai'tuo
抛浪头,pao'lang'tou
炮仗颈,pao'zhang'jing
皮箧,pi'qie
契弟,qi'di
七国咁乱,qi'guo'gan'luan
骑呢,qi'ne
起身,qi'shen
起屋,qi'wu
契爺,qi'ye
盵嘢,qi'ye
契仔,qi'zi
悭钱,qian'qian
倾偈,qing'ji
佢哋,qu'di
雀仔,que'zi
人工,ren'gong
人客,ren'ke
入嚟,ru'li
嘥料,sai'liao
三姑六婆,san'gu'liu'po
三口六面,san'kou'liu'mian
扫把,sao'ba
臊虾,sao'xia
谂嘢,shen'ye
生埗,sheng'bu
生果,sheng'guo
食死猫,shi'si'mao
事頭婆,shi'tou'po
食碗面反碗底,shi'wan'mian'fan'wan'di
拾下拾下,shi'xia'shi'xia
食晏,shi'yan
食烟,shi'yan
食咗饭未,shi'zuo'fan'wei
食咗人只车咩,shi'zuo'ren'zhi'che'mie
收爹,shou'die
收工,shou'gong
瘦骨仙,shou'gu'xian
收皮,shou'pi
手信,shou'xin
梳化,shu'hua
熟手,shu'shou
熟行,shu'xing
闩门,shuan'men
水喉,shui'hou
水鱼,shui'yu
死蠢,si'chun
丝瓜,si'gua
松人,song'ren
蒜头,suan'tou
缩骨,suo'gu
缩头乌龟,suo'tou'wu'gui
太子爷,tai'zi'ye
探病,tan'bing
汤壳,tang'ke
踢晒脚,ti'shai'jiao
田鸡,tian'ji
条俐好嚡,tiao'li'hao'xie
偷鸡唔到蚀揸米,tou'ji'wu'dao'shi'zha'mi
蚊螆,wen'ci
揾工,wen'gong
揾人,wen'ren
搵食,wen'shi
我哋,wo'di
唔关我事,wu'guan'wo'shi
唔好喊喇,wu'hao'han'la
唔话得,wu'hua'de
唔觉,wu'jue
唔觉意,wu'jue'yi
无嗱嗱多哒疤,wu'na'na'duo'da'ba
唔喺,wu'xi
乌蝇,wu'ying
唔制,wu'zhi
喺边度,xi'bian'du
係啵,xi'bo
锡啖先,xi'dan'xian
熄灯,xi'deng
细佬,xi'lao
细路,xi'lu
洗面,xi'mian
洗衫板,xi'shan'ban
细蚊仔,xi'wen'zai
吓嚫,xia'chen
呷醋,xia'cu
虾毛,xia'mao
香枧,xiang'jian
霄夜,xiao'ye
心抱,xin'bao
行到豚,xing'dao'tun
羞家,xiu'jia
雪柜,xue'gui
眼瞓,yan'fen
盐蛇,yan'she
啱心水,yan'xin'shui
杨桃,yang'tao
椰菜,ye'cai
一担担,yi'dan'dan
一蠹尿,yi'du'niao
一镬泡,yi'huo'pao
一镬熟,yi'huo'shu
一嚿云,yi'huo'yun
一脚踢,yi'jiao'ti
一淠屎,yi'pi'shi
一仆一碌,yi'pu'yi'lu
一身蚁,yi'shen'yi
饮料,yin'liao
饮胜,yin'sheng
有碗话碗有碟话碟,you'wan'hua'wan'you'die'hua'die
甴曱,you'yue
早晨,zao'chen
早唞,zao'dou
掟煲,zheng'bao
掟你出街,zheng'ni'chu'jie
执死鸡,zhi'si'ji
执头执尾,zhi'tou'zhi'wei
钟点工,zhong'dian'gong
猪脷,zhu'li
煮餸,zhu'song
抓车,zhua'che
撞板,zhuang'ban
走嘞,zou'le
走人,zou'ren
嘴啖先,zui'dan'xian
做嘢,zuo'ye
