岙底胡路,ao'di'hu'lu
岙底杨路,ao'di'yang'lu
摆脚店,bai'jiao'dian
北环路,bei'huan'lu
北门街,bei'men'jie
北门头,bei'men'tou
北山车站,bei'shan'che'zhan
北山路,bei'shan'lu
北站,bei'zhan
滨海,bin'hai
长屿,chang'yu
潮未至,chao'wei'zhi
城北,cheng'bei
城东,cheng'dong
城南,cheng'nan
城西,cheng'xi
大理,da'li
大路毛,da'lu'mao
大石,da'shi
大石一级公路,da'shi'yi'ji'gong'lu
大溪,da'xi
大元桥,da'yuan'qiao
东安路,dong'an'lu
东城路,dong'cheng'lu
东环路,dong'huan'lu
东辉北路,dong'hui'bei'lu
东辉公园,dong'hui'gong'yuan
东辉路,dong'hui'lu
东辉南路,dong'hui'nan'lu
东辉中路,dong'hui'zhong'lu
东门北路,dong'men'bei'lu
东门村,dong'men'cun
东门路,dong'men'lu
东门南路,dong'men'nan'lu
东门桥,dong'men'qiao
东浦,dong'pu
儿童乐园,er'tong'le'yuan
二中,er'zhong
方城路,fang'cheng'lu
方城小学,fang'cheng'xiao'xue
高桥,gao'qiao
公安局,gong'an'ju
供销商厦,gong'xiao'shang'xia
河滨路,he'bin'lu
横峰,heng'feng
横湖小学,heng'hu'xiao'xue
橫淋线,heng'lin'xian
虎山,hu'shan
虎山公园,hu'shan'gong'yuan
虎山路,hu'shan'lu
华联,hua'lian
黄泥桥,huang'ni'qiao
汇其乐,hui'qi'le
夹屿,jia'yu
江厦,jiang'xia
锦屏公园,jin'ping'gong'yuan
锦屏路,jin'ping'lu
九龙大道,jiu'long'da'dao
九龙二桥,jiu'long'er'qiao
九龙桥,jiu'long'qiao
康乐路,kang'le'lu
老车站,lao'che'zhan
楼岙,lou'ao
卖鱼桥,mai'yu'qiao
民益,min'yi
鸣远路,ming'yuan'lu
牧屿,mu'yu
南环路,nan'huan'lu
南鉴,nan'jian
南屏路,nan'ping'lu
潘郎,pan'lang
浦头,pu'tou
前溪路,qian'xi'lu
前溪桥,qian'xi'qiao
桥下,qiao'xia
人本超市,ren'ben'chao'shi
人民东路,ren'min'dong'lu
人民路,ren'min'lu
人民西路,ren'min'xi'lu
人民医院,ren'min'yi'yuan
人民中路,ren'min'zhong'lu
箬横,ruo'heng
三星大道,san'xing'da'dao
三至王,san'zhi'wang
三中,san'zhong
山市,shan'shi
上桥头,shang'qiao'tou
尚书坊,shang'shu'fang
上水洞路,shang'shui'dong'lu
上应,shang'ying
时代广场,shi'dai'guang'chang
石夫人路,shi'fu'ren'lu
世纪广场,shi'ji'guang'chang
市区,shi'qu
石松,shi'song
石松一级公路,shi'song'yi'ji'gong'lu
石塘,shi'tang
实验小学,shi'yan'xiao'xue
市政府,shi'zheng'fu
曙光东路,shu'guang'dong'lu
曙光路,shu'guang'lu
曙光西路,shu'guang'xi'lu
四中,si'zhong
松门,song'men
太平,tai'ping
太平北路,tai'ping'bei'lu
太平大厦,tai'ping'da'sha
太平街道,tai'ping'jie'dao
太平路,tai'ping'lu
太平南路,tai'ping'nan'lu
太平小学,tai'ping'xiao'xue
坦头,tan'tou
塘下,tang'xia
滕岭隧道,teng'ling'sui'dao
体育场路,ti'yu'chang'lu
体育馆,ti'yu'guan
铁场,tie'chang
瓦屿山,wa'yu'shan
瓦屿山公园,wa'yu'shan'gong'yuan
万昌北路,wan'chang'bei'lu
万昌路,wan'chang'lu
万昌西路,wan'chang'xi'lu
万昌中路,wan'chang'zhong'lu
万泉东路,wan'quan'dong'lu
万泉路,wan'quan'lu
万泉西路,wan'quan'xi'lu
万寿路,wan'shou'lu
万寿路西延,wan'shou'lu'xi'yan
文化路,wen'hua'lu
文化桥,wen'hua'qiao
温岭大厦,wen'ling'da'sha
温岭二院,wen'ling'er'yuan
温岭人,wen'ling'ren
温岭三院,wen'ling'san'yuan
温岭商厦,wen'ling'shang'sha
温岭四院,wen'ling'si'yuan
温岭站,wen'ling'zhan
温岭中学,wen'ling'zhong'xue
温峤,wen'qiao
文沁公园,wen'qin'gong'yuan
坞根,wu'gen
西岙岭,xi'ao'ling
西岙岭隧道,xi'ao'ling'sui'dao
溪滨路,xi'bin'lu
西环路,xi'huan'lu
西郊桥,xi'jiao'qiao
西门村,xi'men'cun
西门头,xi'men'tou
下林村,xia'lin'cun
下水洞路,xia'shui'dong'lu
县前街,xian'qian'jie
肖家桥,xiao'jia'qiao
小南门,xiao'nan'men
小南门桥,xiao'nan'men'qiao
新车站,xin'che'zhan
新河,xin'he
新街,xin'jie
新客站,xin'ke'zhan
岩下,yan'xia
阳光大道,yang'guang'da'dao
影视城,ying'shi'cheng
永安,yong'an
雨伞,yu'san
屿头,yu'tou
泽国,ze'guo
泽坎线,ze'kan'xian
泽太,ze'tai
泽太一级公路,ze'tai'yi'ji'gong'lu
镇安路,zhen'an'lu
中华北路,zhong'hua'bei'lu
钟楼路,zhong'lou'lu
竹君园,zhu'jun'yuan
紫皋,zi'gao
