阿家,a'jia
阿郎,a'lang
阿莽,a'mang
阿没,a'mei
阿那,a'na
阿那个,a'na'ge
阿奴,a'nu
阿婆,a'po
阿魏,a'wei
爱,ai
艾火,ai'huo
安存,an'cun
唵沙,an'sha
唵土叉灰,an'tu'cha'hui
安详,an'xiang
按行,an'xing
安隐,an'yin
懊恼,ao'nao
霸,ba
拔,ba
巴毁,ba'hui
跋罗回,ba'luo'hui
把拽,ba'zhuai
白健,bai'jian
伴,ban
办,ban
般比,ban'bi
般当,ban'dang
伴换,ban'huan
伴恋,ban'lian
般粮,ban'liang
伴涉,ban'she
膀,bang
棒脊,bang'ji
傍类,bang'lei
雹,bao
抱,bao
保见,bao'jian
薄媚,bao'mei
保塞,bao'sai
报赛,bao'sai
豹尾,bao'wei
保知,bao'zhi
宝子,bao'zi
北斗,bei'dou
背上抛椽,bei'shang'pao'chuan
背射,bei'she
本典,ben'dian
贲气,ben'qi
本情,ben'qing
坌上,ben'shang
比,bi
比来,bi'lai
比娉,bi'ping
必其,bi'qi
毕期,bi'qi
必若,bi'ruo
毕若,bi'ruo
逼塞,bi'sai
比亚,bi'ya
便,bian
编并,bian'bing
鞭耻,bian'chi
便代,bian'dai
标题,biao'ti
别,bie
别馀,bie'yu
并,bing
并除,bing'chu
并当,bing'dang
病患,bing'huan
钵,bo
博,bo
拨,bo
播,bo
波波,bo'bo
搏才,bo'cai
蕃丑,bo'chou
伯母,bo'mu
勃逆,bo'ni
博唼,bo'sha
博士,bo'shi
波逃,bo'tao
波涛,bo'tao
勃土,bo'tu
波吒,bo'zha
不,bu
不被,bu'bei
不辞,bu'ci
不道,bu'dao
步度,bu'du
不妨,bu'fang
不方,bu'fang
不分,bu'fen
不负,bu'fu
不计,bu'ji
不假,bu'jia
不拣,bu'jian
不将,bu'jiang
不襟,bu'jin
不禁,bu'jin
不恐,bu'kong
不那,bu'na
不请,bu'qing
不然,bu'ran
不绍,bu'shao
步涉,bu'she
不审,bu'shen
不省,bu'sheng
不事,bu'shi
不听,bu'ting
不问,bu'wen
