奥奈达,ao'nai'da
传统弓,chuan'tong'gong
刺客,ci'ke
反曲弓,fan'qu'gong
复合弓,fu'he'gong
弓把,gong'ba
弓档,gong'dang
弓片,gong'pian
弓身,gong'shen
弓自重,gong'zi'zhong
过白纸,guo'bai'zhi
护弦绳,hu'xian'sheng
滑轮,hua'lun
箭杆,jian'gan
箭速,jian'su
箭台,jian'tai
箭羽,jian'yu
减震,jian'zhen
金属背夹,jin'shu'bei'jia
狂热,kuang're
窥孔,kui'kong
拉距,la'ju
拉力,la'li
拉力调整螺孔,la'li'tiao'zheng'luo'kong
冷酷,leng'ku
猎隼,lie'sun
美猎,mei'lie
美洲猎弓,mei'zhou'lie'gong
瞄准,miao'zhun
平衡杆,ping'heng'gan
神点,shen'dian
腕绳,wan'sheng
消音球,xiao'yin'qiu
信仰,xin'yang
粘羽器,zhan'yu'qi
针刺,zhen'ci
直升机,zhi'sheng'ji
轴距,zhou'ju
