阿部敦,a'bu'dun
阿澄佳奈,a'cheng'jia'nai
阿库西巴,a'ku'xi'ba
阿雷鲁亚巴普蒂兹姆,a'lei'lu'ya'ba'pu'di'zi'mu
阿姆,a'mu
阿尼斯塔多林,a'ni'si'ta'duo'lin
爱德格,ai'de'ge
艾莉森威汀顿,ai'li'sen'wei'ting'dun
艾姆艾姆,ai'mu'ai'mu
岸恭助,an'gong'zhu
闇绘,an'hui
安莉艾塔,an'li'ai'ta
岸桃华,an'tao'hua
安藤爱子,an'teng'ai'zi
岸尾,an'wei
岸尾大辅,an'wei'da'fu
奥吉,ao'ji
巴尔特,ba'er'te
八束,ba'shu
八云滨路,ba'yun'bin'lu
白虎,bai'hu
柏木胧,bai'mu'long
白石涼子,bai'shi'liang'zi
白石奈亚美,bai'shi'nai'ya'mei
白石稔,bai'shi'ren
白雪霙,bai'xue'ying
半场友惠,ban'chang'you'hui
板橋渉,ban'qiao'she
半田,ban'tian
浜田贤二,bang'tian'xian'er
保尔,bao'er
保志,bao'zhi
北村祐作,bei'cun'you'zuo
北斗神拳,bei'dou'shen'quan
贝可,bei'ke
本多阳子,ben'duo'yang'zi
本间枣,ben'jian'zao
本间治基,ben'jian'zhi'ji
本田贵子,ben'tian'gui'zi
崩月法泉,beng'yue'fa'quan
崩月散鹤,beng'yue'san'he
崩月夕乃,beng'yue'xi'nai
比泉秋名,bi'quan'qiu'ming
比泉生活协商事务所,bi'quan'sheng'huo'xie'shang'shi'wu'suo
别府步,bie'fu'bu
兵部京介,bing'bu'jing'jie
伯爵与妖精,bo'jue'yu'yao'jing
布莱金伯斯,bu'lai'jin'bo'si
不破尚,bu'po'shang
喰灵零,can'ling'ling
曹操孟徳,cao'cao'meng'de
草间野分,cao'jian'ye'fen
草野,cao'ye
长濑凑,chang'lai'cou
长濑准一,chang'lai'zhun'yi
常盘奈津子,chang'pan'nai'jin'zi
朝比奈茜,chao'bi'nai'qian
朝比奈薰,chao'bi'nai'xun
朝仓信长,chao'cang'xin'chang
朝倉音姫,chao'cang'yin'zhen
朝倉由夢,chao'cang'you'meng
城崎绘美,cheng'qi'hui'mei
橙条琉妃,cheng'tiao'liu'fei
橙条瑠妃,cheng'tiao'liu'fei
赤沙印记,chi'sha'yin'ji
赤夜萌香,chi'ye'meng'xiang
川澄绫子,chuan'cheng'ling'zi
川岛得爱,chuan'dao'de'ai
川嶋亚美,chuan'dao'ya'mei
川田知子,chuan'tian'zhi'zi
川中子雅人,chuan'zhong'zi'ya'ren
春华,chun'hua
纯情罗曼史,chun'qing'luo'man'shi
春日夏树,chun'ri'xia'shu
淳子杰克逊,chun'zi'jie'ke'xun
村上银子,cun'shang'yin'zi
大门寺咲,da'men'si'xiao
大门寺笑,da'men'si'xiao
大门寺优,da'men'si'you
大原,da'yuan
大佐,da'zuo
稻村圭子,dao'cun'gui'zi
道子与哈金,dao'zi'yu'ha'jin
地狱少女,di'yu'shao'nv
钿女,dian'nv
典韦,dian'wei
钉宫理惠,ding'gong'li'hui
町屋翔太,ding'wu'xiang'tai
东地宏树,dong'di'hong'shu
东铃,dong'ling
东堂明,dong'tang'ming
董卓仲颖,dong'zhuo'zhong'ying
敦贺莲,dun'he'lian
二见瑛理子,er'jian'ying'li'zi
二十面相,er'shi'mian'xiang
二十面相少女,er'shi'mian'xiang'shao'nv
二条亚矢,er'tiao'ya'shi
法兰契斯卡,fa'lan'qi'si'ka
法鲁切,fa'lu'qie
法伊,fa'yi
饭岛尚人,fan'dao'shang'ren
范恩格朗兹,fan'en'ge'lang'zi
飞羽爱美,fei'yu'ai'mei
逢坂大河,feng'ban'da'he
风花,feng'hua
风茉莉冬马,feng'mo'li'dong'ma
风魔小太郎,feng'mo'xiao'tai'lang
服部柊十郎,fu'bu'zhong'shi'lang
斧厚他,fu'hou'ta
福井裕佳梨,fu'jing'yu'jia'li
福山润,fu'shan'run
福圆美里,fu'yuan'mei'li
福原香织,fu'yuan'xiang'zhi
钢森,gang'sen
钢铁的莱茵巴雷尔,gang'tie'de'lai'yin'ba'lei'er
钢铁新娘,gang'tie'xin'niang
高槻忍,gao'gui'ren
高桥美佳子,gao'qiao'mei'jia'zi
高桥美咲,gao'qiao'mei'xiao
高桥孝浩,gao'qiao'xiao'hao
高上美夜子,gao'shang'mei'ye'zi
高上升,gao'shang'sheng
高上透,gao'shang'tou
高须,gao'xu
高垣彩阳,gao'yuan'cai'yang
葛野久远,ge'ye'jiu'yuan
格子武,ge'zi'wu
根谷美智子,gen'gu'mei'zhi'zi
更科,geng'ke
宫部红叶,gong'bu'hong'ye
宫城庸,gong'cheng'yong
宫崎羽衣,gong'qi'yu'yi
宮崎羽衣,gong'qi'yu'yi
宫野真守,gong'ye'zhen'shou
宫原永海,gong'yuan'yong'hai
古谷徹,gu'gu'che
骨女,gu'nv
谷崎一郎,gu'qi'yi'lang
谷山纪章,gu'shan'ji'zhang
古手川唯,gu'shou'chuan'wei
观世透,guan'shi'tou
关羽云长,guan'yu'yun'chang
广石伦,guang'shi'lun
桧丸,gui'wan
哈金,ha'jin
河合翼,he'he'yi
赫萝,he'luo
赫梦,he'meng
和泉麻美,he'quan'ma'mei
河原木志穗,he'yuan'mu'zhi'sui
黑部朋与,hei'bu'peng'yu
黒巻节子,hei'juan'jie'zi
黑乃胡梦,hei'nai'hu'meng
黑崎凉子,hei'qi'liang'zi
黑执事,hei'zhi'shi
黑主理事长,hei'zhu'li'shi'zhang
黑主优姬,hei'zhu'you'ji
弘濑琢磨,hong'lai'zuo'mo
宏莫雷诺斯,hong'mo'lei'nuo'si
红皮伊舟,hong'pi'yi'zhou
红翼,hong'yi
红真九郎,hong'zhen'jiu'lang
后藤麻衣,hou'teng'ma'yi
