阿贵,a'gui
阿宁,a'ning
矮子冯,ai'zi'feng
半截李,ban'jie'li
藏海花,cang'hai'hua
长白山,chang'bai'shan
陈皮阿四,chen'pi'a'si
陈文锦,chen'wen'jin
大花,da'hua
大奎,da'kui
带我回家,dai'wo'hui'jia
二叔,er'shu
二月红,er'yue'hong
鬼影人,gui'ying'ren
海猴子,hai'hou'zi
黑背老六,hei'bei'lao'liu
黑花,hei'hua
黑驴蹄子,hei'lv'ti'zi
黑瞎子,hei'xia'zi
黑眼镜,hei'yan'jing
霍玲,huo'ling
霍仙姑,huo'xian'gu
霍秀秀,huo'xiu'xiu
解九爷,jie'jiu'ye
解连环,jie'lian'huan
解雨臣,jie'yu'chen
解语花,jie'yu'hua
老九门,lao'jiu'men
老痒,lao'yang
黎簇,li'cu
六角铃铛,liu'jiao'ling'dang
鲁殇王,lu'shang'wang
闷油瓶,men'you'ping
谜海归巢,mi'hai'gui'chao
怒海潜沙,nu'hai'qian'sha
盘马,pan'ma
潘子,pan'zi
胖子,pang'zi
瓶邪,ping'xie
齐铁嘴,qi'tie'zui
七星鲁王宫,qi'xing'lu'wang'gong
秦岭神树,qin'ling'shen'shu
青铜门,qing'tong'men
邛笼石影,qiong'long'shi'ying
裘德考,qiu'de'kao
如果你消失,ru'guo'ni'xiao'shi
三叔,san'shu
沙海,sha'hai
蛇眉铜鱼,she'mei'tong'yu
蛇沼鬼城,she'zhao'gui'cheng
尸蹩,shi'bie
十年,shi'nian
顺子,shun'zi
苏万,su'wan
铁面生,tie'mian'sheng
汪藏海,wang'cang'hai
汪家,wang'jia
我们回家,wo'men'hui'jia
吴二白,wu'er'bai
吴老狗,wu'lao'gou
吴三省,wu'san'xing
吴邪,wu'xie
吴一穷,wu'yi'qiong
瞎子,xia'zi
小哥,xiao'ge
小花,xiao'hua
血尸,xue'shi
杨好,yang'hao
阴山古楼,yin'shan'gu'lou
云彩,yun'cai
云顶天宫,yun'ding'tian'gong
张大佛爷,zhang'da'fo'ye
张海客,zhang'hai'ke
张海杏,zhang'hai'xing
张家,zhang'jia
张起灵,zhang'qi'ling
张启山,zhang'qi'shan
张瑞桐,zhang'rui'tong
至少我会发现,zhi'shao'wo'hui'fa'xian
粽子,zong'zi
