阿母种桃云海际,a'mu'zhong'tao'yun'hai'ji
蔼蔼草树滋,ai'ai'cao'shu'zi
蔼蔼鼎门外,ai'ai'ding'men'wai
蔼蔼京城在九天,ai'ai'jing'cheng'zai'jiu'tian
哀哀生人泪,ai'ai'sheng'ren'lei
爱才心尚惊,ai'cai'xin'shang'jing
爱池能久立,ai'chi'neng'jiu'li
爱君新买街西宅,ai'jun'xin'mai'jie'xi'zhai
爱名之世忘名客,ai'ming'zhi'shi'wang'ming'ke
爱泉移席近,ai'quan'yi'xi'jin
哀深率土人,ai'shen'lv'tu'ren
爱棠馀故吏,ai'tang'yu'gu'li
哀我堕名网,ai'wo'duo'ming'wang
哀谣振楫从此起,ai'yao'zhen'ji'cong'ci'qi
爱与甘棠并,ai'yu'gan'tang'bing
哀玉韵犹虚,ai'yu'yun'you'xu
鞍傍见雉翘,an'bang'jian'zhi'qiao
岸傍桃李蹊,an'bang'tao'li'qi
按道侯家子,an'dao'hou'jia'zi
安得扬芬馨,an'de'yang'fen'xin
岸荻迸笋锥头铦,an'di'beng'sun'zhui'tou'gua
安钿当妩眉,an'dian'dang'wu'mei
案牍来时唯署字,an'du'lai'shi'wei'shu'zi
暗覆一局谁能知,an'fu'yi'ju'shui'neng'zhi
暗行数步逢虚明,an'hang'shu'bu'feng'xu'ming
安见元气英,an'jian'yuan'qi'ying
按经修道具,an'jing'xiu'dao'ju
安可测年龄,an'ke'ce'nian'ling
安能怀寸阴,an'neng'huai'cun'yin
安能激壮心,an'neng'ji'zhuang'xin
安能咎往事,an'neng'jiu'wang'shi
安能劳羽翼,an'neng'lao'yu'yi
安能慕竹帛,an'neng'mu'zhu'bo
安能识其真,an'neng'shi'qi'zhen
案上香烟铺贝叶,an'shang'xiang'yan'pu'bei'ye
安事非常情,an'shi'fei'chang'qing
暗添弓箭力,an'tian'gong'jian'li
案头开缥帙,an'tou'kai'piao'zhi
暗网笼歌扇,an'wang'long'ge'shan
按章清犴狱,an'zhang'qing'an'yu
安知从复道,an'zhi'cong'fu'dao
安知恩泽侯,an'zhi'en'ze'hou
安知鵩鸟座隅飞,an'zhi'fu'niao'zuo'yu'fei
安知室可欺,an'zhi'shi'ke'qi
安知视听外,an'zhi'shi'ting'wai
鳌惊震海风雷起,ao'jing'zhen'hai'feng'lei'qi
傲客多凭酒,ao'ke'duo'ping'jiu
懊恼人心不如石,ao'nao'ren'xin'bu'ru'shi
謷然不屑意,ao'ran'bu'xie'yi
傲士更逢酒,ao'shi'geng'feng'jiu
八部会坛场,ba'bu'hui'tan'chang
八部人天入道场,ba'bu'ren'tian'ru'dao'chang
拔城从此去,ba'cheng'cong'ci'qu
八方风雨会中央,ba'fang'feng'yu'hui'zhong'yang
八方通货溢河渠,ba'fang'tong'huo'yi'he'qu
八公山下清淮水,ba'gong'shan'xia'qing'huai'shui
八关斋适罢,ba'guan'zhai'shi'ba
罢和州游建康,ba'he'zhou'you'jian'kang
巴江烟浪深,ba'jiang'yan'lang'shen
把镜朝犹在,ba'jing'chao'you'zai
罢郡归洛途次山阳,ba'jun'gui'luo'tu'ci'shan'yang
罢郡归洛阳寄友人,ba'jun'gui'luo'yang'ji'you'ren
罢郡归洛阳闲居,ba'jun'gui'luo'yang'xian'ju
巴陵城百雉,ba'ling'cheng'bai'zhi
霸陵春色待行车,ba'ling'chun'se'dai'xing'che
八鸾锵锵渡银汉,ba'luan'qiang'qiang'du'yin'han
把取菱花百炼镜,ba'qu'ling'hua'bai'lian'jing
巴人拱手吟,ba'ren'gong'shou'yin
巴人泪应猿声落,ba'ren'lei'ying'yuan'sheng'luo
巴人能唱本乡歌,ba'ren'neng'chang'ben'xiang'ge
巴山楚水凄凉地,ba'shan'chu'shui'qi'liang'de
八舍郎官换绿衣,ba'she'lang'guan'huan'lv'yi
霸王迷路处,ba'wang'mi'lu'chu
八咏声名蹑后尘,ba'yong'sheng'ming'nie'hou'chen
八元邦族盛,ba'yuan'bang'zu'sheng
八月十五日夜玩月,ba'yue'shi'wu'ri'ye'wan'yue
八月涛声吼地来,ba'yue'tao'sheng'hou'di'lai
八月天气肃,ba'yue'tian'qi'su
八趾在沙砾,ba'zhi'zai'sha'li
八柱共承天,ba'zhu'gong'cheng'tian
百变千化无穷已,bai'bian'qian'hua'wu'qiong'yi
拜表郎官早渡桥,bai'biao'lang'guan'zao'du'qiao
百草当门茅舍低,bai'cao'dang'men'mao'she'di
百川宗渤澥,bai'chuan'zong'bo'xie
白帝城边寻野蔬,bai'di'cheng'bian'xun'ye'shu
白帝城边又相遇,bai'di'cheng'bian'you'xiang'yu
白帝城头春草生,bai'di'cheng'tou'chun'cao'sheng
拜奠尽沾衣,bai'dian'jin'zhan'yi
百二山河雄上国,bai'er'shan'he'xiong'shang'guo
白发藏冠镊更加,bai'fa'cang'guan'nie'geng'jia
白发青衫谁比数,bai'fa'qing'shan'shui'bi'shu
白发又添年,bai'fa'you'tian'nian
败荷攒碧浔,bai'he'cuan'bi'xun
白鹤迎来天乐动,bai'he'ying'lai'tian'le'dong
百花飞尽柳花初,bai'hua'fei'jin'liu'hua'chu
白家唯有杯觞兴,bai'jia'wei'you'bei'shang'xing
百口空为饱暖家,bai'kou'kong'wei'bao'nuan'jia
白莲方出水,bai'lian'fang'chu'shui
白鹿闲行旧径中,bai'lu'xian'xing'jiu'jing'zhong
摆落功名且养神,bai'luo'gong'ming'qie'yang'shen
摆落襄阳镇洛阳,bai'luo'xiang'yang'zhen'luo'yang
白马湖平秋日光,bai'ma'hu'ping'qiu'ri'guang
白马津头春日迟,bai'ma'jin'tou'chun'ri'chi
白马新到铜驼里,bai'ma'xin'dao'tong'tuo'li
百亩庭中半是苔,bai'mu'ting'zhong'ban'shi'tai
白泥赤印走风尘,bai'ni'chi'yin'zou'feng'chen
百辟看晨趋,bai'pi'kan'chen'qu
百辟商量旧相入,bai'pi'shang'liang'jiu'xiang'ru
白蘋正葱茏,bai'pin'zheng'cong'long
摆去将相印,bai'qu'jiang'xiang'yin
