氨水,an'shui
百分表,bai'fen'biao
拌合铲,ban'he'chan
磅秤,bang'cheng
饱和面干试模,bao'he'mian'gan'shi'mo
比重瓶,bi'zhong'ping
便携式建筑电子测温计,bian'xie'shi'jian'zhu'dian'zi'ce'wen'ji
编织袋,bian'zhi'dai
表面皿,biao'mian'min
标准漏斗水泥净浆搅拌机,biao'zhun'lou'dou'shui'ni'jing'jiang'jiao'ban'ji
标准砂,biao'zhun'sha
标准筛,biao'zhun'shai
标准针,biao'zhun'zhen
丙三醇甘油,bing'san'chun'gan'you
丙酮,bing'tong
玻璃板,bo'li'ban
玻璃棒,bo'li'bang
玻璃漏斗,bo'li'lou'dou
玻璃温度计,bo'li'wen'du'ji
玻璃珠,bo'li'zhu
草酸钠,cao'suan'na
测力环,ce'li'huan
长把勺子,chang'ba'shao'zi
车辙仪,che'zhe'yi
称量瓶,cheng'liang'ping
瓷把坩埚,ci'ba'gan'guo
磁性表座,ci'xing'biao'zuo
瓷研钵,ci'yan'bo
粗玻璃棒,cu'bo'li'bang
脆点仪,cui'dian'yi
大肚移液管附橡皮球,da'du'yi'ye'guan'fu'xiang'pi'qiu
大瓶墨汁,da'ping'mo'zhi
带盖称量瓶,dai'gai'cheng'liang'ping
带盖铁桶,dai'gai'tie'tong
捣棒,dao'bang
滴定管酸式,di'ding'guan'suan'shi
滴定管台及滴定管夹,di'ding'guan'tai'ji'di'ding'guan'jia
滴定台,di'ding'tai
滴管,di'guan
滴瓶,di'ping
滴瓶带胶头滴管,di'ping'dai'jiao'tou'di'guan
低温电热恒温水浴,di'wen'dian're'heng'wen'shui'yu
低温延伸仪,di'wen'yan'shen'yi
电吹风,dian'chui'feng
电磁电热式搅拌器,dian'ci'dian're'shi'jiao'ban'qi
电动击实仪及附件,dian'dong'ji'shi'yi'ji'fu'jian
电动脱模器,dian'dong'tuo'mo'qi
电动摇筛机,dian'dong'yao'shai'ji
电脑沥青软化点测定仪,dian'nao'li'qing'ruan'hua'dian'ce'ding'yi
电脑沥青针入度仪,dian'nao'li'qing'zhen'ru'du'yi
电热恒温干燥箱,dian're'heng'wen'gan'zao'xiang
电热蒸馏水器,dian're'zheng'liu'shui'qi
电砂浴,dian'sha'yu
电子秤,dian'zi'cheng
电子快速含水量测试仪,dian'zi'kuai'su'han'shui'liang'ce'shi'yi
电子秒表,dian'zi'miao'biao
电子天平,dian'zi'tian'ping
电子游标卡尺,dian'zi'you'biao'ka'chi
电子振动棒,dian'zi'zhen'dong'bang
电阻丝,dian'zu'si
吊篮及有水溢流孔的水槽,diao'lan'ji'you'shui'yi'liu'kong'de'shui'cao
堞式界限仪,die'shi'jie'xian'yi
蝶式引伸仪,die'shi'yin'shen'yi
动态变形模量测定仪,dong'tai'bian'xing'mo'liang'ce'ding'yi
短颈漏斗,duan'jing'lou'dou
二硫化钼,er'liu'hua'mu
二钠,er'na
反复弯曲机,fan'fu'wan'qu'ji
反力框架,fan'li'kuang'jia
反射波法桩基完整性监测分析仪,fan'she'bo'fa'zhuang'ji'wan'zheng'xing'jian'ce'fen'xi'yi
凡士林,fan'shi'lin
放大镜,fang'da'jing
防风屏,fang'feng'ping
方盘,fang'pan
防水灯具,fang'shui'deng'ju
沸煮箱,fei'zhu'xiang
分馏设备,fen'liu'she'bei
酚酞,fen'tai
酚酞指示剂,fen'tai'zhi'shi'ji
分析天平,fen'xi'tian'ping
风速仪,feng'su'yi
复合模量试验仪,fu'he'mo'liang'shi'yan'yi
弗拉斯脆点仪,fu'la'si'cui'dian'yi
负压筛,fu'ya'shai
钙试剂羟酸钠,gai'shi'ji'qiang'suan'na
干湿温度计,gan'shi'wen'du'ji
甘油,gan'you
干燥器,gan'zao'qi
钢绞线夹具,gang'jiao'xian'jia'ju
钢筋保护层测定仪,gang'jin'bao'hu'ceng'ce'ding'yi
钢筋保护层厚度测定仪,gang'jin'bao'hu'ceng'hou'du'ce'ding'yi
钢筋标距仪,gang'jin'biao'ju'yi
钢筋标距仪标养室全自动设备,gang'jin'biao'ju'yi'biao'yang'shi'quan'zi'dong'she'bei
钢筋切割机,gang'jin'qie'ge'ji
钢筋位置测定仪,gang'jin'wei'zhi'ce'ding'yi
钢筋锈蚀测定仪,gang'jin'xiu'shi'ce'ding'yi
钢直尺,gang'zhi'chi
高温电炉,gao'wen'dian'lu
高温油浴锅,gao'wen'you'yu'guo
工字型刮平尺,gong'zi'xing'gua'ping'chi
古氏坩埚,gu'shi'gan'guo
贯入阻力仪,guan'ru'zu'li'yi
灌砂筒,guan'sha'tong
光电式液限仪,guang'dian'shi'ye'xian'yi
广口玻璃瓶,guang'kou'bo'li'ping
广口漏斗,guang'kou'lou'dou
广口瓶,guang'kou'ping
过滤烧杯,guo'lv'shao'bei
含气量测定仪,han'qi'liang'ce'ding'yi
核子密度仪,he'zi'mi'du'yi
恒温恒湿养护箱,heng'wen'heng'shi'yang'hu'xiang
恒温水浴,heng'wen'shui'yu
恒温水浴器,heng'wen'shui'yu'qi
恒温循环水浴,heng'wen'xun'huan'shui'yu
红外线测温仪,hong'wai'xian'ce'wen'yi
烘箱,hong'xiang
滑石粉,hua'shi'fen
环刀盖,huan'dao'gai
环氧树脂,huan'yang'shu'zhi
灰刀,hui'dao
灰浆稠度仪,hui'jiang'chou'du'yi
灰浆粘度计,hui'jiang'nian'du'ji
回收瓶,hui'shou'ping
回弹仪标定用钢砧,hui'tan'yi'biao'ding'yong'gang'zhen
回转剪应力压力机,hui'zhuan'jian'ying'li'ya'li'ji
混凝土多功能钻芯机,hun'ning'tu'duo'gong'neng'zuan'xin'ji
混凝土含气量测定仪,hun'ning'tu'han'qi'liang'ce'ding'yi
混凝土回弹仪,hun'ning'tu'hui'tan'yi
混凝土抗冻试模,hun'ning'tu'kang'dong'shi'mo
混凝土抗渗测定仪,hun'ning'tu'kang'shen'ce'ding'yi
混凝土抗渗试模,hun'ning'tu'kang'shen'shi'mo
混凝土抗渗仪,hun'ning'tu'kang'shen'yi
混凝土抗压试模,hun'ning'tu'kang'ya'shi'mo
混凝土试模,hun'ning'tu'shi'mo
混凝土弹性模量试模,hun'ning'tu'tan'xing'mo'liang'shi'mo
混凝土压力泌水仪,hun'ning'tu'ya'li'mi'shui'yi
混凝土养护室控温控湿仪,hun'ning'tu'yang'hu'shi'kong'wen'kong'shi'yi
混凝土易操作测定仪,hun'ning'tu'yi'cao'zuo'ce'ding'yi
混凝土振动台,hun'ning'tu'zhen'dong'tai
集料标准筛分为水泥砼沥青砼,ji'liao'biao'zhun'shai'fen'wei'shui'ni'tong'li'qing'tong
甲基橙,jia'ji'cheng
甲醛,jia'quan
加湿器,jia'shi'qi
碱式滴定管,jian'shi'di'ding'guan
焦磷酸钠,jiao'lin'suan'na
胶头滴管,jiao'tou'di'guan
接触式路面温度计,jie'chu'shi'lu'mian'wen'du'ji
浸水膨胀附件,jin'shui'peng'zhang'fu'jian
浸水水箱,jin'shui'shui'xiang
精密密度计,jing'mi'mi'du'ji
精密试纸,jing'mi'shi'zhi
静水力学天平,jing'shui'li'xue'tian'ping
静态模量测定仪,jing'tai'mo'liang'ce'ding'yi
酒精,jiu'jing
酒石酸钾钠,jiu'shi'suan'jia'na
抗折试模混凝土渗透仪,kang'zhe'shi'mo'hun'ning'tu'shen'tou'yi
克利夫兰开口杯,ke'li'fu'lan'kai'kou'bei
可调的样品筛选仪,ke'tiao'de'yang'pin'shai'xuan'yi
可调式电砂浴,ke'tiao'shi'dian'sha'yu
快速定性滤纸,kuai'su'ding'xing'lv'zhi
框式水平仪,kuang'shi'shui'ping'yi
雷氏夹,lei'shi'jia
雷氏夹测定仪,lei'shi'jia'ce'ding'yi
雷氏夹及附件,lei'shi'jia'ji'fu'jian
冷冻箱,leng'dong'xiang
冷弯冲头,leng'wan'chong'tou
厘米方格纸,li'mi'fang'ge'zhi
沥青方孔筛,li'qing'fang'kong'shai
沥青含蜡量测定仪,li'qing'han'la'liang'ce'ding'yi
沥青含量测定仪燃烧炉,li'qing'han'liang'ce'ding'yi'ran'shao'lu
沥青含水量测定仪,li'qing'han'shui'liang'ce'ding'yi
沥青混合料回流式抽提仪,li'qing'hun'he'liao'hui'liu'shi'chou'ti'yi
沥青混合料最大理论密度仪,li'qing'hun'he'liao'zui'da'li'lun'mi'du'yi
沥青路面渗水试验仪,li'qing'lu'mian'shen'shui'shi'yan'yi
沥青粘度计,li'qing'nian'du'ji
沥青劈裂试验夹具及压条,li'qing'pi'lie'shi'yan'jia'ju'ji'ya'tiao
沥青取样器,li'qing'qu'yang'qi
沥青软化点仪,li'qing'ruan'hua'dian'yi
沥青闪点仪,li'qing'shan'dian'yi
沥青盛样皿,li'qing'sheng'yang'min
沥青旋转薄膜烘箱,li'qing'xuan'zhuan'bao'mo'hong'xiang
沥青针入度仪,li'qing'zhen'ru'du'yi
沥青字铜模,li'qing'zi'tong'mu
李氏比重瓶,li'shi'bi'zhong'ping
砾石加速磨光测试仪,li'shi'jia'su'mo'guang'ce'shi'yi
离心式沥青快速抽提仪,li'xin'shi'li'qing'kuai'su'chou'ti'yi
量水器,liang'shui'qi
量筒,liang'tong
六偏磷酸钠,liu'pian'lin'suan'na
硫酸,liu'suan
硫酸钾,liu'suan'jia
硫酸钠,liu'suan'na
硫酸铜,liu'suan'tong
路面材料强度试验仪,lu'mian'cai'liao'qiang'du'shi'yan'yi
路面材料强度仪,lu'mian'cai'liao'qiang'du'yi
路面构造深度仪,lu'mian'gou'zao'shen'du'yi
路面回弹弯沉仪铝合金,lu'mian'hui'tan'wan'chen'yi'lv'he'jin
路面平整度仪,lu'mian'ping'zheng'du'yi
路面取芯机平板手推车,lu'mian'qu'xin'ji'ping'ban'shou'tui'che
路面弯沉仪,lu'mian'wan'chen'yi
轮碾成型机,lun'nian'cheng'xing'ji
轮碾成型仪,lun'nian'cheng'xing'yi
洛杉矶磨耗机,luo'shan'ji'mo'hao'ji
洛杉矶磨耗试验机,luo'shan'ji'mo'hao'shi'yan'ji
洛氏硬度计,luo'shi'ying'du'ji
铝盒,lv'he
氯化铵,lv'hua'an
氯化钡,lv'hua'bei
氯化钙,lv'hua'gai
氯化钠,lv'hua'na
滤筛,lv'shai
铝水平尺,lv'shui'ping'chi
滤纸,lv'zhi
马歇尔击实仪,ma'xie'er'ji'shi'yi
马歇尔试模,ma'xie'er'shi'mo
马歇尔稳定度测定仪,ma'xie'er'wen'ding'du'ce'ding'yi
慢速定量滤纸,man'su'ding'liang'lv'zhi
毛笔,mao'bi
锚杆拉拔仪,mao'gan'la'ba'yi
锚杆拉力机,mao'gan'la'li'ji
棉纱,mian'sha
秒表,miao'biao
摩擦摆锤仪,mo'ca'bai'chui'yi
抹刀,mo'dao
磨平机,mo'ping'ji
磨砂纸,mo'sha'zhi
萘酚绿,nai'fen'lv
耐热玻璃烧杯,nai're'bo'li'shao'bei
泥浆三件套,ni'jiang'san'jian'tao
尼龙线,ni'long'xian
粘度计,nian'du'ji
凝结时间测定仪,ning'jie'shi'jian'ce'ding'yi
浓盐酸,nong'yan'suan
喷射混凝土用试模,pen'she'hun'ning'tu'yong'shi'mo
膨胀试件接触头,peng'zhang'shi'jian'jie'chu'tou
疲劳试验仪,pi'lao'shi'yan'yi
平底玻璃皿,ping'di'bo'li'min
平刮刀,ping'gua'dao
气温计高低温度计,qi'wen'ji'gao'di'wen'du'ji
汽油机式取芯机,qi'you'ji'shi'qu'xin'ji
千分表,qian'fen'biao
浅盘,qian'pan
强制式单卧轴混凝土搅拌机,qiang'zhi'shi'dan'wo'zhou'hun'ning'tu'jiao'ban'ji
强制式混凝土搅拌机,qiang'zhi'shi'hun'ning'tu'jiao'ban'ji
桥梁桩基超声波检测仪,qiao'liang'zhuang'ji'chao'sheng'bo'jian'ce'yi
切土盘,qie'tu'pan
轻型触探仪,qing'xing'chu'tan'yi
轻型动力触探仪,qing'xing'dong'li'chu'tan'yi
氢氧化钠,qing'yang'hua'na
取土铲,qu'tu'chan
全自动沥青混合料拌和锅,quan'zi'dong'li'qing'hun'he'liao'ban'huo'guo
燃烧炉,ran'shao'lu
热电偶沥青温度计,re'dian'ou'li'qing'wen'du'ji
容积升,rong'ji'sheng
容量瓶,rong'liang'ping
容量筒,rong'liang'tong
乳胶管,ru'jiao'guan
塞尺,sai'chi
三角瓶,san'jiao'ping
三氯乙烯回收仪,san'lv'yi'xi'hui'shou'yi
三米直尺,san'mi'zhi'chi
三乙纯胺,san'yi'chun'an
纱布,sha'bu
砂当量测试仪器,sha'dang'liang'ce'shi'yi'qi
砂浆回弹仪,sha'jiang'hui'tan'yi
砂浆搅拌机,sha'jiang'jiao'ban'ji
砂浆试模,sha'jiang'shi'mo
砂石筛,sha'shi'shai
砂子角度测试仪,sha'zi'jiao'du'ce'shi'yi
烧杯,shao'bei
勺子,shao'zi
渗透性仪,shen'tou'xing'yi
盛样皿盖,sheng'yang'min'gai
盛样瓶,sheng'yang'ping
试管摇晃机,shi'guan'yao'huang'ji
试剂滴瓶,shi'ji'di'ping
试剂瓶无色,shi'ji'ping'wu'se
试剂瓶棕色,shi'ji'ping'zong'se
试剂勺,shi'ji'shao
石蜡,shi'la
石棉网,shi'mian'wang
试模,shi'mo
试验悬吊装置,shi'yan'xuan'diao'zhuang'zhi
试验仪器真空泵,shi'yan'yi'qi'zhen'kong'beng
石子扁平率筛子,shi'zi'bian'ping'lv'shai'zi
石子筛,shi'zi'shai
收缩测试模,shou'suo'ce'shi'mo
手套,shou'tao
数控多功能电动击实仪,shu'kong'duo'gong'neng'dian'dong'ji'shi'yi
数显电热干燥鼓风烘箱,shu'xian'dian're'gan'zao'gu'feng'hong'xiang
数显或度盘指针式温度计,shu'xian'huo'du'pan'zhi'zhen'shi'wen'du'ji
数显沥青恒温水浴,shu'xian'li'qing'heng'wen'shui'yu
数显马歇尔自动击实仪,shu'xian'ma'xie'er'zi'dong'ji'shi'yi
双连球,shuang'lian'qiu
双数显马歇尔稳定度仪,shuang'shu'xian'ma'xie'er'wen'ding'du'yi
双氧水,shuang'yang'shui
水泥比表面积测定仪,shui'ni'bi'biao'mian'ji'ce'ding'yi
水泥比表面积测定仪标准粉,shui'ni'bi'biao'mian'ji'ce'ding'yi'biao'zhun'fen
水泥标准维卡仪,shui'ni'biao'zhun'wei'ka'yi
水泥电动抗折机,shui'ni'dian'dong'kang'zhe'ji
水泥电动抗折试验机,shui'ni'dian'dong'kang'zhe'shi'yan'ji
水泥负压筛析仪,shui'ni'fu'ya'shai'xi'yi
水泥恒定应力试验机,shui'ni'heng'ding'ying'li'shi'yan'ji
水泥恒湿恒温养护箱,shui'ni'heng'shi'heng'wen'yang'hu'xiang
水泥浆泌水率测定仪,shui'ni'jiang'mi'shui'lv'ce'ding'yi
水泥胶砂搅拌机,shui'ni'jiao'sha'jiao'ban'ji
水泥胶砂抗压夹具,shui'ni'jiao'sha'kang'ya'jia'ju
水泥胶砂试模,shui'ni'jiao'sha'shi'mo
水泥胶砂跳桌,shui'ni'jiao'sha'tiao'zhuo
水泥胶砂线性变形率测定仪,shui'ni'jiao'sha'xian'xing'bian'xing'lv'ce'ding'yi
水泥胶砂振实台,shui'ni'jiao'sha'zhen'shi'tai
水泥净浆搅拌机,shui'ni'jing'jiang'jiao'ban'ji
水泥净浆流动度圆模,shui'ni'jing'jiang'liu'dong'du'yuan'mo
水泥抗压夹具,shui'ni'kang'ya'jia'ju
水泥流动度测定仪,shui'ni'liu'dong'du'ce'ding'yi
水泥留样桶,shui'ni'liu'yang'tong
水泥密度测试仪,shui'ni'mi'du'ce'shi'yi
水泥取样器,shui'ni'qu'yang'qi
水泥砂浆分层度仪,shui'ni'sha'jiang'fen'ceng'du'yi
水泥筛,shui'ni'shai
水泥细度负压筛析仪,shui'ni'xi'du'fu'ya'shai'xi'yi
水泥养护槽,shui'ni'yang'hu'cao
塑料袋,su'liao'dai
塑料洗瓶,su'liao'xi'ping
酸度计,suan'du'ji
酸式滴定管,suan'shi'di'ding'guan
炭化深度测定仪电子天平,tan'hua'shen'du'ce'ding'yi'dian'zi'tian'ping
坍落度筒,tan'luo'du'tong
碳酸钙,tan'suan'gai
碳酸计,tan'suan'ji
碳酸钠,tan'suan'na
弹性模量试模,tan'xing'mo'liang'shi'mo
搪瓷杯,tang'ci'bei
搪瓷坩锅,tang'ci'gan'guo
搪瓷盘,tang'ci'pan
调土刀,tiao'tu'dao
调土刀削土刀,tiao'tu'dao'xiao'tu'dao
调温电炉,tiao'wen'dian'lu
砼贯入阻力仪,tong'guan'ru'zu'li'yi
砼回弹仪,tong'hui'tan'yi
桶及附件,tong'ji'fu'jian
砼劈裂夹具,tong'pi'lie'jia'ju
砼试件补平装置,tong'shi'jian'bu'ping'zhuang'zhi
铜丝线,tong'si'xian
砼弹性模量测定仪,tong'tan'xing'mo'liang'ce'ding'yi
砼振动台,tong'zhen'dong'tai
土工试验筛,tu'gong'shi'yan'shai
土壤比重计,tu'rang'bi'zhong'ji
土壤密度计,tu'rang'mi'du'ji
土壤筛,tu'rang'shai
脱模器,tuo'mo'qi
万能材料试验机,wan'neng'cai'liao'shi'yan'ji
万能夹,wan'neng'jia
万能角度尺,wan'neng'jiao'du'chi
万能调温电炉,wan'neng'tiao'wen'dian'lu
网篮,wang'lan
微波炉,wei'bo'lu
微的瓦尔试验机,wei'de'wa'er'shi'yan'ji
温度计,wen'du'ji
温湿度计,wen'shi'du'ji
无侧限试模,wu'ce'xian'shi'mo
无水乙醇,wu'shui'yi'chun
洗耳球,xi'er'qiu
细集料粗糙度测定仪,xi'ji'liao'cu'cao'du'ce'ding'yi
洗瓶,xi'ping
洗瓶塑料,xi'ping'su'liao
吸水管,xi'shui'guan
下口蒸馏水瓶,xia'kou'zheng'liu'shui'ping
橡胶锤,xiang'jiao'chui
橡皮吹球,xiang'pi'chui'qiu
小铝盒,xiao'lv'he
小牛角匙,xiao'niu'jiao'chi
硝酸,xiao'suan
硝酸铵,xiao'suan'an
硝酸钾,xiao'suan'jia
硝酸银,xiao'suan'yin
新标准砂,xin'biao'zhun'sha
修土刀,xiu'tu'dao
旋转压实仪,xuan'zhuan'ya'shi'yi
亚甲兰,ya'jia'lan
压力机,ya'li'ji
压力泌水仪,ya'li'mi'shui'yi
压力试验机,ya'li'shi'yan'ji
