八字胡,ba'zi'hu
鼻直口方,bi'zhi'kou'fang
标致,biao'zhi
不修边幅,bu'xiu'bian'fu
长发披肩,chang'fa'pi'jian
丑陋,chou'lou
大块头,da'kuai'tou
丹凤眼,dan'feng'yan
端庄,duan'zhuang
墩墩,dun'dun
肥胖,fei'pang
肥头大耳,fei'tou'da'er
丰满,feng'man
古铜色,gu'tong'se
光闪闪,guang'shan'shan
国字脸,guo'zi'lian
汗涔涔,han'cen'cen
黑黝黝,hei'you'you
红润,hong'run
虎背熊腰,hu'bei'xiong'yao
花枝招展,hua'zhi'zhao'zhan
健美,jian'mei
健壮,jian'zhuang
魁梧,kui'wu
邋遢,la'ta
褴褛,lan'lv
朗目高鼻,lang'mu'gao'bi
冷冰冰,leng'bing'bing
柳叶眉,liu'ye'mei
满面春风,man'mian'chun'feng
面如冠玉,mian'ru'guan'yu
苗条,miao'tiao
明眸皓齿,ming'mou'hao'chi
目光如电,mu'guang'ru'dian
浓妆艳抹,nong'zhuang'yan'mo
披肩发,pi'jian'fa
朴素大方,pu'su'da'fang
俏丽,qiao'li
清秀,qing'xiu
神采奕奕,shen'cai'yi'yi
瘦脸深目,shou'lian'shen'mu
水汪汪,shui'wang'wang
亭亭玉立,ting'ting'yu'li
温柔,wen'rou
细高挑,xi'gao'tiao
细眯眼,xi'mi'yan
西装革履,xi'zhuang'ge'lv
笑眯眯胖,xiao'mi'mi'pang
笑嘻嘻,xiao'xi'xi
虚弱,xu'ruo
衣冠楚楚,yi'guan'chu'chu
英姿勃勃,ying'zi'bo'bo
油亮亮,you'liang'liang
