霸亭秋,ba'ting'qiu
八仙庆寿,ba'xian'qing'shou
百花亭,bai'hua'ting
白鹿洞,bai'lu'dong
白日飞升,bai'ri'fei'sheng
半夜朝元,ban'ye'chao'yuan
斑竹记,ban'zhu'ji
报恩虎,bao'en'hu
宝光殿,bao'guang'dian
保国公安边破虏,bao'guo'gong'an'bian'po'lu
保韩庄,bao'han'zhuang
豹子和尚,bao'zi'he'shang
庳国君,bei'guo'jun
北邙说法,bei'mang'shuo'fa
北门锁钥,bei'men'suo'yue
碧莲会,bi'lian'hui
碧纱笼,bi'sha'long
碧桃花,bi'tao'hua
碧梧堂,bi'wu'tang
碧玉钗,bi'yu'chai
鞭歌妓,bian'ge'ji
辩三教,bian'san'jiao
玻璃镜,bo'li'jing
步非烟,bu'fei'yan
不伏老,bu'fu'lao
补广陵散,bu'guang'ling'san
彩鸾灯记,cai'luan'deng'ji
参禅成佛,can'chan'cheng'fo
蟾蜍佳偶,chan'chu'jia'ou
缠夜帐,chan'ye'zhang
常椿寿,chang'chun'shou
长生会,chang'sheng'hui
辰钩月,chen'gou'yue
乘槎,cheng'cha
城南柳,cheng'nan'liu
赤壁游,chi'bi'you
媸童公案,chi'tong'gong'an
楚岫云,chu'xiu'yun
春波影,chun'bo'ying
雌木兰,ci'mu'lan
崔氏春秋补传,cui'shi'chun'qiu'bu'chuan
翠乡梦,cui'xiang'meng
错调合璧,cuo'tiao'he'bi
错转轮,cuo'zhuan'lun
打虎报冤,da'hu'bao'yuan
大圣收魔,da'sheng'shou'mo
打哑禅,da'ya'chan
大战葛从周,da'zhan'ge'cong'zhou
玳瑁梳,dai'mao'shu
戴王访雪,dai'wang'fang'xue
待子瞻,dai'zi'zhan
盗红绡,dao'hong'xiao
得驺虞,de'zou'yu
登瀛州,deng'ying'zhou
帝妃游春,di'fei'you'chun
地狱生天,di'yu'sheng'tian
颠倒姻缘,dian'dao'yin'yuan
钿盒奇缘,dian'he'qi'yuan
定时捉将,ding'shi'zhuo'jiang
东方朔割肉遗细君,dong'fang'shuo'ge'rou'yi'xi'jun
东门宴,dong'men'yan
洞天玄记,dong'tian'xuan'ji
东岳殿,dong'yue'dian
都中一笑,dou'zhong'yi'xiao
独居教子,du'ju'jiao'zi
独乐园,du'le'yuan
度柳翠,du'liu'cui
对玉梳,dui'yu'shu
钝秀才,dun'xiu'cai
饿方朔,e'fang'shuo
儿女团圆,er'nv'tuan'yuan
儿女债,er'nv'zhai
范彊帐下斩张飞,fan'jiang'zhang'xia'zhan'zhang'fei
访师论道,fang'shi'lun'dao
蜚虎子,fei'hu'zi
分钱记,fen'qian'ji
冯伯玉,feng'bo'yu
风月囊集,feng'yue'nang'ji
风月姻缘,feng'yue'yin'yuan
风云会,feng'yun'hui
封陟遇上元,feng'zhi'yu'shang'yuan
福禄寿,fu'lu'shou
复落娼,fu'luo'chang
夫人大,fu'ren'da
芙蓉屏,fu'rong'ping
福先碑,fu'xian'bei
夫子禅,fu'zi'chan
赶苏卿,gan'su'qing
高唐记,gao'tang'ji
高唐梦,gao'tang'meng
歌代啸,ge'dai'xiao
公孙丑东郭息忿争,gong'sun'chou'dong'guo'xi'fen'zheng
沽酒游春,gu'jiu'you'chun
谷儒记,gu'ru'ji
关岳交代,guan'yue'jiao'dai
广成子,guang'cheng'zi
广陵月,guang'ling'yue
桂花风,gui'hua'feng
诡男为客,gui'nan'wei'ke
归去来辞,gui'qu'lai'ci
鬼推门,gui'tui'men
郭巨埋儿,guo'ju'mai'er
海棠风,hai'tang'feng
海棠亭,hai'tang'ting
邯郸梦,han'dan'meng
韩陶月宴,han'tao'yue'yan
汉相如献赋题桥,han'xiang'ru'xian'fu'ti'qiao
寒衣记,han'yi'ji
好姻缘,hao'yin'yuan
喝采获名姬,he'cai'huo'ming'ji
贺季真,he'ji'zhen
红白蜘蛛,hong'bai'zhi'zhu
红粉禅,hong'fen'chan
红拂三传,hong'fu'san'chuan
红莲债,hong'lian'zhai
红线记,hong'xian'ji
红线女,hong'xian'nv
红绡记,hong'xiao'ji
红颜年少,hong'yan'nian'shao
花舫缘,hua'fang'yuan
华光显圣,hua'guang'xian'sheng
花间四友,hua'jian'si'you
花里悟真如,hua'li'wu'zhen'ru
花前一笑,hua'qian'yi'xiao
华阳叟,hua'yang'sou
淮阴侯,huai'yin'hou
宦游济美,huan'you'ji'mei
黄眉翁,huang'mei'weng
会香衫,hui'xiang'shan
昏厮迷,hun'si'mi
继母大贤,ji'mu'da'xian
剑侠完贞,jian'xia'wan'zhen
见雁忆故人,jian'yan'yi'gu'ren
降狮子,jiang'shi'zi
搅道场,jiao'dao'chang
娇红记,jiao'hong'ji
蕉鹿梦,jiao'lu'meng
节妇牌,jie'fu'pai
截舌公招,jie'she'gong'zhao
借尸还魂,jie'shi'huan'hun
金安寿,jin'an'shou
金儿弄丸记,jin'er'nong'wan'ji
金门戟,jin'men'ji
金屋招魂,jin'wu'zhao'hun
金镯记,jin'zhuo'ji
酒懂,jiu'dong
九合诸侯,jiu'he'zhu'hou
救精忠,jiu'jing'zhong
九曲明珠,jiu'qu'ming'zhu
举烽取笑,ju'feng'qu'xiao
捐奁嫁婢,juan'lian'jia'bi
俊憨子,jun'han'zi
勘妒妇,kan'du'fu
客窗夜话,ke'chuang'ye'hua
可破梦,ke'po'meng
苦海回头,ku'hai'hui'tou
狂鼓史,kuang'gu'shi
昆仑奴,kun'lun'nu
昆阳大战,kun'yang'da'zhan
来生债,lai'sheng'zhai
蓝采和,lan'cai'he
兰亭会,lan'ting'hui
老更狂,lao'geng'kuang
老归正道,lao'gui'zheng'dao
老莱子,lao'lai'zi
老僧酿酒,lao'seng'niang'jiu
雷泽遇仙,lei'ze'yu'xian
梨花梦,li'hua'meng
李云卿,li'yun'qing
连环谏,lian'huan'jian
两旦双鬟,liang'dan'shuang'huan
两团圆,liang'tuan'yuan
临歧柳,lin'qi'liu
灵芝庆寿,ling'zhi'qing'shou
刘伯伦,liu'bo'lun
刘公子赏牡丹亭记,liu'gong'zi'shang'mu'dan'ting'ji
流星马,liu'xing'ma
龙华梦,long'hua'meng
龙山宴,long'shan'yan
鲁敬姜,lu'jing'jiang
络冰丝,luo'bing'si
罗浮梦,luo'fu'meng
洛水悲,luo'shui'bei
骂座记,ma'zuo'ji
卖情扎囷,mai'qing'zha'qun
买笑局金,mai'xiao'ju'jin
茅庐,mao'lu
眉头眼角,mei'tou'yan'jiao
没头疑案,mei'tou'yi'an
梅杏争春,mei'xing'zheng'chun
祢正平,mi'zheng'ping
没奈何,mo'nai'he
牡丹品,mu'dan'pin
牡丹仙,mu'dan'xian
牡丹园,mu'dan'yuan
目连人冥,mu'lian'ren'ming
南柯梦,nan'ke'meng
南楼月,nan'lou'yue
男王后,nan'wang'hou
闹门神,nao'men'shen
闹阴司,nao'yin'si
闹钟馗,nao'zhong'kui
闹中牟,nao'zhong'mu
哪吒三变,ne'zha'san'bian
女红纱,nv'gong'sha
女豪杰,nv'hao'jie
女状元,nv'zhuang'yuan
蟠桃会,pan'tao'hui
蟠桃记,pan'tao'ji
裴度还带,pei'du'hai'dai
裴渭源,pei'wei'yuan
裴湛和合,pei'zhan'he'he
皮匠参禅,pi'jiang'can'chan
平百夷火烧鹿川寨,ping'bai'yi'huo'shao'lu'chuan'zhai
齐东绝倒,qi'dong'jue'dao
弃官救友,qi'guan'jiu'you
乞骸骨两疏见机,qi'hai'gu'liang'shu'jian'ji
七世冤家,qi'shi'yuan'jia
旗亭宴,qi'ting'yan
气张飞,qi'zhang'fei
倩女离魂,qian'nv'li'hun
乔断鬼,qiao'duan'gui
巧配阎越娘,qiao'pei'yan'yue'niang
俏书生断酒色财气,qiao'shu'sheng'duan'jiu'se'cai'qi
乔坐衙,qiao'zuo'ya
秦苏夏赏,qin'su'xia'shang
秦庭筑,qin'ting'zhu
琴心雅调,qin'xin'ya'tiao
庆长生,qing'chang'sheng
清风领,qing'feng'ling
清凉扇馀,qing'liang'shan'yu
青梅佳句,qing'mei'jia'ju
庆千秋,qing'qian'qiu
青虬记,qing'qiu'ji
情生文,qing'sheng'wen
晴天屐,qing'tian'ji
曲江池,qu'jiang'chi
群花会,qun'hua'hui
群仙朝圣,qun'xian'chao'sheng
群仙祝寿,qun'xian'zhu'shou
人鬼夫妻,ren'gui'fu'qi
认金梳,ren'jin'shu
人月重圆,ren'yue'chong'yuan
仁宗认母,ren'zong'ren'mu
阮步兵,ruan'bu'bing
瑞仙亭,rui'xian'ting
赛娇容,sai'jiao'rong
三卜真状元,san'bu'zhen'zhuang'yuan
三度小桃红,san'du'xiao'tao'hong
三官斋,san'guan'zhai
三难苏学士,san'nan'su'xue'shi
三气张飞,san'qi'zhang'fei
三让徐州,san'rang'xu'zhou
三丧不举,san'sang'bu'ju
三塔记,san'ta'ji
三星下界,san'xing'xia'jie
三义成姻,san'yi'cheng'yin
三枝花大闹土地堂,san'zhi'hua'da'nao'tu'di'tang
森罗殿,sen'luo'dian
僧尼共犯,seng'ni'gong'fan
善恶分明,shan'e'fen'ming
赏西湖,shang'xi'hu
绍兴府同僚认父,shao'xing'fu'tong'liao'ren'fu
申包胥,shen'bao'xu
神仙会,shen'xian'hui
胜山大会,sheng'shan'da'hui
生死夫妻,sheng'si'fu'qi
升仙会,sheng'xian'hui
诗禅记,shi'chan'ji
十长生,shi'chang'sheng
十面埋伏,shi'mian'mai'fu
首阳高节,shou'yang'gao'jie
耍风情,shua'feng'qing
耍梅香,shua'mei'xiang
摔袁祥,shuai'yuan'xiang
双告状,shuang'gao'zhuang
双合欢,shuang'he'huan
双鸾栖凤,shuang'luan'qi'feng
双献头,shuang'xian'tou
双坐化,shuang'zuo'hua
水宫庆会碧莲池,shui'gong'qing'hui'bi'lian'chi
死里逃生,si'li'tao'sheng
四梦记,si'meng'ji
四女争夫,si'nv'zheng'fu
死生仇报,si'sheng'chou'bao
死生缘,si'sheng'yuan
宋公明,song'gong'ming
宋公明劫法场,song'gong'ming'jie'fa'chang
宋公明闹元宵,song'gong'ming'nao'yuan'xiao
松阴记,song'yin'ji
素娥记,su'e'ji
苏九淫奔,su'jiu'yin'ben
肃清瀚海,su'qing'han'hai
苏台奇遘,su'tai'qi'gou
苏园翁,su'yuan'weng
苏子瞻春梦记,su'zi'zhan'chun'meng'ji
锁骨菩萨,suo'gu'pu'sa
锁魔镜,suo'mo'jing
踏雪寻梅,ta'xue'xun'mei
太平乐事,tai'ping'le'shi
太平仙记,tai'ping'xian'ji
太平宴,tai'ping'yan
唐明皇七夕长生殿,tang'ming'huang'qi'xi'chang'sheng'dian
陶处士栗里致交游,tao'chu'shi'li'li'zhi'jiao'you
桃花人面,tao'hua'ren'mian
桃花源,tao'hua'yuan
桃源洞,tao'yuan'dong
天官赐福,tian'guan'ci'fu
天台梦,tian'tai'meng
天台奇遇,tian'tai'qi'yu
田真泣树,tian'zhen'qi'shu
挑灯,tiao'deng
调风月,tiao'feng'yue
铁氏女,tie'shi'nv
同甲会,tong'jia'hui
同心记,tong'xin'ji
偷桃献寿,tou'tao'xian'shou
团花凤,tuan'hua'feng
团圆梦,tuan'yuan'meng
脱囊颖,tuo'nang'ying
脱颖,tuo'ying
万国来朝,wan'guo'lai'chao
王开府,wang'kai'fu
王魁不负心,wang'kui'bu'fu'xin
王兰卿,wang'lan'qing
望仙亭,wang'xian'ting
为富不仁,wei'fu'bu'ren
韦苏州,wei'su'zhou
渭塘梦,wei'tang'meng
文长问天,wen'chang'wen'tian
文姬入塞,wen'ji'ru'sai
问貍倩谐,wen'li'qian'xie
巫娥女,wu'e'nv
五关斩将,wu'guan'zhan'jiang
误归期,wu'gui'qi
五虎困彦章,wu'hu'kun'yan'zhang
五湖游,wu'hu'you
五老庆庚星,wu'lao'qing'geng'xing
五老庆贺,wu'lao'qing'he
武陵春,wu'ling'chun
五龙朝圣,wu'long'chao'sheng
午日吟,wu'ri'yin
误入桃源,wu'ru'tao'yuan
误失金环,wu'shi'jin'huan
无双传补,wu'shuang'chuan'bu
梧桐叶,wu'tong'ye
梧桐雨,wu'tong'yu
五岳游,wu'yue'you
伍子胥力伏十虎将,wu'zi'xu'li'fu'shi'hu'jiang
西湖怨,xi'hu'yuan
西楼夜话,xi'lou'ye'hua
西厢弈棋,xi'xiang'yi'qi
西游记,xi'you'ji
夏六贤,xia'liu'xian
下西洋,xia'xi'yang
献蟠桃,xian'pan'tao
贤翁激婿,xian'weng'ji'xu
香囊怨,xiang'nang'yuan
相思谱,xiang'si'pu
小春秋,xiao'chun'qiu
孝感幽明,xiao'gan'you'ming
小李广大闹元宵夜,xiao'li'guang'da'nao'yuan'xiao'ye
小秦王跳涧,xiao'qin'wang'tiao'jian
小青传,xiao'qing'chuan
萧淑兰,xiao'shu'lan
孝义记,xiao'yi'ji
谢东山雪朝试儿女,xie'dong'shan'xue'chao'shi'er'nv
写风情,xie'feng'qing
秀才送妾,xiu'cai'song'qie
续逍遥游,xu'xiao'yao'you
穴地报仇,xue'di'bao'chou
薛季昌石室悟棋,xue'ji'chang'shi'shi'wu'qi
雪浪探奇,xue'lang'tan'qi
眼儿媚,yan'er'mei
烟花梦,yan'hua'meng
烟花判,yan'hua'pan
燕山怨,yan'shan'yuan
偃时救驾,yan'shi'jiu'jia
淹水母,yan'shui'mu
衍庄,yan'zhuang
衍庄新调,yan'zhuang'xin'tiao
羊角哀鬼战荆轲,yang'jiao'ai'gui'zhan'jing'ke
瑶池会,yao'chi'hui
瑶天笙鹤,yao'tian'sheng'he
叶孝女报仇释归,ye'xiao'nv'bao'chou'shi'gui
一麟三凤,yi'lin'san'feng
夷门宴,yi'men'yan
一门忠孝,yi'men'zhong'xiao
义妾存孤,yi'qie'cun'gu
义犬记,yi'quan'ji
易水离情,yi'shui'li'qing
一文钱,yi'wen'qian
义勇辞金,yi'yong'ci'jin
尹喜莲嫌夫记,yin'xi'lian'xian'fu'ji
姻缘帐,yin'yuan'zhang
英山梦,ying'shan'meng
樱桃园,ying'tao'yuan
英雄成败,ying'xiong'cheng'bai
有情痴,you'qing'chi
馀慈相会,yu'ci'xiang'hui
鱼儿佛,yu'er'fo
玉盒记,yu'he'ji
玉壶春,yu'hu'chun
玉栏干,yu'lan'gan
郁轮袍,yu'lun'pao
渔樵闲话,yu'qiao'xian'hua
豫章三害,yu'zhang'san'hai
玉珍娘,yu'zhen'niang
园林午梦,yuan'lin'wu'meng
远山戏,yuan'shan'xi
元宵节,yuan'xiao'jie
鸳鸯锦,yuan'yang'jin
鸳鸯寺,yuan'yang'si
鸳鸯宴,yuan'yang'yan
鸳鸯冢,yuan'yang'zhong
元夜闹东京,yuan'ye'nao'dong'jing
岳飞大破太行山,yue'fei'da'po'tai'hang'shan
岳飞三箭吓金营,yue'fei'san'jian'xia'jin'ying
月下老定世间配偶,yue'xia'lao'ding'shi'jian'pei'ou
再生缘,zai'sheng'yuan
簪花髻,zan'hua'ji
斩貂蝉,zhan'diao'chan
张季鹰因风忆故乡,zhang'ji'ying'yin'feng'yi'gu'xiang
章台柳,zhang'tai'liu
仗义疏财,zhang'yi'shu'cai
昭君出塞,zhao'jun'chu'sai
赵宣孟,zhao'xuan'meng
浙江亭,zhe'jiang'ting
折梅驿使,zhe'mei'yi'shi
折征衣,zhe'zheng'yi
真傀儡,zhen'kui'lei
甄月娥,zhen'yue'e
枕中记,zhen'zhong'ji
