安塘,an'tang
安塘服务区,an'tang'fu'wu'qu
宝马路,bao'ma'lu
布贯村,bu'guan'cun
布务,bu'wu
彩营,cai'ying
茶洞,cha'dong
茶洞影剧院,cha'dong'ying'ju'yuan
岔路村,cha'lu'cun
城北,cheng'bei
城北金山开发区,cheng'bei'jin'shan'kai'fa'qu
城北路口,cheng'bei'lu'kou
城村,cheng'cun
城南市场,cheng'nan'shi'chang
城西客运站,cheng'xi'ke'yun'zhan
赤黎,chi'li
赤黎村,chi'li'cun
冲坑,chong'keng
初城,chu'cheng
创东水泥厂,chuang'dong'shui'ni'chang
创东水泥厂宿舍,chuang'dong'shui'ni'chang'su'she
翠丰桥,cui'feng'qiao
翠石路,cui'shi'lu
大播,da'bo
大降坪,da'jiang'ping
大庆,da'qing
党校,dang'xiao
董迳,dong'jing
都杨,dou'yang
都杨工业园,dou'yang'gong'ye'yuan
凤凰广场,feng'huang'guang'chang
富丰村,fu'feng'cun
府前路,fu'qian'lu
高峰,gao'feng
高峰中学,gao'feng'zhong'xue
过境公路,guo'jing'gong'lu
浩林路口,hao'lin'lu'kou
河滨东路,he'bin'dong'lu
河滨路,he'bin'lu
河口,he'kou
红十字会,hong'shi'zi'hui
尖底,jian'di
建设南路,jian'she'nan'lu
锦绣路,jin'xiu'lu
迳口,jing'kou
经贸局,jing'mao'ju
旧公路局,jiu'gong'lu'ju
榄村,lan'cun
硫矿医院,liu'kuang'yi'yuan
龙华路,long'hua'lu
罗斗岗,luo'dou'gang
罗桂桥,luo'gui'qiao
罗坪,luo'ping
罗沙,luo'sha
罗石村,luo'shi'cun
麦州,mai'zhou
牧羊,mu'yang
南山路,nan'shan'lu
南乡,nan'xiang
蟠龙洞,pan'long'dong
蟠龙洞公园,pan'long'dong'gong'yuan
鹏石,peng'shi
汽车总站,qi'che'zong'zhan
钱罗围村,qian'luo'wei'cun
青少年宫,qing'shao'nian'gong
区人民医院,qu'ren'min'yi'yuan
榕树头,rong'shu'tou
三眼塘,san'yan'tang
山口村,shan'kou'cun
上洞,shang'dong
上洞小学,shang'dong'xiao'xue
市人民广场,shi'ren'min'guang'chang
双常,shuang'chang
双坑桥,shuang'keng'qiao
思劳,si'lao
思劳镇政府,si'lao'zhen'zheng'fu
榃满,tan'man
天湖广场,tian'hu'guang'chang
同福超市,tong'fu'chao'shi
闻莺路,wen'ying'lu
夏洞,xia'dong
消防大队,xiao'fang'da'dui
小河,xiao'he
星岩二路,xing'yan'er'lu
兴业广场,xing'ye'guang'chang
兴云东路,xing'yun'dong'lu
兴云西路,xing'yun'xi'lu
兴云中路,xing'yun'zhong'lu
循常,xun'chang
杨柳,yang'liu
影剧院,ying'ju'yuan
邮电大厦,you'dian'da'sha
云安汽车站,yun'an'qi'che'zhan
云城区建设北路,yun'cheng'qu'jian'she'bei'lu
云浮大厦,yun'fu'da'sha
云浮海关,yun'fu'hai'guan
云浮候机楼,yun'fu'hou'ji'lou
云浮日报社,yun'fu'ri'bao'she
云硫宾馆,yun'liu'bin'guan
振华桥,zhen'hua'qiao
珠洞,zhu'dong
