白旗降,bai'qi'jiang
彩虹旗降,cai'hong'qi'jiang
财主石,cai'zhu'shi
大洞,da'dong
党洋石,dang'yang'shi
吊苋,diao'xian
都成坑,dou'cheng'keng
杜陵石,du'ling'shi
峨嵋石,e'mei'shi
芙蓉石,fu'rong'shi
高山石,gao'shan'shi
焓红旗,han'hong'qi
焓红石,han'hong'shi
和尚洞,he'shang'dong
红筋纹,hong'jin'wen
鲎箕,hou'ji
花坑石,hua'keng'shi
花生糕,hua'sheng'gao
黄旗降,huang'qi'jiang
鸡角岭,ji'jiao'ling
鸡母窝,ji'mu'wo
加良山,jia'liang'shan
掘性高山石,jue'xing'gao'shan'shi
坑头冻石,keng'tou'dong'shi
坑头洞石,keng'tou'dong'shi
李红旗降,li'hong'qi'jiang
荔枝洞,li'zhi'dong
柳坪,liu'ping
柳坪石,liu'ping'shi
马背石,ma'bei'shi
玛瑙洞,ma'nao'dong
牛蛋,niu'dan
奇岗,qi'gang
奇艮,qi'gen
旗降,qi'jiang
旗降山,qi'jiang'shan
旗降石,qi'jiang'shi
善伯洞,shan'bo'dong
善伯旗,shan'bo'qi
鳝草冻,shan'cao'dong
山坑石,shan'keng'shi
山秀园,shan'xiu'yuan
石后,shi'hou
石王,shi'wang
寿山村,shou'shan'cun
寿山石,shou'shan'shi
水洞,shui'dong
水坑石,shui'keng'shi
四股四,si'gu'si
太极头,tai'ji'tou
田黄,tian'huang
田坑石,tian'keng'shi
田坑籽料,tian'keng'zi'liao
围岩,wei'yan
汶洋石,wen'yang'shi
溪坂独石,xi'ban'du'shi
溪田,xi'tian
新洞,xin'dong
银裹金旗,yin'guo'jin'qi
鱼子冻,yu'zi'dong
紫旗降,zi'qi'jiang
