哀哀怨怨后庭花,ai'ai'yuan'yuan'hou'ting'hua
芭蕉雨,ba'jiao'yu
霸王举鼎,ba'wang'ju'ding
八仙过海,ba'xian'guo'hai
拔宅飞升,ba'zhai'fei'sheng
百花亭,bai'hua'ting
白莲池,bai'lian'chi
白头吟,bai'tou'yin
拜月亭,bai'yue'ting
班超投笔,ban'chao'tou'bi
搬运太湖石,ban'yun'tai'hu'shi
包待制,bao'dai'zhi
包待制双勘钉,bao'dai'zhi'shuang'kan'ding
包待制捉旋风,bao'dai'zhi'zhuo'xuan'feng
抱石投江,bao'shi'tou'jiang
抱妆盒,bao'zhuang'he
抱子摄朝,bao'zi'she'chao
比干剖腹,bi'gan'pou'fu
婢生子,bi'sheng'zi
碧桃花,bi'tao'hua
鞭打单雄信,bian'da'shan'xiong'xin
汴河冤,bian'he'yuan
贬黄州,bian'huang'zhou
贬夜郎,bian'ye'lang
别虞姬,bie'yu'ji
并头莲,bing'tou'lian
病杨雄,bing'yang'xiong
秉烛旦,bing'zhu'dan
伯道弃子,bo'dao'qi'zi
博望烧屯,bo'wang'shao'tun
伯瑜泣杖,bo'yu'qi'zhang
不当差,bu'dang'cha
不伏老,bu'fu'lao
不及父,bu'ji'fu
采莲舟,cai'lian'zhou
彩扇题诗,cai'shan'ti'shi
蔡顺分椹,cai'shun'fen'shen
蔡琰还朝,cai'yan'hai'chao
才子留情,cai'zi'liu'qing
藏阄会,cang'jiu'hui
草庵歌,cao'an'ge
曹彬下江南,cao'bin'xia'jiang'nan
曹娥泣江,cao'e'qi'jiang
草园阁,cao'yuan'ge
策立阴皇后,ce'li'yin'huang'hou
陈仓路,chen'cang'lu
陈母教子,chen'mu'jiao'zi
陈抟高卧,chen'tuan'gao'wo
陈州粜米,chen'zhou'tiao'mi
赤壁赋,chi'bi'fu
船子和尚四不犯,chuan'zi'he'shang'si'bu'fan
捶碎黄鹤楼,chui'sui'huang'he'lou
春衫记,chun'shan'ji
崔和担生,cui'he'dan'sheng
崔护谒浆,cui'hu'ye'jiang
村乐堂,cun'le'tang
存孝打虎,cun'xiao'da'hu
村学堂,cun'xue'tang
错勘赃,cuo'kan'zang
错立身,cuo'li'shen
大拜门,da'bai'men
大报仇,da'bao'chou
打陈平,da'chen'ping
打董达,da'dong'da
打韩通,da'han'tong
大劫牢,da'jie'lao
打李焕,da'li'huan
打吕胥,da'lv'xu
大破蚩尤,da'po'chi'you
打毬会,da'qiu'hui
打瓦罐,da'wa'guan
大战邳彤,da'zhan'pi'tong
单刀会,dan'dao'hui
单刀劈四寇,dan'dao'pi'si'kou
单战吕布,dan'zhan'lv'bu
盗虎皮,dao'hu'pi
刀劈史鸦霞,dao'pi'shi'ya'xia
登坛拜将,deng'tan'bai'jiang
狄梁公,di'liang'gong
狄青扑马,di'qing'pu'ma
鼎镬谏,ding'huo'jian
钉一钉,ding'yi'ding
东窗事犯,dong'chuang'shi'fan
东篱赏菊,dong'li'shang'ju
东平府,dong'ping'fu
东坡梦,dong'po'meng
东墙记,dong'qiang'ji
东山高卧,dong'shan'gao'wo
冻苏秦,dong'su'qin
东堂老,dong'tang'lao
董宣强项,dong'xuan'qiang'xiang
洞玄升仙,dong'xuan'sheng'xian
窦娥冤,dou'e'yuan
斗鸡会,dou'ji'hui
杜甫游春,du'fu'you'chun
度黄龙,du'huang'long
独角牛,du'jiao'niu
杜鹃啼,du'juan'ti
度柳翠,du'liu'cui
杜韦娘,du'wei'niang
对玉钗,dui'yu'chai
多月亭,duo'yue'ting
饿刘友,e'liu'you
阿房宫,e'pang'gong
伐晋兴齐,fa'jin'xing'qi
阀阅舞射柳蕤丸记,fa'yue'wu'she'liu'rui'wan'ji
贩茶船,fan'cha'chuan
泛浮槎,fan'fu'cha
范蠡归湖,fan'li'gui'hu
贩扬州,fan'yang'zhou
范张鸡黍,fan'zhang'ji'shu
飞刀对箭,fei'dao'dui'jian
绯衣梦,fei'yi'meng
逢故人,feng'gu'ren
风光好,feng'guang'hao
冯驩烧券,feng'huan'shao'quan
凤皇船,feng'huang'chuan
凤凰儿,feng'huang'er
凤凰楼,feng'huang'lou
风流娘子两相宜,feng'liu'niang'zi'liang'xiang'yi
逢萌挂冠,feng'meng'gua'guan
风雪包待制,feng'xue'bao'dai'zhi
冯玉兰,feng'yu'lan
风月七真堂,feng'yue'qi'zhen'tang
负桂英,fu'gui'ying
符金锭,fu'jin'ding
复勘赃,fu'kan'zang
复落娼,fu'luo'chang
负亲沉子,fu'qin'chen'zi
芙蓉亭,fu'rong'ting
赶江江,gan'jiang'jiang
干请俸,gan'qing'feng
高凤漂麦,gao'feng'piao'mai
高祖归庄,gao'zu'gui'zhuang
高祖还乡,gao'zu'huan'xiang
隔江斗智,ge'jiang'dou'zhi
罟罟旦,gu'gu'dan
挂甲朝天,gua'jia'chao'tian
剐王莽,gua'wang'mang
管鲍分金,guan'bao'fen'jin
管宁割席,guan'ning'ge'xi
关山怨,guan'shan'yuan
鬼风月,gui'feng'yue
桂花精,gui'hua'jing
归去来兮,gui'qu'lai'xi
鬼提牢,gui'ti'lao
鬼团圆,gui'tuan'yuan
鬼子母揭钵记,gui'zi'mu'jie'bo'ji
郭桓盗官粮,guo'huan'dao'guan'liang
郭兴何杨,guo'xing'he'yang
害夫人,hai'fu'ren
还牢旦,hai'lao'dan
还牢末,hai'lao'mo
醢彭越,hai'peng'yue
汉宫秋,han'gong'qiu
韩寿偷香,han'shou'tou'xiang
韩太师,han'tai'shi
韩退之,han'tui'zhi
韩信乞食,han'xin'qi'shi
郝廉留钱,hao'lian'liu'qian
合汗衫,he'han'shan
何郎傅粉,he'lang'fu'fen
贺升平群仙祝寿,he'sheng'ping'qun'xian'zhu'shou
合同文字,he'tong'wen'zi
黑旋风,hei'xuan'feng
红梨花,hong'li'hua
红绡驿,hong'xiao'yi
红衣怪,hong'yi'guai
后庭花,hou'ting'hua
后姚婆,hou'yao'po
蝴蝶梦,hu'die'meng
虎头牌,hu'tou'pai
化胡成佛,hua'hu'cheng'fo
华清宫,hua'qing'gong
花下子,hua'xia'zi
坏尽风光,huai'jin'feng'guang
浣花溪,huan'hua'xi
宦门子弟乔吊诨,huan'men'zi'di'qiao'diao'hun
欢喜冤家,huan'xi'yuan'jia
黄鹤楼,huang'he'lou
黄花峪,huang'hua'yu
黄花寨,huang'hua'zhai
黄金台,huang'jin'tai
黄粱梦,huang'liang'meng
黄鲁直打到底,huang'lu'zhi'da'dao'di
谎秀才,huang'xiu'cai
灰阑记,hui'lan'ji
霍光鬼谏,huo'guang'gui'jian
货郎旦,huo'lang'dan
货郎末泥,huo'lang'mo'ni
活拿萧天佑,huo'na'xiao'tian'you
火烧袄庙,huo'shao'ao'miao
火烧阿房宫,huo'shao'e'pang'gong
火烧纪信,huo'shao'ji'xin
汲黯开仓,ji'an'kai'cang
祭浐水,ji'chan'shui
鸡鸣度关,ji'ming'du'guan
继母大贤,ji'mu'da'xian
祭三王,ji'san'wang
佳人写恨,jia'ren'xie'hen
剪发待宾,jian'fa'dai'bin
荐福碑,jian'fu'bei
鉴湖亭,jian'hu'ting
荐马周,jian'ma'zhou
箭射双雕,jian'she'shuang'diao
姜肱共被,jiang'gong'gong'bei
江梅怨,jiang'mei'yuan
蒋神灵应,jiang'shen'ling'ying
浇花旦,jiao'hua'dan
教女兵,jiao'nv'bing
借布衫,jie'bu'shan
节妇牌,jie'fu'pai
借尸还魂,jie'shi'huan'hun
介子推,jie'zi'tui
金篦刺目,jin'bi'ci'mu
金钗剪烛,jin'chai'jian'zhu
锦帆舟,jin'fan'zhou
金凤钗,jin'feng'chai
进梅谏,jin'mei'jian
金钱记,jin'qian'ji
锦堂风月,jin'tang'feng'yue
进西施,jin'xi'shi
金线池,jin'xian'chi
锦香亭,jin'xiang'ting
敬德降唐,jing'de'jiang'tang
敬德扑马,jing'de'pu'ma
荆公遣妾,jing'gong'qian'qie
荆娘盗果,jing'niang'dao'guo
荆娘怨,jing'niang'yuan
京娘怨,jing'niang'yuan
酒德颂,jiu'de'song
救风尘,jiu'feng'chen
九宫八卦阵,jiu'gong'ba'gua'zhen
九龙庙,jiu'long'miao
九世同居,jiu'shi'tong'ju
救孝子,jiu'xiao'zi
救亚子,jiu'ya'zi
救周勃,jiu'zhou'bo
举案齐眉,ju'an'qi'mei
菊花会,ju'hua'hui
聚兽牌,ju'shou'pai
绝缨会,jue'ying'hui
开仓籴米,kai'cang'di'mi
开哑禅,kai'ya'chan
开诏救忠,kai'zhao'jiu'zhong
勘风情,kan'feng'qing
勘吉平,kan'ji'ping
勘金环,kan'jin'huan
勘龙衣,kan'long'yi
看钱奴,kan'qian'nu
勘头巾,kan'tou'jin
坑儒焚典,keng'ru'fen'dian
哭存孝,ku'cun'xiao
酷寒亭,ku'han'ting
哭韩信,ku'han'xin
哭孺子,ku'ru'zi
哭魏徵,ku'wei'zheng
哭香囊,ku'xiang'nang
哭晏婴,ku'yan'ying
哭昭君,ku'zhao'jun
哭周瑜,ku'zhou'yu
蓝采和,lan'cai'he
兰昌宫,lan'chang'gong
蓝关记,lan'guan'ji
老君堂,lao'jun'tang
老生儿,lao'sheng'er
老收心,lao'shou'xin
乐昌分镜,le'chang'fen'jing
酹江月,lei'jiang'yue
丽春堂,li'chun'tang
丽春园,li'chun'yuan
李夫人,li'fu'ren
梨花雨,li'hua'yu
李逵负荆,li'kui'fu'jing
李师师,li'shi'shi
立宣帝,li'xuan'di
