阿拉坦噶乐布尔特,a'la'tan'ga'le'bu'er'te
阿勒帕梅斯,a'le'pa'mei'si
阿勒帕米西,a'le'pa'mi'xi
阿娜尔与赛吾来别克,a'na'er'yu'sai'wu'lai'bie'ke
阿荣和略岗,a'rong'he'lue'gang
阿诗玛,a'shi'ma
阿细的先基,a'xi'de'xian'ji
阿仰兄妹制人烟,a'yang'xiong'mei'zhi'ren'yan
艾尔托什吐克,ai'er'tuo'shen'tu'ke
艾里甫赛乃姆,ai'li'fu'sai'nai'mu
安哥南霍,an'ge'nan'huo
安王和祖王,an'wang'he'zu'wang
奥色密色,ao'se'mi'se
跋山涉水,ba'shan'she'shui
布卡与兰莎,bu'ka'yu'lan'sha
布洛陀,bu'luo'tuo
不愿出嫁的姑娘,bu'yuan'chu'jia'de'gu'niang
查姆,cha'mu
查姆斯娅,cha'mu'si'ya
唱英台,chang'ying'tai
成吉思汗的两匹骏马,cheng'ji'si'han'de'liang'pi'jun'ma
成主传,cheng'zhu'chuan
重逢调,chong'feng'tiao
出门调,chu'men'tiao
传扬歌,chuan'yang'ge
创世歌,chuang'shi'ge
创世纪,chuang'shi'ji
达备之歌,da'bei'zhi'ge
达古达楞格莱标,da'gu'da'leng'ge'lai'biao
达那巴拉,da'na'ba'la
打杀蜈蚣,da'sha'wu'gong
达稳之歌,da'wen'zhi'ge
打柱撑天,da'zhu'cheng'tian
独戈王,du'ge'wang
娥并与桑洛,e'bing'yu'sang'luo
娥娇与金丹,e'jiao'yu'jin'dan
娥扎和召觉思那,e'zha'he'zhao'jue'si'na
放羊歌,fang'yang'ge
放鹞曲,fang'yao'qu
飞毯的故事,fei'tan'de'gu'shi
枫木歌,feng'mu'ge
嘎达梅林,ga'da'mei'lin
高大魁伟的英雄汉额斯木,gao'da'kui'wei'de'ying'xiong'han'e'si'mu
告刚,gao'gang
格萨尔王传,ge'sa'er'wang'chuan
格斯尔可汗,ge'si'er'ke'han
格瓦桑布,ge'wa'sang'bu
孤儿传,gu'er'chuan
古扎与春红,gu'zha'yu'chun'hong
光铁芳,guang'tie'fang
哈迈,ha'mai
何东与何西,he'dong'yu'he'xi
黑白之战,hei'bai'zhi'zhan
红宝石,hong'bao'shi
洪水潮天,hong'shui'chao'tian
洪水滔天,hong'shui'tao'tian
鸿雁带书,hong'yan'dai'shu
蝴蝶歌,hu'die'ge
黄黛琛,huang'dai'chen
黄氏女对金刚经,huang'shi'nv'dui'jin'gang'jing
简大王歌,jian'da'wang'ge
箭筒士阿尔戈聪的传说,jian'tong'shi'a'er'ge'cong'de'chuan'shuo
江格尔,jiang'ge'er
锦鸡,jin'ji
金银王歌,jin'yin'wang'ge
金竹情,jin'zhu'qing
久宜和欧金,jiu'yi'he'ou'jin
居诗老,ju'shi'lao
喀勒喀曼和玛莫尔,ka'le'ka'man'he'ma'mo'er
凯诺和凯刚,kai'nuo'he'kai'gang
开山的钥匙,kai'shan'de'yao'shi
开天立地,kai'tian'li'di
开天辟地,kai'tian'pi'di
康巴尔,kang'ba'er
克里木的四十位英雄,ke'li'mu'de'si'shi'wei'ying'xiong
控告土官歌,kong'gao'tu'guan'ge
孔雀东南飞,kong'que'dong'nan'fei
阔布兰德,kuo'bu'lan'de
拉仁布与且门索,la'ren'bu'yu'qie'men'suo
勒俄特依,le'e'te'yi
厘俸,li'feng
力芝与索布,li'zhi'yu'suo'bu
林氏女望郎,lin'shi'nv'wang'lang
刘二姐,liu'er'jie
六月六,liu'yue'liu
罗华先,luo'hua'xian
马骨胡之歌,ma'gu'hu'zhi'ge
妈妈的女儿,ma'ma'de'nv'er
玛玛克与绍波克,ma'ma'ke'yu'shao'bo'ke
玛纳斯,ma'na'si
马五哥与尕豆妹,ma'wu'ge'yu'ga'dou'mei
满斗莫日根,man'dou'mo'ri'gen
毛红和玉音,mao'hong'he'yu'yin
梅葛,mei'ge
孟姜女,meng'jiang'nv
密洛陀,mi'luo'tuo
苗王张老岩,miao'wang'zhang'lao'yan
莫一大王,mo'yi'da'wang
木姐珠与斗安珠,mu'jie'zhu'yu'dou'an'zhu
木兰诗,mu'lan'shi
木脑斋瓦,mu'nao'zhai'wa
牡帕密帕,mu'pa'mi'pa
尼山萨满,ni'shan'sa'man
娘阿莎,niang'a'sha
奴隶和少女,nu'li'he'shao'nv
诺利格尔玛,nuo'li'ge'er'ma
盘瓠王歌,pan'hu'wang'ge
匏王歌,pao'wang'ge
祁家延西,qi'jia'yan'xi
迁徙歌,qian'xi'ge
青姑娘,qing'gu'niang
人与龙,ren'yu'long
萨巴拉克,sa'ba'la'ke
萨里哈与萨曼,sa'li'ha'yu'sa'man
赛胡细妹造人烟,sai'hu'xi'mei'zao'ren'yan
三位老人之歌,san'wei'lao'ren'zhi'ge
桑妹与西郎,sang'mei'yu'xi'lang
少年阔孜和少女巴颜,shao'nian'kuo'zi'he'shao'nv'ba'yan
少女吉别克,shao'nv'ji'bie'ke
沈七哥,shen'qi'ge
生产调,sheng'chan'tiao
十二层天十二层海,shi'er'ceng'tian'shi'er'ceng'hai
十二个太阳,shi'er'ge'tai'yang
双姑传,shuang'gu'chuan
溯河西迁,su'he'xi'qian
逃婚调,tao'hun'tiao
陶克陶胡,tao'ke'tao'hu
特华之歌,te'hua'zhi'ge
特康射太阳,te'kang'she'tai'yang
天府侗迁徙歌,tian'fu'dong'qian'xi'ge
王仙姑,wang'xian'gu
王玉莲,wang'yu'lian
文龙与肖尼,wen'long'yu'xiao'ni
我的幺表妹,wo'de'yao'biao'mei
吴凤姐,wu'feng'jie
五姑娘,wu'gu'niang
乌古斯传,wu'gu'si'chuan
伍焕林,wu'huan'lin
西岗里,xi'gang'li
香叟莫日根,xiang'sou'mo'ri'gen
相秀,xiang'xiu
小青青,xiao'qing'qing
小莺哭嫁,xiao'ying'ku'jia
兄当与别莉,xiong'dang'yu'bie'li
兄妹结婚,xiong'mei'jie'hun
血汗衫,xue'han'shan
薛六郎,xue'liu'lang
杨亚射日月,yang'ya'she'ri'yue
尧熬尔来自西州哈卓,yao'ao'er'lai'zi'xi'zhou'ha'zhuo
叶罕佐与冒弄央,ye'han'zuo'yu'mao'nong'yang
爷觉力唐歌,ye'jue'li'tang'ge
引郎美道,yin'lang'mei'dao
英格与勒城,ying'ge'yu'le'cheng
英雄阿尔卡勒克,ying'xiong'a'er'ka'le'ke
英雄塔尔根,ying'xiong'ta'er'gen
英雄托斯提克,ying'xiong'tuo'si'ti'ke
英雄谢力扎特,ying'xiong'xie'li'zha'te
勇士谷诺干,yong'shi'gu'nuo'gan
游悲,you'bei
友蓉伴依,you'rong'ban'yi
幽骚,you'sao
鸳鸯岩,yuan'yang'yan
月亮歌,yue'liang'ge
运金运银,yun'jin'yun'yin
在不幸的擦瓦绒,zai'bu'xing'de'ca'wa'rong
则嘎老,ze'ga'lao
张秀眉之歌,zhang'xiu'mei'zhi'ge
赵圣关,zhao'sheng'guan
召树屯,zhao'shu'tun
找药,zhao'yao
遮帕麻和遮米麻,zhe'pa'ma'he'zhe'mi'ma
征服三百泰亦赤兀惕人的故事,zheng'fu'san'bai'tai'yi'chi'wu'ti'ren'de'gu'shi
智勇的王子希热图,zhi'yong'de'wang'zi'xi're'tu
中法战争史歌,zhong'fa'zhan'zheng'shi'ge
钟九闹漕和双合莲,zhong'jiu'nao'cao'he'shuang'he'lian
珠郎与娘美,zhu'lang'yu'niang'mei
铸日造月,zhu'ri'zao'yue
