宝矿,bao'kuang
贝尔路,bei'er'lu
车站附近,che'zhan'fu'jin
奋斗镇,fen'dou'zhen
富强村,fu'qiang'cun
工人新村,gong'ren'xin'cun
光明村,guang'ming'cun
哈克村,ha'ke'cun
哈克镇,ha'ke'zhen
河东,he'dong
和平村,he'ping'cun
河西,he'xi
合作村,he'zuo'cun
互助村,hu'zhu'cun
健康办,jian'kang'ban
健康办事处,jian'kang'ban'shi'chu
建设镇,jian'she'zhen
矿区,kuang'qu
联合村,lian'he'cun
联合一村,lian'he'yi'cun
玫瑰园,mei'gui'yuan
木兰街,mu'lan'jie
仁德里街,ren'de'li'jie
三角地,san'jiao'di
胜利村,sheng'li'cun
十六号村,shi'liu'hao'cun
铁路,tie'lu
铁路道北牡丹小区,tie'lu'dao'bei'mu'dan'xiao'qu
铁路工人新村八道街,tie'lu'gong'ren'xin'cun'ba'dao'jie
铁路工人新村二道街,tie'lu'gong'ren'xin'cun'er'dao'jie
铁路工人新村二十道街,tie'lu'gong'ren'xin'cun'er'shi'dao'jie
铁路工人新村九道街,tie'lu'gong'ren'xin'cun'jiu'dao'jie
铁路工人新村六道街,tie'lu'gong'ren'xin'cun'liu'dao'jie
铁路工人新村七道街,tie'lu'gong'ren'xin'cun'qi'dao'jie
铁路工人新村三道街,tie'lu'gong'ren'xin'cun'san'dao'jie
铁路工人新村十八道街,tie'lu'gong'ren'xin'cun'shi'ba'dao'jie
铁路工人新村十道街,tie'lu'gong'ren'xin'cun'shi'dao'jie
铁路工人新村十二道街,tie'lu'gong'ren'xin'cun'shi'er'dao'jie
铁路工人新村十九道街,tie'lu'gong'ren'xin'cun'shi'jiu'dao'jie
铁路工人新村十六道街,tie'lu'gong'ren'xin'cun'shi'liu'dao'jie
铁路工人新村十七道街,tie'lu'gong'ren'xin'cun'shi'qi'dao'jie
铁路工人新村十三道街,tie'lu'gong'ren'xin'cun'shi'san'dao'jie
铁路工人新村十四道街,tie'lu'gong'ren'xin'cun'shi'si'dao'jie
铁路工人新村十五道街,tie'lu'gong'ren'xin'cun'shi'wu'dao'jie
铁路工人新村十一道街,tie'lu'gong'ren'xin'cun'shi'yi'dao'jie
铁路工人新村四道街,tie'lu'gong'ren'xin'cun'si'dao'jie
铁路工人新村五道街,tie'lu'gong'ren'xin'cun'wu'dao'jie
铁路工人新村一道街,tie'lu'gong'ren'xin'cun'yi'dao'jie
团结村,tuan'jie'cun
向华办事处,xiang'hua'ban'shi'chu
新区,xin'qu
友好村,you'hao'cun
友联村,you'lian'cun
扎兰屯路,zha'lan'tun'lu
扎罗木得村,zha'luo'mu'de'cun
