阿飞,a'fei
阿凯,a'kai
阿斯玛,a'si'ma
暗部,an'bu
暗号班,an'hao'ban
奥义朱红色螺旋丸,ao'yi'zhu'hong'se'luo'xuan'wan
八卦封印,ba'gua'feng'yin
八卦空掌,ba'gua'kong'zhang
八卦六十四掌,ba'gua'liu'shi'si'zhang
八门闭场不缘,ba'men'bi'chang'bu'yuan
八门遁甲,ba'men'dun'jia
八歧大蛇,ba'qi'da'she
八歧之术,ba'qi'zhi'shu
八色忍者,ba'se'ren'zhe
八尾,ba'wei
八咫镜,ba'zhi'jing
白磷大蛇,bai'lin'da'she
白秘技,bai'mi'ji
百人操演,bai'ren'cao'yan
白牙,bai'ya
白眼,bai'yan
半藏,ban'zang
爆水冲波,bao'shui'chong'bo
倍化术,bei'hua'shu
变身术,bian'shen'shu
表莲华,biao'lian'hua
冰遁,bing'dun
兵之书,bing'zhi'shu
波风皆人,bo'feng'jie'ren
波风水门,bo'feng'shui'men
波之国,bo'zhi'guo
不知火玄间,bu'zhi'huo'xuan'jian
苍蓝野兽,cang'lan'ye'shou
操风车三之大刀,cao'feng'che'san'zhi'da'dao
草忍村,cao'ren'cun
草剃剑,cao'ti'jian
操袭刃,cao'xi'ren
草雉剑,cao'zhi'jian
查克拉,cha'ke'la
查克拉刀,cha'ke'la'dao
长门,chang'men
长十郎,chang'shi'lang
超倍化术,chao'bei'hua'shu
超大玉螺旋丸,chao'da'yu'luo'xuan'wan
朝孔雀,chao'kong'que
超兽伪画,chao'shou'wei'hua
超推手,chao'tui'shou
橙水,cheng'shui
赤砂之蝎,chi'sha'zhi'xie
赤丸,chi'wan
虫分身,chong'fen'shen
虫玉,chong'yu
初代目,chu'dai'mu
畜生道,chu'sheng'dao
雏田,chu'tian
传说中的三忍,chuan'shuo'zhong'de'san'ren
创造再生,chuang'zao'zai'sheng
春野樱,chun'ye'ying
此处非之处,ci'chu'fei'zhi'chu
此处非之术,ci'chu'fei'zhi'shu
大和,da'he
大火球之术,da'huo'qiu'zhi'shu
大名,da'ming
大瀑布术,da'pu'bu'shu
大瀑布之术,da'pu'bu'zhi'shu
大蛇丸,da'she'wan
大玉螺旋丸,da'yu'luo'xuan'wan
达兹纳,da'zi'na
带土,dai'tu
单勾玉,dan'gou'yu
地爆天星,di'bao'tian'xing
迪达拉,di'da'la
第二次忍界大战,di'er'ci'ren'jie'da'zhan
第二代,di'er'dai
第六代,di'liu'dai
地陆,di'lu
第三次忍界大战,di'san'ci'ren'jie'da'zhan
第三代,di'san'dai
第四代,di'si'dai
第五代,di'wu'dai
第一次忍界大战,di'yi'ci'ren'jie'da'zhan
地狱道,di'yu'dao
地之咒印,di'zhi'zhou'yin
蝶弹轰炸,die'dan'hong'zha
丁次,ding'ci
斗之书,dou'zhi'shu
短刀斩,duan'dao'zhan
队长,dui'zhang
多重影分身术,duo'chong'ying'fen'shen'shu
多由也,duo'you'ye
恶鬼道,e'gui'dao
二代目,er'dai'mu
二尾,er'wei
飞镖影分身之术,fei'biao'ying'fen'shen'zhi'shu
飞段,fei'duan
飞雷神之术,fei'lei'shen'zhi'shu
绯流琥,fei'liu'hu
风遁,feng'dun
风遁练空弹,feng'dun'lian'kong'dan
封黑法印,feng'hei'fa'yin
封火法印,feng'huo'fa'yin
风魔手里剑,feng'mo'shou'li'jian
凤仙火之术,feng'xian'huo'zhi'shu
封邪法印,feng'xie'fa'yin
封印,feng'yin
封印术,feng'yin'shu
风影,feng'ying
缝影术,feng'ying'shu
风之国,feng'zhi'guo
缚金幻术,fu'jin'huan'shu
复制忍者,fu'zhi'ren'zhe
纲手,gang'shou
纲手姬,gang'shou'ji
纲手婆,gang'shou'po
勾玉,gou'yu
鬼澄满月,gui'cheng'man'yue
鬼澄水月,gui'cheng'shui'yue
鬼刀七人众,gui'dao'qi'ren'zhong
鬼鲛,gui'jiao
鬼人再不斩,gui'ren'zai'bu'zhan
蛤蟆,ha'ma
蛤蟆短刀斩,ha'ma'duan'dao'zhan
蛤蟆广,ha'ma'guang
蛤蟆吉,ha'ma'ji
蛤蟆健,ha'ma'jian
蛤蟆口束缚术,ha'ma'kou'shu'fu'shu
蛤蟆老大,ha'ma'lao'da
蛤蟆皮影操之术,ha'ma'pi'ying'cao'zhi'shu
蛤蟆平影操之术,ha'ma'ping'ying'cao'zhi'shu
蛤蟆油炎弹,ha'ma'you'yan'dan
豪火球之术,hao'huo'qiu'zhi'shu
豪水腕,hao'shui'wan
黑暗行之术,hei'an'xing'zhi'shu
黑秘技,hei'mi'ji
黑夜舞者,hei'ye'wu'zhe
黑蚁,hei'yi
黑雨之术,hei'yu'zhi'shu
红豆,hong'dou
红秘技,hong'mi'ji
红色夕阳,hong'se'xi'yang
后宫术,hou'gong'shu
花火,hua'huo
幻龙九封尽,huan'long'jiu'feng'jin
幻术,huan'shu
幻术型,huan'shu'xing
黄泉沼,huang'quan'zhao
黄色闪光,huang'se'shan'guang
惠比寿,hui'bi'shou
惠比斯,hui'bi'si
惠比须,hui'bi'xu
回天,hui'tian
秽土转生,hui'tu'zhuan'sheng
辉夜,hui'ye
辉夜君麻吕,hui'ye'jun'ma'lv
辉夜一族,hui'ye'yi'zu
火遁,huo'dun
火遁头刻苦,huo'dun'tou'ke'ku
火龙炎弹,huo'long'yan'dan
火影,huo'ying
火影忍者,huo'ying'ren'zhe
火影岩,huo'ying'yan
火之国,huo'zhi'guo
火走,huo'zou
寄坏虫,ji'huai'chong
机机一发,ji'ji'yi'fa
己生转生,ji'sheng'zhuan'sheng
加流罗,jia'liu'luo
假寐之术,jia'mei'zhi'shu
角都,jiao'dou
鲛肌,jiao'ji
鲛肌大刀,jiao'ji'da'dao
金缚之术,jin'fu'zhi'shu
金刚牢壁,jin'gang'lao'bi
金色闪光,jin'se'shan'guang
禁术,jin'shu
近松十人众,jin'song'shi'ren'zhong
近战型,jin'zhan'xing
井野,jing'ye
静音,jing'yin
九尾,jiu'wei
九尾螺旋丸,jiu'wei'luo'xuan'wan
飓风水涡之术,ju'feng'shui'wo'zhi'shu
绝对防御,jue'dui'fang'yu
君麻吕,jun'ma'lv
卡卡西,ka'ka'xi
开眼,kai'yan
勘九郎,kan'jiu'lang
堪九郎,kan'jiu'lang
拷贝忍者卡卡西,kao'bei'ren'zhe'ka'ka'xi
口寄之术,kou'ji'zhi'shu
苦无,ku'wu
傀儡师,kui'lei'shi
傀儡术,kui'lei'shu
蛞蝓大人,kuo'yu'da'ren
牢不可破,lao'bu'ke'po
老蛤蟆仙人,lao'ha'ma'xian'ren
雷遁影分身,lei'dun'ying'fen'shen
雷分身,lei'fen'shen
雷切,lei'qie
雷影,lei'ying
雷之国,lei'zhi'guo
雷之虎,lei'zhi'hu
里莲华,li'lian'hua
李洛克,li'luo'ke
镰鼬之术,lian'you'zhi'shu
烈风掌,lie'feng'zhang
临之书,lin'zhi'shu
灵媒,ling'mei
六代火影,liu'dai'huo'ying
六代目,liu'dai'mu
六道轮回,liu'dao'lun'hui
六道仙人,liu'dao'xian'ren
六尾,liu'wei
柳之舞,liu'zhi'wu
泷分身,long'fen'shen
笼中鸟咒印,long'zhong'niao'zhou'yin
鹿丸,lu'wan
乱狮子发之术,luan'shi'zi'fa'zhi'shu
轮回眼,lun'hui'yan
洛克李,luo'ke'li
罗生门,luo'sheng'men
螺旋连丸,luo'xuan'lian'wan
螺旋手里剑,luo'xuan'shou'li'jian
螺旋丸,luo'xuan'wan
绿苗,lv'miao
迈特凯,mai'te'kai
毛针千本,mao'zhen'qian'ben
门左卫门,men'zuo'wei'men
秘技,mi'ji
秘术,mi'shu
弥彦,mi'yan
妙木山,miao'mu'shan
鸣人大桥,ming'ren'da'qiao
鸣人连弹,ming'ren'lian'tan
鸣人两千连弹,ming'ren'liang'qian'lian'tan
墨分身,mo'fen'shen
魔幻此处非之,mo'huan'ci'chu'fei'zhi
魔镜冰晶,mo'jing'bing'jing
墨隐,mo'yin
木遁,mu'dun
木遁秘术树界降诞,mu'dun'mi'shu'shu'jie'jiang'dan
木分身,mu'fen'shen
木叶,mu'ye
木叶八色,mu'ye'ba'se
木叶白牙,mu'ye'bai'ya
木叶大旋风,mu'ye'da'xuan'feng
木叶警备部队,mu'ye'jing'bei'bu'dui
木叶警察部队,mu'ye'jing'cha'bu'dui
木叶流体术,mu'ye'liu'ti'shu
木叶名门,mu'ye'ming'men
木叶忍者村,mu'ye'ren'zhe'cun
木叶丸,mu'ye'wan
木叶旋风,mu'ye'xuan'feng
木叶医疗队长,mu'ye'yi'liao'dui'zhang
木之叶烈风,mu'zhi'ye'lie'feng
木之叶旋风,mu'zhi'ye'xuan'feng
奈烙见之术,nai'lao'jian'zhi'shu
奈良鹿久,nai'liang'lu'jiu
奈良鹿丸,nai'liang'lu'wan
拟人忍法,ni'ren'ren'fa
拟兽忍法,ni'shou'ren'fa
逆召唤术,ni'zhao'huan'shu
涅槃精舍之术,nie'pan'jing'she'zhi'shu
宁次,ning'ci
叛忍,pan'ren
佩恩,pei'en
佩恩六道,pei'en'liu'dao
破奔流,po'ben'liu
起爆粘土,qi'bao'nian'tu
七代火影,qi'dai'huo'ying
奇拉维,qi'la'wei
麒麟,qi'lin
旗木卡卡西,qi'mu'ka'ka'xi
旗木朔茂,qi'mu'shuo'mao
七尾,qi'wei
契约,qi'yue
千代婆婆,qian'dai'po'po
千年杀,qian'nian'sha
千鸟,qian'niao
千鸟流,qian'niao'liu
千杀水翔,qian'sha'shui'xiang
千手扉间,qian'shou'fei'jian
千手纲手姬,qian'shou'gang'shou'ji
千手绳树,qian'shou'sheng'shu
千手一族,qian'shou'yi'zu
千手柱间,qian'shou'zhu'jian
潜影蛇手,qian'ying'she'shou
切都,qie'dou
秋道丁次,qiu'dao'ding'ci
秋道丁座,qiu'dao'ding'zuo
秋道长治,qiu'dao'zhang'zhi
犬冢花,quan'zhong'hua
犬冢牙,quan'zhong'ya
犬冢爪,quan'zhong'zhao
忍村,ren'cun
忍刀七人众,ren'dao'qi'ren'zhong
忍法,ren'fa
人间道,ren'jian'dao
忍界大战,ren'jie'da'zhan
忍犬,ren'quan
忍术,ren'shu
忍术之祖,ren'shu'zhi'zu
忍者,ren'zhe
忍者之祖,ren'zhe'zhi'zu
人柱力,ren'zhu'li
日向,ri'xiang
日向雏田,ri'xiang'chu'tian
日向花火,ri'xiang'hua'huo
日向宁次,ri'xiang'ning'ci
日向日差,ri'xiang'ri'cha
日向日足,ri'xiang'ri'zu
日向一族,ri'xiang'yi'zu
容器,rong'qi
柔步双狮拳,rou'bu'shuang'shi'quan
肉弹战车,rou'dan'zhan'che
肉弹针战,rou'dan'zhen'zhan
柔拳,rou'quan
如雨露千本,ru'yu'lu'qian'ben
如雨露千针,ru'yu'lu'qian'zhen
三重罗生门,san'chong'luo'sheng'men
三船,san'chuan
三代目,san'dai'mu
三勾玉,san'gou'yu
三忍,san'ren
三日月之舞,san'ri'yue'zhi'wu
三尾,san'wei
色诱术,se'you'shu
色诱之术,se'you'zhi'shu
森乃伊比喜,sen'nai'yi'bi'xi
森之千手一族,sen'zhi'qian'shou'yi'zu
砂暴送葬,sha'bao'song'zang
砂分身,sha'fen'shen
砂缚柩,sha'fu'jiu
砂缚牢,sha'fu'lao
砂瀑大葬,sha'pu'da'zang
砂瀑送葬,sha'pu'song'zang
砂忍,sha'ren
砂手里剑,sha'shou'li'jian
砂铁时雨,sha'tie'shi'yu
砂隐,sha'yin
砂隐村,sha'yin'cun
砂隐忍者村,sha'yin'ren'zhe'cun
砂之绝对防御,sha'zhi'jue'dui'fang'yu
砂之铠甲,sha'zhi'kai'jia
砂之守鹤,sha'zhi'shou'he
山椒鱼,shan'jiao'yu
山椒鱼半藏,shan'jiao'yu'ban'zang
山中亥一,shan'zhong'hai'yi
山中井野,shan'zhong'jing'ye
上忍,shang'ren
蛇分身,she'fen'shen
神罗天征,shen'luo'tian'zheng
神威,shen'wei
神无昆桥,shen'wu'kun'qiao
身转心之术,shen'zhuan'xin'zhi'shu
深作,shen'zuo
绳树,sheng'shu
矢仓,shi'cang
尸骨脉,shi'gu'mai
尸鬼封尽,shi'gui'feng'jin
尸鬼封禁,shi'gui'feng'jin
十拳剑,shi'quan'jian
十指穿弹,shi'zhi'chuan'dan
狮子连弹,shi'zi'lian'tan
守鹤,shou'he
守鹤之盾,shou'he'zhi'dun
守鹤之矛,shou'he'zhi'mao
守护忍十二仕,shou'hu'ren'shi'er'shi
手鞠,shou'ju
手里剑,shou'li'jian
手里剑螺旋丸,shou'li'jian'luo'xuan'wan
手里剑影分身术,shou'li'jian'ying'fen'shen'shu
树搏杀之术,shu'bo'sha'zhi'shu
树界降诞,shu'jie'jiang'dan
双穿光,shuang'chuan'guang
双雷震,shuang'lei'zhen
双蛇相杀,shuang'she'xiang'sha
水遁,shui'dun
水遁铁炮弹,shui'dun'tie'pao'dan
水分身,shui'fen'shen
水户门炎,shui'hu'men'yan
水化术,shui'hua'shu
水化之术,shui'hua'zhi'shu
水牢术,shui'lao'shu
水龙弹,shui'long'dan
水乱波,shui'luan'bo
水清波,shui'qing'bo
水影,shui'ying
水月,shui'yue
水阵壁,shui'zhen'bi
水之国,shui'zhi'guo
瞬身术,shun'shen'shu
瞬身止水,shun'shen'zhi'shui
四代风影,si'dai'feng'ying
四代目,si'dai'mu
四代水影,si'dai'shui'ying
四脚之术,si'jiao'zhi'shu
四牢柱之术,si'lao'zhu'zhi'shu
四面八方手里剑之术,si'mian'ba'fang'shou'li'jian'zhi'shu
四尾,si'wei
四象封印,si'xiang'feng'yin
四柱家之术,si'zhu'jia'zhi'shu
四柱束缚之术,si'zhu'shu'fu'zhi'shu
四紫雾阵,si'zi'wu'zhen
四紫炎阵,si'zi'yan'zhen
唐松之舞,tang'song'zhi'wu
桃地再不斩,tao'di'zai'bu'zhan
逃忍,tao'ren
特别上忍,te'bie'shang'ren
替身术,ti'shen'shu
体术,ti'shu
体术型,ti'shu'xing
天藏大和,tian'cang'da'he
天从云之剑,tian'cong'yun'zhi'jian
天道,tian'dao
天道佩恩,tian'dao'pei'en
天地桥,tian'di'qiao
天善琳,tian'shan'lin
天天,tian'tian
天照,tian'zhao
天之咒,tian'zhi'zhou
铁蒺藜,tie'ji'li
铁线花之舞,tie'xian'hua'zhi'wu
铁血凯,tie'xue'kai
铁之国,tie'zhi'guo
通灵秽土转生,tong'ling'hui'tu'zhuan'sheng
通灵兽,tong'ling'shou
通灵术,tong'ling'shu
通灵之术,tong'ling'zhi'shu
土遁,tu'dun
土分身,tu'fen'shen
土流壁,tu'liu'bi
土流大河,tu'liu'da'he
土龙弹,tu'long'dan
土影,tu'ying
土之国,tu'zhi'guo
土中映鱼之术,tu'zhong'ying'yu'zhi'shu
团藏,tuan'cang
蛙鸣,wa'ming
瓦片手里剑,wa'pian'shou'li'jian
外道,wai'dao
外道轮回天生之术,wai'dao'lun'hui'tian'sheng'zhi'shu
外道魔像,wai'dao'mo'xiang
万花镜,wan'hua'jing
万花镜写轮眼,wan'hua'jing'xie'lun'yan
万花筒开眼,wan'hua'tong'kai'yan
