奥创,ao'chuang
奥丁大帝,ao'ding'da'di
白皇后,bai'huang'hou
北极星,bei'ji'xing
彼得奎尓,bi'de'kui'er
博士,bo'shi
绯红女巫,fei'hong'nv'wu
复仇者联盟,fu'chou'zhe'lian'meng
钢铁侠,gang'tie'xia
格鲁特,ge'lu'te
哈比,ha'bi
海拉,hai'la
捍卫者联盟,han'wei'zhe'lian'meng
黑豹,hei'bao
黑寡妇,hei'gua'fu
红骷髅,hong'ku'lou
幻视,huan'shi
黄蜂女,huang'feng'nv
火箭,huo'jian
杰西卡琼斯,jie'xi'ka'qiong'si
金刚狼,jin'gang'lang
卡魔拉,ka'mo'la
快银,kuai'yin
雷神,lei'shen
洛基,luo'ji
绿巨人,lv'ju'ren
美国队长,mei'guo'dui'zhang
灭霸,mie'ba
魔形女,mo'xing'nv
死待,si'dai
松鼠妹,song'shu'mei
铁拳,tie'quan
万磁王,wan'ci'wang
小辣椒,xiao'la'jiao
星爵,xing'jue
星云,xing'yun
夜魔侠,ye'mo'xia
蚁人,yi'ren
银河护卫队,yin'he'hu'wei'dui
鹰眼,ying'yan
勇度,yong'du
战警,zhan'jing
战争机器,zhan'zheng'ji'qi
蜘蛛侠,zhi'zhu'xia
