半园键,ban'yuan'jian
杯型倒档垫圈,bei'xing'dao'dang'dian'quan
杯形倒档垫圈,bei'xing'dao'dang'dian'quan
变速箱壳体,bian'su'xiang'qiao'ti
变速箱纸垫,bian'su'xiang'zhi'dian
拨叉,bo'cha
拨叉架,bo'cha'jia
拨叉轴,bo'cha'zhou
拨叉轴联锁销,bo'cha'zhou'lian'suo'xiao
拨头,bo'tou
操纵窗口,cao'zong'chuang'kou
操纵装置壳体,cao'zong'zhuang'zhi'qiao'ti
操纵装置总成,cao'zong'zhuang'zhi'zong'cheng
叉轴,cha'zhou
齿轮隔套,chi'lun'ge'tao
磁铁,ci'tie
单管卡箍,dan'guan'ka'gu
档同步器总成,dang'tong'bu'qi'zong'cheng
倒档开关,dao'dang'kai'guan
倒档开关起动销,dao'dang'kai'guan'qi'dong'xiao
倒档锁弹簧,dao'dang'suo'tan'huang
倒档锁止推圈,dao'dang'suo'zhi'tui'quan
倒档止推垫圈,dao'dang'zhi'tui'dian'quan
倒档中间轴,dao'dang'zhong'jian'zhou
倒档中间轴齿轮,dao'dang'zhong'jian'zhou'chi'lun
倒档中间轴垫圈,dao'dang'zhong'jian'zhou'dian'quan
低倒档拨叉轴,di'dao'dang'bo'cha'zhou
底取力窗口衬垫,di'qu'li'chuang'kou'chen'dian
垫片,dian'pian
定位环,ding'wei'huan
度弯管接头,du'wan'guan'jie'tou
二级传动,er'ji'chuan'dong
二三档齿轮挡板,er'san'dang'chi'lun'dang'ban
二轴,er'zhou
二轴超速档齿轮,er'zhou'chao'su'dang'chi'lun
二轴倒档齿轮,er'zhou'dao'dang'chi'lun
二轴导套,er'zhou'dao'tao
二轴低档齿轮,er'zhou'di'dang'chi'lun
二轴二档齿,er'zhou'er'dang'chi
二轴花键垫片,er'zhou'hua'jian'dian'pian
二轴滑套,er'zhou'hua'tao
二轴六档齿轮,er'zhou'liu'dang'chi'lun
二轴六角键,er'zhou'liu'jiao'jian
二轴三档齿轮,er'zhou'san'dang'chi'lun
二轴四档齿轮,er'zhou'si'dang'chi'lun
二轴五档齿轮,er'zhou'wu'dang'chi'lun
二轴一档齿轮,er'zhou'yi'dang'chi'lun
法兰盘,fa'lan'pan
防尘罩,fang'chen'zhao
方头锥形螺塞,fang'tou'zhui'xing'luo'sai
分离拨叉,fen'li'bo'cha
分离拨叉轴,fen'li'bo'cha'zhou
分离拨叉轴焊接总成,fen'li'bo'cha'zhou'han'jie'zong'cheng
分离叉带销总成,fen'li'cha'dai'xiao'zong'cheng
分离轴承,fen'li'zhou'cheng
分离轴承座,fen'li'zhou'cheng'zuo
分离装置总成,fen'li'zhuang'zhi'zong'cheng
富勒维修工具,fu'le'wei'xiu'gong'ju
付箱拨叉螺钉,fu'xiang'bo'cha'luo'ding
副箱减速齿垫片,fu'xiang'jian'su'chi'dian'pian
副箱减速齿轮,fu'xiang'jian'su'chi'lun
副箱中间轴传动齿轮,fu'xiang'zhong'jian'zhou'chuan'dong'chi'lun
副箱中间轴焊接总成,fu'xiang'zhong'jian'zhou'han'jie'zong'cheng
副箱轴承定位盘,fu'xiang'zhou'cheng'ding'wei'pan
副箱主轴,fu'xiang'zhu'zhou
副箱主轴齿轮垫片,fu'xiang'zhu'zhou'chi'lun'dian'pian
副箱主轴齿轮压板,fu'xiang'zhu'zhou'chi'lun'ya'ban
副箱主轴垫圈,fu'xiang'zhu'zhou'dian'quan
高低档开关,gao'di'dang'kai'guan
高低档气缸,gao'di'dang'qi'gang
观察窗口盖,guan'cha'chuang'kou'gai
管线束,guan'xian'shu
滚针轴承,gun'zhen'zhou'cheng
焊接轴,han'jie'zhou
横向拉杆,heng'xiang'la'gan
后盖衬垫,hou'gai'chen'dian
后盖定位销,hou'gai'ding'wei'xiao
后盖壳体,hou'gai'qiao'ti
后轴承盖,hou'zhou'cheng'gai
换档拨叉锁止螺钉,huan'dang'bo'cha'suo'zhi'luo'ding
换档接头,huan'dang'jie'tou
换档汽缸衬垫,huan'dang'qi'gang'chen'dian
回位弹簧,hui'wei'tan'huang
活塞,huo'sai
加长中间轴盖,jia'chang'zhong'jian'zhou'gai
减速齿,jian'su'chi
开槽平端紧定螺钉,kai'cao'ping'duan'jin'ding'luo'ding
开关防护套,kai'guan'fang'hu'tao
开关启动销,kai'guan'qi'dong'xiao
空档开关,kong'dang'kai'guan
空挡开关柱销,kong'dang'kai'guan'zhu'xiao
空气滤清调节器,kong'qi'lv'qing'tiao'jie'qi
空心齿轮轴,kong'xin'chi'lun'zhou
里程表被动齿轮,li'cheng'biao'bei'dong'chi'lun
里程表主动齿轮,li'cheng'biao'zhu'dong'chi'lun
离合器壳体,li'he'qi'qiao'ti
离合器手孔盖,li'he'qi'shou'kong'gai
连锁销,lian'suo'xiao
六角尼龙圈锁紧螺母,liu'jiao'ni'long'quan'suo'jin'luo'mu
螺塞,luo'sai
平键,ping'jian
气缸盖衬垫,qi'gang'gai'chen'dian
气缸修理包,qi'gang'xiu'li'bao
气管,qi'guan
前端壳,qian'duan'ke
壳体,qiao'ti
球面圆柱头螺钉,qiu'mian'yuan'zhu'tou'luo'ding
驱动齿,qu'dong'chi
驱动齿轮,qu'dong'chi'lun
取力器,qu'li'qi
取力器拔叉,qu'li'qi'ba'cha
取力器后轴承盖,qu'li'qi'hou'zhou'cheng'gai
取力器气缸,qu'li'qi'qi'gang
取力器壳体总成,qu'li'qi'qiao'ti'zong'cheng
取力器输入齿轮,qu'li'qi'shu'ru'chi'lun
取力器细牙螺钉,qu'li'qi'xi'ya'luo'ding
润滑软管,run'hua'ruan'guan
三档花键垫,san'dang'hua'jian'dian
三四档滑套,san'si'dang'hua'tao
上盖螺塞,shang'gai'luo'sai
上盖总成,shang'gai'zong'cheng
深沟球轴承,shen'gou'qiu'zhou'cheng
十字槽盘头自攻螺钉,shi'zi'cao'pan'tou'zi'gong'luo'ding
输出轴承盖,shu'chu'zhou'cheng'gai
输出轴油封,shu'chu'zhou'you'feng
输入法兰盘,shu'ru'fa'lan'pan
双管卡箍,shuang'guan'ka'gu
双头螺栓,shuang'tou'luo'shuan
双总成,shuang'zong'cheng
随动阀柱销,sui'dong'fa'zhu'xiao
随动阀总成,sui'dong'fa'zong'cheng
随动杆,sui'dong'gan
随动销,sui'dong'xiao
锁止螺钉,suo'zhi'luo'ding
弹簧垫圈组合件,tan'huang'dian'quan'zu'he'jian
弹性销,tan'xing'xiao
调压阀,tiao'ya'fa
调整垫,tiao'zheng'dian
同步环,tong'bu'huan
同步器弹簧,tong'bu'qi'tan'huang
通气塞,tong'qi'sai
凸缘螺母,tu'yuan'luo'mu
外螺纹管接头,wai'luo'wen'guan'jie'tou
弯颈润滑嘴,wan'jing'run'hua'zui
碗型塞片,wan'xing'sai'pian
无外圈长圆柱滚子轴承,wu'wai'quan'chang'yuan'zhu'gun'zi'zhou'cheng
型圈里程表用,xing'quan'li'cheng'biao'yong
选档接头,xuan'dang'jie'tou
压板,ya'ban
摇臂,yao'bi
一二档滑套,yi'er'dang'hua'tao
一轴,yi'zhou
一轴齿轮,yi'zhou'chi'lun
一轴螺母,yi'zhou'luo'mu
一轴轴承盖,yi'zhou'zhou'cheng'gai
一轴轴承盖衬垫,yi'zhou'zhou'cheng'gai'chen'dian
右中间轴总成,you'zhong'jian'zhou'zong'cheng
预选阀总成,yu'xuan'fa'zong'cheng
圆柱被动齿轮,yuan'zhu'bei'dong'chi'lun
圆柱磙子轴承,yuan'zhu'gun'zi'zhou'cheng
圆柱销,yuan'zhu'xiao
圆柱主动齿轮,yuan'zhu'zhu'dong'chi'lun
止动环,zhi'dong'huan
止动螺钉,zhi'dong'luo'ding
支轴承,zhi'zhou'cheng
中间轴,zhong'jian'zhou
中间轴超速档齿轮,zhong'jian'zhou'chao'su'dang'chi'lun
中间轴传动齿轮,zhong'jian'zhou'chuan'dong'chi'lun
中间轴后盖,zhong'jian'zhou'hou'gai
中间轴两端轴承,zhong'jian'zhou'liang'duan'zhou'cheng
中间轴六档齿轮,zhong'jian'zhou'liu'dang'chi'lun
中间轴前轴承,zhong'jian'zhou'qian'zhou'cheng
