巴马瑶族自治县,ba'ma'yao'zu'zi'zhi'xian
百色市,bai'se'shi
北海市,bei'hai'shi
北流市,bei'liu'shi
宾阳县,bin'yang'xian
博白县,bo'bai'xian
苍梧县,cang'wu'xian
岑溪市,cen'xi'shi
长洲区,chang'zhou'qu
城中区,cheng'zhong'qu
崇左市,chong'zuo'shi
大化瑶族自治县,da'hua'yao'zu'zi'zhi'xian
大新县,da'xin'xian
德保县,de'bao'xian
叠彩区,die'cai'qu
蝶山区,die'shan'qu
东兰县,dong'lan'xian
东兴市,dong'xing'shi
都安瑶族自治县,du'an'yao'zu'zi'zhi'xian
防城港市,fang'cheng'gang'shi
防城区,fang'cheng'qu
凤山县,feng'shan'xian
富川瑶族自治县,fu'chuan'yao'zu'zi'zhi'xian
扶绥县,fu'sui'xian
港北区,gang'bei'qu
港口区,gang'kou'qu
港南区,gang'nan'qu
恭城瑶族自治县,gong'cheng'yao'zu'zi'zhi'xian
灌阳县,guan'yang'xian
贵港市,gui'gang'shi
桂林市,gui'lin'shi
桂平市,gui'ping'shi
海城区,hai'cheng'qu
河池市,he'chi'shi
合浦县,he'pu'xian
合山市,he'shan'shi
贺县,he'xian
横县,heng'xian
环江毛南族自治县,huan'jiang'mao'nan'zu'zi'zhi'xian
江南区,jiang'nan'qu
江洲区,jiang'zhou'qu
金城江区,jin'cheng'jiang'qu
金秀瑶族自治县,jin'xiu'yao'zu'zi'zhi'xian
靖西县,jing'xi'xian
来宾市,lai'bin'shi
乐业县,le'ye'xian
荔蒲县,li'pu'xian
良庆区,liang'qing'qu
临桂县,lin'gui'xian
灵川县,ling'chuan'xian
灵山县,ling'shan'xian
凌云县,ling'yun'xian
柳北区,liu'bei'qu
柳城县,liu'cheng'xian
柳江县,liu'jiang'xian
柳南区,liu'nan'qu
柳州市,liu'zhou'shi
隆安县,long'an'xian
隆林各族自治县,long'lin'ge'zu'zi'zhi'xian
隆林县,long'lin'xian
龙胜各族自治县,long'sheng'ge'zu'zi'zhi'xian
龙州县,long'zhou'xian
陆川县,lu'chuan'xian
鹿寨县,lu'zhai'xian
罗城仫佬族自治县,luo'cheng'mu'lao'zu'zi'zhi'xian
马山县,ma'shan'xian
蒙山县,meng'shan'xian
那坡县,na'po'xian
南丹县,nan'dan'xian
南宁市,nan'ning'shi
宁明县,ning'ming'xian
平果县,ping'guo'xian
平乐县,ping'le'xian
平南县,ping'nan'xian
凭祥市,ping'xiang'shi
浦北县,pu'bei'xian
七星区,qi'xing'qu
钦北区,qin'bei'qu
钦南区,qin'nan'qu
钦州市,qin'zhou'shi
青秀区,qing'xiu'qu
全州县,quan'zhou'xian
融安县,rong'an'xian
融水苗族自治县,rong'shui'miao'zu'zi'zhi'xian
容县,rong'xian
三江侗族自治县,san'jiang'dong'zu'zi'zhi'xian
上林县,shang'lin'xian
上思县,shang'si'xian
覃塘区,tan'tang'qu
藤县,teng'xian
天等县,tian'deng'xian
田东县,tian'dong'xian
天峨县,tian'e'xian
田林县,tian'lin'xian
田阳县,tian'yang'xian
铁山港区,tie'shan'gang'qu
万秀区,wan'xiu'qu
武鸣县,wu'ming'xian
武宣县,wu'xuan'xian
梧州市,wu'zhou'shi
西林县,xi'lin'xian
西乡塘区,xi'xiang'tang'qu
象山区,xiang'shan'qu
象州县,xiang'zhou'xian
忻城县,xin'cheng'xian
兴安县,xing'an'xian
兴宾区,xing'bin'qu
兴宁区,xing'ning'qu
兴业县,xing'ye'xian
秀峰区,xiu'feng'qu
雁山区,yan'shan'qu
阳朔县,yang'shuo'xian
宜州市,yi'zhou'shi
银海区,yin'hai'qu
永福县,yong'fu'xian
邕宁区,yong'ning'qu
右江区,you'jiang'qu
鱼峰区,yu'feng'qu
玉林市,yu'lin'shi
玉州区,yu'zhou'qu
昭平县,zhao'ping'xian
钟山县,zhong'shan'xian
资源县,zi'yuan'xian
